# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5700150042485,ブラザー健康保険組合,ブラザーケンコウホケンクミアイ,愛知県,名古屋市瑞穂区,愛知県名古屋市瑞穂区苗代町１５番１号,finance,care,2015-10-09,false,221,,,http://www.mizuho-brother.jp,052-824-2411,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8700150043893,トヨタ自動車健康保険組合,トヨタジドウシヤケンコウホケンクミアイ,愛知県,豊田市,愛知県豊田市丸山町６丁目２２,finance,care|auto,2015-10-09,false,148,,,https://www.toyotakenpo.jp/,0565-24-0620,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4180001108399,株式会社フリースタイル,フリースタイル,愛知県,名古屋市港区,愛知県名古屋市港区東海通５丁目１０番地,finance,care,2015-10-05,false,,,,,052-651-8101,,,国税庁 法人番号公表サイト,2022-05-10
5180001159870,株式会社インクリース,インクリース,愛知県,名古屋市熱田区,愛知県名古屋市熱田区沢上１丁目６番１３号Ｆ．Ｈ．沢上１階,finance,care,2024-01-22,false,,,,,052-228-3952,,,国税庁 法人番号公表サイト,2024-07-09
1180001005038,株式会社日本損害保険センター,ニホンソンガイホケンセンター,愛知県,名古屋市千種区,愛知県名古屋市千種区今池５丁目１番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-27
1180001013932,株式会社アイシンリース,アイシンリース,愛知県,名古屋市南区,愛知県名古屋市南区豊田４丁目７番２３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-22
1180001017033,Ｏｉキャピタル株式会社,オーアイキャピタル,愛知県,名古屋市昭和区,愛知県名古屋市昭和区御器所３丁目１０番５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-18
1180001021712,株式会社吉良損害保険,,愛知県,名古屋市熱田区,愛知県名古屋市熱田区金山町１丁目２番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001028939,株式会社友和リース,ユウワリース,愛知県,名古屋市緑区,愛知県名古屋市緑区鳴海町字長田６３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-23
1180001032429,ファイナンスサン東海株式会社,,愛知県,名古屋市中村区,愛知県名古屋市中村区名駅３丁目１３番２８号名駅セブンスタービル７１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
1180001050884,株式会社ＫＴキャピタル,ケイティーキャピタル,愛知県,名古屋市中区,愛知県名古屋市中区丸の内１丁目１７番２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-19
1180001052658,株式会社白菊保険,シラキクホケン,愛知県,名古屋市西区,愛知県名古屋市西区枇杷島３丁目２０番３０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180001061485,株式会社愛知リースキン,アイチリースキン,愛知県,名古屋市西区,愛知県名古屋市西区砂原町４１０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-04
1180001061956,株式会社あいち社労保険センター,アイチシャロウホケンセンター,愛知県,名古屋市熱田区,愛知県名古屋市熱田区三本松町３番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-16
1180001062293,株式会社アイ・キャピタル・マネージメント,,愛知県,名古屋市名東区,愛知県名古屋市名東区引山１丁目１５０１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1180001062657,株式会社山の手リース,ヤマノテリース,愛知県,名古屋市名東区,愛知県名古屋市名東区山の手３丁目７０４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-05
1180001068349,日本空調リース株式会社,ニホンクウチョウリース,愛知県,名古屋市守山区,愛知県名古屋市守山区川上町１２０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-17
1180001092976,株式会社南部レンタリース,ナンブレンタリース,愛知県,高浜市,愛知県高浜市芳川町３丁目５番地３７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-03
1180001096366,株式会社エイトリース,エイトリース,愛知県,津島市,愛知県津島市高台寺町字江西５番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-04
1180001126057,保険グロース株式会社,ホケングロース,愛知県,名古屋市中区,愛知県名古屋市中区丸の内２丁目７番２４号ＫＳ名古屋ビル３階,finance,,2016-12-28,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-04
1180001129423,ジャパン保険ビューロー株式会社,,愛知県,豊明市,愛知県豊明市沓掛町丘下１２番地１ユニオンヒルズ丘下４０６号,finance,,2017-09-15,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-01
1180001144785,株式会社セーフティリース,セーフティリース,愛知県,稲沢市,愛知県稲沢市千代西町３４番地,finance,,2021-02-15,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-15
1180001144942,株式会社カクヒコ保険企画,カクヒコホケンキカク,愛知県,一宮市,愛知県一宮市開明字洗心４番地１,finance,advertising,2021-02-26,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-28
1180001146658,株式会社ワイズキャピタルマネジメント,ワイズキャピタルマネジメント,愛知県,名古屋市北区,愛知県名古屋市北区成願寺１丁目６番Ａ－３００３号,finance,,2021-06-22,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-22
1180001153456,株式会社バイソンリース,バイソンリース,愛知県,名古屋市中村区,愛知県名古屋市中村区烏森町８丁目８２２,finance,,2022-10-20,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-20
1180001154768,株式会社フリースタイル,フリースタイル,愛知県,名古屋市港区,愛知県名古屋市港区木場町６番地の１５,finance,,2023-01-31,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-31
