# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3180001133349,株式会社Ｈ・Ｔネットワーク,エイチティーネットワーク,愛知県,春日井市,愛知県春日井市味美白山町１丁目１１番地１４,it,care,2018-08-07,false,,,,https://ht-network.jp/?page_id=903,0527009084,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8180002048335,有限会社トータルケアシステム,トータルケアシステム,愛知県,名古屋市北区,愛知県名古屋市北区敷島町６９番地クララハイツ１０２,it,care|it,2015-10-05,false,,,,http://,052-910-3421,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8180002050877,有限会社フォルマント・テック,フォルマントテック,愛知県,名古屋市昭和区,愛知県名古屋市昭和区元宮町６丁目３４番地の１,it,care|it,2015-10-05,false,11,,,http://heart-sta.com,052-762-2362,,http://heart-sta.com/#contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5180003018851,株式会社ハートネット,ハートネット,愛知県,名古屋市中村区,愛知県名古屋市中村区岩塚町字小池１番地の１２,it,care,2018-04-24,false,,,,https://www.instagram.com/heartnet_msi/,052-747-9796,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7180001031953,株式会社あんしんネット２１,アンシンネットニジュウイチ,愛知県,名古屋市中村区,愛知県名古屋市中村区畑江通３丁目２番地１,it,care,2015-10-05,false,406,,,http://www.tsubame-taxi.or.jp/,052-795-2340,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6180301031811,株式会社シルバーネット,シルバーネット,愛知県,岡崎市,愛知県岡崎市羽根町字小豆坂５３番地１,it,care,2018-09-05,false,,,,https://www.kaigotaxi-okazaki.com/index.html,0564-72-4111,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5180002067940,有限会社バリアフリーツアーシステム,,愛知県,春日井市,愛知県春日井市菅大臣町９５番地,it,care|it,2015-10-05,false,,,,,0568-85-5062,,,国税庁 法人番号公表サイト,2015-11-13
1180301024869,株式会社ほっとケアネット,ホットケアネット,愛知県,豊川市,愛知県豊川市当古町一色８１番地,it,care,2015-10-05,false,57,,,http://www.hotcarenet.co.jp/,0533-89-7171,,http://www.hotcarenet.co.jp/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2180302018200,有限会社グローバルネットワーク,グローバルネットワーク,愛知県,刈谷市,愛知県刈谷市泉田町向畑８８番地,it,care,2015-10-05,false,,,,http://kaigotown.web.fc2.com/,0566-29-1761,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9180301020753,株式会社プロテックコーポレーション,プロテックコーポレーション,愛知県,豊田市,愛知県豊田市保見町井ノ口７２番地２,it,care|it,2015-10-05,false,,,,http://www.proteccorp.co.jp/,0565-44-0151,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
