# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2200001034751,株式会社夢眠ホーム,ムウミンホーム,愛知県,名古屋市東区,愛知県名古屋市東区泉３丁目７番９号,realestate,care|realestate,2017-12-25,false,1000,,,http://muminhome.jp/sendainishi02/,022-748-4328,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5180005016226,特定非営利活動法人ホームケアこみち,ホームケアコミチ,愛知県,名古屋市守山区,愛知県名古屋市守山区新城２４番１６号,realestate,care|realestate,2015-10-05,false,,,,https://www.comichi.jp/,0527787835,,https://www.comichi.jp/contact.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4180001132977,ケアーズライフアットホーム株式会社,ケアーズライフアットホーム,愛知県,名古屋市緑区,愛知県名古屋市緑区鳴海町字赤塚５５番地の１,realestate,care|realestate,2018-07-06,false,,,,,880-7098,,,国税庁 法人番号公表サイト,2018-07-11
7180005011720,特定非営利活動法人ベタニアホーム,ベタニアホーム,愛知県,半田市,愛知県半田市宮本町１丁目５６番地１,realestate,care|realestate,2015-10-05,false,,,,https://betaniahome.themedia.jp/,0569-23-1938,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8180001049350,株式会社エバホームケアサービス,エバホームケアサービス,愛知県,名古屋市天白区,愛知県名古屋市天白区古川町４６番地,realestate,care|realestate,2000-06-20,false,,,代表取締役　横井　隆富,https://welfare.ebanet.co.jp,0568－74－1110,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4180005015658,社会福祉法人たんぽぽハウス,タンポポハウス,愛知県,稲沢市,愛知県稲沢市大塚南７丁目３８番地,realestate,care|realestate,2015-10-05,false,,,,http://www.tanpopo.or.jp/,0587-23-0691,,https://tanpopo.or.jp/user_information/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3180002081019,有限会社ナーシングホーム,ナーシングホーム,愛知県,稲沢市,愛知県稲沢市稲島１０丁目６９番地,realestate,care|realestate,2015-10-05,false,,,,http://www.canaan-n.co.jp/,０５８７－３２－９３９３,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2180005005669,特定非営利活動法人サポートハウスアイビー,サポートハウスアイビー,愛知県,清須市,愛知県清須市西枇杷島町古城１丁目２０番地９,realestate,care|realestate,2015-10-05,false,,,,,052-506-7537,,,国税庁 法人番号公表サイト,2018-10-23
9180002063432,有限会社ハートフルハウス,ハートフルハウス,愛知県,長久手市,愛知県長久手市宮脇９１１番地,realestate,care|realestate,2015-10-05,false,150,,,https://www.heartful-house.com,0561-63-6433,,https://www.heartful-house.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4180302011426,有限会社ナーシングホーム気の里,,愛知県,豊橋市,愛知県豊橋市雲谷町字上ノ山１１７番地の１,realestate,care|realestate,2015-10-05,false,,,,http://www.kinosato-nh.com/,0532657111,,https://www.kinosato-nh.com/form/kinosato/caregiver-job-form,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6180001088978,株式会社ハウスコンシェルジュ,ハウスコンシェルジュ,愛知県,稲沢市,愛知県稲沢市日下部中町７丁目５６番地,realestate,care|realestate,2015-10-05,false,,,,https://www.qu-oli.com,0587-50-0095,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9180005013938,医療法人前田ホームクリニック,マエダホームクリニック,愛知県,愛西市,愛知県愛西市草平町江ノ田５３番地１,realestate,care|clinic|realestate,2015-10-05,false,,,,http://maeda-homeclinic.com/,0567232414,,https://maeda-homeclinic.com/generalinformation/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1180005002857,社会福祉法人ニコニコハウス,ニコニコハウス,愛知県,名古屋市南区,愛知県名古屋市南区鶴里町３丁目４０番地１,realestate,care|realestate,2015-10-05,false,70,,,https://nikoniko-house.jp,052-829-0391,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6180025002828,社会福祉法人　名古屋ライトハウス,,愛知県,名古屋市守山区,愛知県名古屋市守山区瀬古二丁目３０１,realestate,care|realestate,,false,,,,http://www.nagoya-lighthouse.jp/mather,052-792-5556,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
3180001002917,ホーム建材株式会社,ホームケンザイ,愛知県,名古屋市名東区,愛知県名古屋市名東区上社４丁目１６２番地,realestate,care|realestate,2015-10-05,false,,,,http://kitaeroom.com/,052-777-4170,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5180302027066,有限会社ふじホーム,,愛知県,西尾市,愛知県西尾市室町中川原５７番地,realestate,care|realestate,2015-10-05,false,,,,http://www.katch.ne.jp/~fujihome/,0563-52-4838,,,国税庁 法人番号公表サイト,2015-11-13
6180302015094,有限会社アットホーム,アットホーム,愛知県,蒲郡市,愛知県蒲郡市鹿島町大迫２２番地５３,realestate,care|realestate,2015-10-05,false,,,,http://,0533-67-3990,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5180001107598,株式会社ハートフル・ハウス,ハートフルハウス,愛知県,あま市,愛知県あま市七宝町下田上才当治２３番地,realestate,care|realestate,2015-10-05,false,,,,,052-717-4726,,,国税庁 法人番号公表サイト,2020-11-20
9180001090089,株式会社ホーム,,愛知県,名古屋市昭和区,愛知県名古屋市昭和区東畑町１丁目５６番地の３,realestate,care|realestate,2015-10-05,false,,,,,052-731-4545,,,国税庁 法人番号公表サイト,2015-11-13
4180301008084,株式会社内外住宅サービス,ナイガイジュウタクサービス,愛知県,豊橋市,愛知県豊橋市新川町７６番地,realestate,care|realestate,2015-10-05,false,1,,,http://www.naigai-toyohashi.com,0532-52-8975,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1180002059792,有限会社ウェルビーイングホーム,ウェルビーイングホーム,愛知県,北名古屋市,愛知県北名古屋市薬師寺村前２８番地,realestate,care|realestate,2015-10-05,false,,,,http://www.wellbeing-home.jp/,0568-25-0568,,,国税庁 法人番号公表サイト,2021-10-08
6180005002828,社会福祉法人名古屋ライトハウス,ナゴヤライトハウス,愛知県,名古屋市昭和区,愛知県名古屋市昭和区川名本町１丁目２番地,realestate,care|realestate,2015-10-05,false,490,,,http://nagoya-lighthouse.jp/,052-792-5556,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8180001052180,株式会社グループホーム,グループホーム,愛知県,名古屋市東区,愛知県名古屋市東区東桜１丁目３番８号,realestate,care|realestate,2015-10-05,false,,,,http://www.group-home.co.jp/,（052）532-6686,,,国税庁 法人番号公表サイト,2018-05-23
1180001055446,株式会社フレンズホーム,フレンズホーム,愛知県,名古屋市中川区,愛知県名古屋市中川区広田町２丁目２１番地,realestate,care|realestate,2015-10-05,false,,,,http://www15.plala.or.jp/furenzu-hao/,052-846-2665,,,国税庁 法人番号公表サイト,2018-05-14
1180001055215,株式会社フレンズハウス,フレンズハウス,愛知県,名古屋市中川区,愛知県名古屋市中川区広田町２丁目２１番地,realestate,care|realestate,2015-10-05,false,,,,https://friends-house.sakura.ne.jp/,052-661-9944,,,国税庁 法人番号公表サイト,2018-05-14
5180002054889,有限会社ほほえみグループホーム日陽,ホホエミグループホームヒダマリ,愛知県,名古屋市港区,愛知県名古屋市港区六軒家１０２２番地,realestate,care|realestate,2015-10-05,false,,,,http://www7b.biglobe.ne.jp/~hidamari_hohoemi/,052-301-8980,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9180002049605,有限会社アメニティホーム,,愛知県,名古屋市天白区,愛知県名古屋市天白区元八事３丁目３２１番地,realestate,care|realestate,2015-10-05,false,,,,https://amenity-home.com/,052-861-2230,,,国税庁 法人番号公表サイト,2015-11-13
4180002056770,有限会社サポートハウス,サポートハウス,愛知県,名古屋市名東区,愛知県名古屋市名東区大針１丁目３３８番地,realestate,care|realestate,2015-10-05,false,39,,,URL：//ｗｗｗ.supporthouse-kaigo.com,052-709-7330,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9180302004086,有限会社グループホーム縁,,愛知県,岡崎市,愛知県岡崎市六供町字４丁目８番地,realestate,care|realestate,2015-10-05,false,,,,https://grouphome-en.com,0564-21-2122,,,国税庁 法人番号公表サイト,2015-11-13
7180002073904,有限会社名古屋東老人ホーム,ナゴヤヒガシロウジンホーム,愛知県,尾張旭市,愛知県尾張旭市桜ケ丘町西２５３番地,realestate,care|realestate,2015-10-05,false,,,,https://peraichi.com/landing_pages/view/tsutsujien,0561-54-1736,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5180001050765,株式会社楽園ハウス,,愛知県,名古屋市千種区,愛知県名古屋市千種区春岡２丁目２５番１１号,realestate,care|realestate,2015-10-05,false,,,,http://rakuen-haruoka.com,052-757-5561,,,国税庁 法人番号公表サイト,2015-11-13
6180302001689,有限会社助っ人ハウス白樹会,スケットハウスハクジュカイ,愛知県,岡崎市,愛知県岡崎市福桶町字高畑２０２番地,realestate,care|realestate,2015-10-05,false,,,,http://,0564-43-5825,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5180001106583,株式会社ハウス１０８,ハウスイチマルハチ,愛知県,名古屋市東区,愛知県名古屋市東区筒井２丁目１０番８号,realestate,care|realestate,2015-10-05,false,,,,,0529330080,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6180003009536,合資会社エンジョイハウスにこにこ,,愛知県,日進市,愛知県日進市藤塚５丁目１０９番地１キャッスルニューコート日進１０５,realestate,care|realestate,2015-10-05,false,,,,,0561-38-7844,,,国税庁 法人番号公表サイト,2015-11-13
9180005009465,特定非営利活動法人共生ホーム結,キョウセイホームユイ,愛知県,丹羽郡大口町,愛知県丹羽郡大口町上小口１丁目１８１番地,realestate,care|realestate,2015-10-05,false,,,,,0587-74-5235,,,国税庁 法人番号公表サイト,2019-12-09
1010001221758,諾承不動産株式会社,ダクショウフドウサン,愛知県,名古屋市中区,愛知県名古屋市中区大須４丁目１４－７２，１０３号室,realestate,realestate,2021-10-14,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-03
1010501041160,ワイユー不動産管理株式会社,ワイユーフドウサンカンリ,愛知県,名古屋市中村区,愛知県名古屋市中村区上米野町４丁目１番地,realestate,realestate,2017-06-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-30
1080402009127,有限会社アートホーム,アートホーム,愛知県,豊川市,愛知県豊川市伊奈町佐脇原４１５番地３５０,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-19
1120001254202,株式会社フラワーエステート,フラワーエステート,愛知県,名古屋市中区,愛知県名古屋市中区錦２丁目１６－２４サンフシミビル３０１,realestate,beauty|realestate,2023-04-20,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-05
1180001000121,株式会社伊藤住宅,イトウジュウタク,愛知県,名古屋市守山区,愛知県名古屋市守山区大永寺町１４７番地の２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
1180001001103,株式会社ピクチャアズハウスエヌ・ワイ・ユウ,ピクチャアズハウスエヌワイユウ,愛知県,長久手市,愛知県長久手市作田１丁目６０３番地ジーオーコーポ第一藤ヶ丘２Ａ,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-13
1180001001268,ミフジハウス株式会社,,愛知県,名古屋市昭和区,愛知県名古屋市昭和区檀溪通２丁目４０番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-06
1180001001747,オオタホーム株式会社,オオタホーム,愛知県,名古屋市千種区,愛知県名古屋市千種区桜が丘２９５番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-08
1180001002051,株式会社サムホームズ,サムホームズ,愛知県,名古屋市名東区,愛知県名古屋市名東区高間町４６９番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-05
1180001002092,サンワハウス株式会社,,愛知県,名古屋市名東区,愛知県名古屋市名東区延珠町９０８番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
1180001002241,セントラルホーム株式会社,セントラルホーム,愛知県,名古屋市千種区,愛知県名古屋市千種区萱場２丁目１２番２８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-01
1180001002381,株式会社中央ビル不動産,チュウオウビルフドウサン,愛知県,名古屋市名東区,愛知県名古屋市名東区高社１丁目２６３番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-26
1180001002968,株式会社マムハウス,マムハウス,愛知県,長久手市,愛知県長久手市砂子１０４５番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-10
1180001003289,株式会社暁不動産,アカツキフドウサン,愛知県,名古屋市千種区,愛知県名古屋市千種区今池１丁目５番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-04
