# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7180001001824,株式会社ライフサービス,ライフサービス,愛知県,名古屋市名東区,愛知県名古屋市名東区上社５丁目１７０８番地,service,care,2015-10-05,false,,,,https://www.life-kaigo.jp/,052-709-0800,,https://www.life-kaigo.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8180001003605,大久手メデイカルサービス株式会社,オオクテメデイカルサービス,愛知県,名古屋市千種区,愛知県名古屋市千種区大久手町５丁目１６番地の１,service,care,2015-10-05,false,27,,,http://www.yoshidahp.jp/elle/,052-731-8077,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6180001061167,中部計器サービス株式会社,チュウブケイキサービス,愛知県,名古屋市北区,愛知県名古屋市北区大我麻町１９８番地の３,service,care,2015-10-05,false,,,,http://hp.kaipoke.biz/pkk/,052-700-2695,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7180002057915,有限会社エフ・アイ・サービス,エフアイサービス,愛知県,名古屋市北区,愛知県名古屋市北区清水５丁目３２番２６号,service,care,2015-10-05,false,,,,,052-981-0252,,,国税庁 法人番号公表サイト,2024-03-18
2180002040289,有限会社エムケイサービス,エムケイサービス,愛知県,名古屋市北区,愛知県名古屋市北区西味鋺５丁目６０６番地２,service,care,2015-10-05,false,20,,,https://hp.kaipoke.biz/rvr/,052-902-8300,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6180001090810,ときわメディカルサービス株式会社,トキワメディカルサービス,愛知県,名古屋市北区,愛知県名古屋市北区上飯田南町５丁目５５番地,service,care,2015-10-05,false,,,,http://www.kit.hi-ho.ne.jp/wakonoie/,052-508-7806,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6180003025137,合同会社Ｏｎサービス,オンサービス,愛知県,名古屋市中村区,愛知県名古屋市中村区宿跡町３丁目８番地の３,service,care,2023-04-18,false,,,,https://onservice.co.jp/,052-411-2010,contact@onservice.co.jp,https://onservice.co.jp/information/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8180001142378,株式会社アイアイサービス,アイアイサービス,愛知県,名古屋市中村区,愛知県名古屋市中村区横前町１００番地,service,care,2020-08-14,false,,,,http://aiaiservice.co.jp/,052-419-2111,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1180001140108,株式会社エージェントＡ,エージェントエー,愛知県,名古屋市中区,愛知県名古屋市中区丸の内１丁目４番２９号愛協ビル８階,service,care,2020-02-14,false,,,,http://hp.kaipoke.biz/3xr/index.html,052-253-7490,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8180005005176,公益社団法人名古屋市シルバー人材センター,ナゴヤシシルバージンザイセンター,愛知県,名古屋市昭和区,愛知県名古屋市昭和区御器所通３丁目１２番地の１,service,care|hr,1986-03-12,false,,,代表理事　竹内　道夫,https://webc.sjc.ne.jp/nagoyasj/index,052-842-4688,,https://webc.sjc.ne.jp/nagoyasj/inquiry_1,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3180002072760,有限会社シマ企画,シマキカク,愛知県,尾張旭市,愛知県尾張旭市南本地ケ原町２丁目６６番地の２,service,care|advertising,2015-10-05,false,,,,,052-777-5805,,,国税庁 法人番号公表サイト,2018-05-22
1180001058911,株式会社エージェント,エージェント,愛知県,名古屋市中村区,愛知県名古屋市中村区名駅南１丁目１２番７号虎ビル６階・７階,service,care,2015-10-05,false,,,,https://www.koemi.jp/,0528539811,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7180003009816,株式会社ゆう企画,ユウキカク,愛知県,名古屋市名東区,愛知県名古屋市名東区香流３丁目１００８番地,service,care|advertising,2015-10-05,false,,,,http://www.yu-kikaku.info/,0527602631,,http://www.yu-kikaku.info/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
0016828023100,有限会社　チェリッシュ企画,,愛知県,名古屋市天白区,愛知県名古屋市天白区植田二丁目202　2階,service,care|advertising,,false,,,,http://www.cherish-care.co.jp,052-804-0755,info@cherish-care.co.jp,http://www.cherish-care.co.jp/contact,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-04
4180301005024,朝日グリーンサービス株式会社,アサヒグリーンサービス,愛知県,豊橋市,愛知県豊橋市下地町字若宮６６番地,service,care,2015-10-05,false,,,,http://www.asahi-g.net,0532-53-4222,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.asahi-g.net/company,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7180301004782,あんしんサービス株式会社,アンシンサービス,愛知県,岡崎市,愛知県岡崎市江口１丁目３番地２０,service,care,2015-10-05,false,,,,,0564-52-6699,,,国税庁 法人番号公表サイト,2021-08-31
1180001082457,サンファイン・サービス株式会社,サンファインサービス,愛知県,一宮市,愛知県一宮市八幡５丁目１番１０８号,service,care,2015-10-05,false,,,,,0586-48-5660,,,国税庁 法人番号公表サイト,2018-06-01
5180001061639,フジ・ライフサービス株式会社,,愛知県,名古屋市中区,愛知県名古屋市中区新栄２丁目１番９号,service,care,2015-10-05,false,,,,http://fuji-ls.com,0561-86-0565,,https://fuji-ls.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4180002086677,有限会社辻デイサービスセンター元気村,,愛知県,半田市,愛知県半田市栄町３丁目１４３番地,service,care,2015-10-05,false,,,,http://www.genki-ha2ra2.co.jp,0569-47-8211,,http://www.genki-ha2ra2.co.jp/info.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2180002070286,有限会社エリーサービス,エリーサービス,愛知県,春日井市,愛知県春日井市東野新町２丁目１６番地の２,service,care,2015-10-05,false,,,,,0568-86-3166,,,国税庁 法人番号公表サイト,2020-04-13
6180001098655,株式会社サポート・ワン・サービス,サポートワンサービス,愛知県,津島市,愛知県津島市愛宕町４丁目１１３番地,service,care,2015-10-05,false,,,,http://www.s-o-s.co.jp,0567-26-3921,,http://www.s-o-s.co.jp/contact/index.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2180302020131,有限会社デイ・サービスかなりや,デイサービスカナリヤ,愛知県,碧南市,愛知県碧南市三宅町１丁目６７番地,service,care,2015-10-05,false,30,,,http://www.f-kanariya.com/,0566-46-4048,,http://www.f-kanariya.com/entry/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8180301026974,株式会社安祥サービス,アンショウサービス,愛知県,安城市,愛知県安城市南町１０番１２号,service,care,2015-10-05,false,,,,,0566-72-6033,,,国税庁 法人番号公表サイト,2024-07-26
4180001075978,シルバーサービス株式会社,シルバーサービス,愛知県,小牧市,愛知県小牧市大字池之内３９８番地,service,care,2015-10-05,false,,,,https://www.e-caretown.com/23/silver-service/,0568-47-6388,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5180002081165,有限会社ふれあいサービス,フレアイサービス,愛知県,稲沢市,愛知県稲沢市井之口大坪町８０番１号,service,care,2015-10-05,false,9,,,http://www.fureai-service.com,0587-34-5288,,http://www.fureai-service.com/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2180301026996,オレンジ生活サービス株式会社,オレンジセイカツサービス,愛知県,知立市,愛知県知立市八ツ田町神明４１番地,service,care,2015-10-05,false,34,,,htte://ossn-kk.com/,0566-91-5684,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7180002058112,有限会社ミヤビ企画,ミヤビキカク,愛知県,名古屋市港区,愛知県名古屋市港区宝神４丁目１６０１番地,service,care|advertising,2015-10-05,false,,,,,0567-98-7007,,,国税庁 法人番号公表サイト,2021-11-10
4180001060030,エム・オーヒューマンサービス株式会社,エムオーヒューマンサービス,愛知県,名古屋市千種区,愛知県名古屋市千種区茶屋坂通２丁目１４番地,service,care,2015-10-05,false,,,,http://www.mohs.co.jp/,0523850515,,http://www.mohs.co.jp/[homeurl]/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4180005004933,一般財団法人名古屋市療養サービス事業団,ナゴヤシリョウヨウサービスジギョウダン,愛知県,名古屋市中村区,愛知県名古屋市中村区豊国通１丁目１４番地,service,care,2015-10-05,false,420,,,https://www.nrs.or.jp,052-482-3781,,https://www.nrs.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7180302020804,有限会社たたみ総合サービス,タタミソウゴウサービス,愛知県,刈谷市,愛知県刈谷市半城土中町２丁目９番地７,service,care,2015-10-05,false,,,,,052-228-4644,,,国税庁 法人番号公表サイト,2023-03-31
5180302020038,有限会社沢井看護サービス,,愛知県,碧南市,愛知県碧南市植出町４丁目６２番地１,service,care,2015-10-05,false,,,,http://,0566-43-5988,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6180301021820,株式会社三橋企画,,愛知県,豊田市,愛知県豊田市渋谷町１丁目２番地１３サンヒルズ東山１０４号,service,care|advertising,2015-10-05,false,,,,,0565-41-6426,,,国税庁 法人番号公表サイト,2015-11-13
4180001144667,株式会社サニーデイサービス,サニーデイサービス,愛知県,名古屋市天白区,愛知県名古屋市天白区平針２丁目４０３番地２Ｂ,service,care,2021-02-05,false,,,,,0561-56-3682,,,国税庁 法人番号公表サイト,2021-02-05
5180001063239,グローバルサービス株式会社,グローバルサービス,愛知県,名古屋市昭和区,愛知県名古屋市昭和区妙見町５７番地の１,service,care,2015-10-05,false,83,,,https://www.g-service.co.jp,052-325-5360,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6180002019197,有限会社福武メディカルサービス,フクタケメディカルサービス,愛知県,名古屋市中川区,愛知県名古屋市中川区月島町２番２６号,service,care,2015-10-05,false,,,,https://momofuneds.com/,052-355-8300,,,国税庁 法人番号公表サイト,2018-05-01
3180301012079,株式会社キタガワライフサービス,キタガワライフサービス,愛知県,豊橋市,愛知県豊橋市前芝町字堤下２８番地,service,care,2015-10-05,false,,,,http://www.shiota-dsc.jp/,0532-38-8660,,,国税庁 法人番号公表サイト,2020-11-30
3180301024636,株式会社ゆたかサービス,ユタカサービス,愛知県,豊橋市,愛知県豊橋市天伯町字天伯５２番地１,service,care,2015-10-05,false,,,,http://utopia-day.com/,0532-47-7766,,,国税庁 法人番号公表サイト,2022-10-27
9180301024639,株式会社ゆたかサービス,ユタカサービス,愛知県,西尾市,愛知県西尾市寺部町西浦３５番地,service,care,2015-10-05,false,,,,,0563-63-0020,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4180002080861,有限会社デイサービスさくらんぼ,デイサービスサクランボ,愛知県,稲沢市,愛知県稲沢市祖父江町二俣下り戸１０９の１番地,service,care,2015-10-05,false,,,,http://,0587-97-8830,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7180001104619,株式会社日進きずな企画,ニッシンキズナキカク,愛知県,日進市,愛知県日進市赤池町村東１６３番地２,service,care|advertising,2015-10-05,false,,,,http://www.ds-kizuna.com,０５２－８７５－３９０３,,,国税庁 法人番号公表サイト,2018-12-05
1180001072318,株式会社アインクサービス,アインクサービス,愛知県,名古屋市北区,愛知県名古屋市北区西味鋺１丁目８１５番地の３,service,care,2015-10-05,false,,,,,052-902-5717,,,国税庁 法人番号公表サイト,2022-12-22
4180001061648,エイドサービス株式会社,エイドサービス,愛知県,名古屋市西区,愛知県名古屋市西区山木２丁目８０番地の２,service,care,2015-10-05,false,,,,,052-503-9468,,,国税庁 法人番号公表サイト,2025-06-16
3180001021611,株式会社エムアイエス企画,エムアイエスキカク,愛知県,名古屋市熱田区,愛知県名古屋市熱田区五番町３番６号,service,care|advertising,2015-10-05,false,,,,http://mis.minato.coop/,052-654-2540,,,国税庁 法人番号公表サイト,2019-07-29
8180001151437,ハートサービスアスカ株式会社,ハートサービスアスカ,愛知県,名古屋市中川区,愛知県名古屋市中川区服部５丁目５２０番地,service,care,2022-05-26,false,,,,,052-433-3373,,,国税庁 法人番号公表サイト,2022-05-26
9180002079172,有限会社尾張健友サービス,オワリケンユウサービス,愛知県,一宮市,愛知県一宮市千秋町塩尻字山王７番地の５,service,care,2015-10-05,false,,,,http://,0586-81-8221,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2180302024710,株式会社ひかりサービス,ヒカリサービス,愛知県,豊田市,愛知県豊田市永覚町欠畑２０番地１,service,care,2015-10-05,false,,,,http://www.s-ajisai.com/kasadera/,0565-21-3908,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2180301028332,株式会社セキ・ライフサービス,セキライフサービス,愛知県,豊川市,愛知県豊川市赤坂町岩ノ谷１６番地９,service,care,2015-10-05,false,,,,https://sekilifeservice.amebaownd.com/,0533-79-6877,,,国税庁 法人番号公表サイト,2018-10-31
9180001055224,愛知メディカルサービス株式会社,アイチメディカルサービス,愛知県,名古屋市中川区,愛知県名古屋市中川区荒子２丁目２０１番地,service,care,2015-10-05,false,40,,,http://www.aichi-medical.co.jp,052-745-8171,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4180005018446,一般社団法人名古屋地域健康企画,ナゴヤチイキケンコウキカク,愛知県,名古屋市東区,愛知県名古屋市東区東大曽根町２９－１１共栄ビル西棟３０１,service,care|advertising,2019-10-04,false,,,,,052-908-8596,,,国税庁 法人番号公表サイト,2023-02-24
3180002055385,有限会社のどか居宅支援サービス,,愛知県,名古屋市名東区,愛知県名古屋市名東区貴船１丁目２６２番地,service,care,2015-10-05,false,,,,https://nodoka123.wixsite.com/website-1,052-705-8147,,,国税庁 法人番号公表サイト,2015-11-13
7180302015003,堀内メディカルサービス有限会社,,愛知県,豊川市,愛知県豊川市長沢町向谷８３番地,service,care,2015-10-05,false,,,,,0533883431,,,国税庁 法人番号公表サイト,2015-11-13
5180303003834,合同会社ミクニ企画,ミクニキカク,愛知県,豊田市,愛知県豊田市阿蔵町曽理８８番地,service,care|advertising,2017-04-28,false,,,,,0565-90-3538,,,国税庁 法人番号公表サイト,2023-03-31
2180001046832,株式会社イズモ企画,イズモキカク,愛知県,名古屋市守山区,愛知県名古屋市守山区小幡中３丁目１３番３３号,service,care|advertising,2015-10-05,false,,,,http://izumokikaku.com,0568-29-9691,,,国税庁 法人番号公表サイト,2019-06-10
6180301026308,株式会社縁サポートサービス,エンサポートサービス,愛知県,岡崎市,愛知県岡崎市康生通東２丁目３７番地,service,care,2015-10-05,false,,,,,0564-65-7090,,,国税庁 法人番号公表サイト,2024-11-28
6180001109354,アイ・ディアサービス株式会社,アイディアサービス,愛知県,名古屋市北区,愛知県名古屋市北区水切町４丁目５４番地の５,service,care,2015-10-05,false,,,,www.nagomikazoku.jp/iheart/,0529827159,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4180001117904,増田リハビリサービス株式会社,,愛知県,名古屋市中村区,愛知県名古屋市中村区押木田町１丁目１９番地,service,care,2015-10-05,false,,,,,052-482-7100,,,国税庁 法人番号公表サイト,2015-11-13
6180002059912,有限会社ウッディー・ライフサービス,ウッディーライフサービス,愛知県,名古屋市中川区,愛知県名古屋市中川区牛立町４丁目５番地,service,care,2015-10-05,false,,,,,052-755-2805,,,国税庁 法人番号公表サイト,2023-07-10
9180302011792,有限会社デイサービス虹の家,デイサービスニジノイエ,愛知県,豊橋市,愛知県豊橋市花田町字小松８８番地,service,care,2015-10-05,false,,,,http://nijinoie.g3.xrea.com/,0532-34-7588,,,国税庁 法人番号公表サイト,2020-06-26
4180002067090,有限会社ビップオートサービス,,愛知県,春日井市,愛知県春日井市前並町１丁目１０番地の３,service,care|auto,2015-10-05,false,,,,https://www.danrannoie.com/concept.html,0568-39-6286,,,国税庁 法人番号公表サイト,2015-11-13
5180301024436,株式会社イヨダ企画,イヨダキカク,愛知県,豊田市,愛知県豊田市深田町３丁目５９番地,service,care|advertising,2012-02-08,false,,,代表取締役　伊與田　晃司,http://www.ymmd-hcc.jp,0565-63-5278,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8180002073944,有限会社デイサービス森林公園,,愛知県,尾張旭市,愛知県尾張旭市柏井町公園通５４３番地,service,care,2015-10-05,false,,,,,0561-53-3337,,,国税庁 法人番号公表サイト,2015-11-13
6180001109750,株式会社大福サービス,ダイフクサービス,愛知県,愛西市,愛知県愛西市東條町高田１０番５,service,care,2015-10-05,false,,,,https://www.wagokoro-saya.com/,0567-69-6232,,,国税庁 法人番号公表サイト,2023-06-05
5180002047364,有限会社チェリッシュ企画,チェリッシュキカク,愛知県,名古屋市天白区,愛知県名古屋市天白区植田２丁目２０２番地,service,care|advertising,2015-10-05,false,,,,http://ookinakusunoki@md.ccnw.ne.jp,052-808-7122,,,国税庁 法人番号公表サイト,2019-07-30
1010001197437,株式会社ＤＤＤメディアコンテンツ,ディーディーディーメディアコンテンツ,愛知県,名古屋市西区,愛知県名古屋市西区那古野２丁目１４－１,service,advertising,2018-12-28,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-04
1010801024807,エーエスデイサービス株式会社,,愛知県,名古屋市南区,愛知県名古屋市南区星崎１丁目１０番地,service,care,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-14
1060005009204,一般社団法人国際幼児教育学会,コクサイヨウジキョウイクガッカイ,愛知県,刈谷市,愛知県刈谷市井ケ谷町広沢１番地愛知教育大学内,service,education,2016-06-29,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-16
1080401013971,株式会社協進サービス,,愛知県,名古屋市中村区,愛知県名古屋市中村区名駅４丁目２５番１７号三喜ビル６Ｆ,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1100002031577,有限会社南宮企画,,愛知県,名古屋市瑞穂区,愛知県名古屋市瑞穂区塩入町９番１７号ペアライフ堀田１０６,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-11
1140001083343,株式会社ＢＭ企画,,愛知県,知多郡美浜町,愛知県知多郡美浜町大字野間字中新田３９番地３,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1180001000286,カワセテニス企画株式会社,カワセテニスキカク,愛知県,名古屋市守山区,愛知県名古屋市守山区大字中志段味字吉田洞２９１１番地の８１８,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-26
1180001001350,守山東サービス株式会社,モリヤマヒガシサービス,愛知県,名古屋市守山区,愛知県名古屋市守山区四軒家１丁目７１０番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-18
1180001001862,株式会社教育企画,,愛知県,名古屋市名東区,愛知県名古屋市名東区亀の井２丁目１１６番地,service,education|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1180001002134,株式会社シティーサービス,シティーサービス,愛知県,名古屋市名東区,愛知県名古屋市名東区一社３丁目２０番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-06
1180001002407,中部観光サービス株式会社,,愛知県,名古屋市名東区,愛知県名古屋市名東区上社２丁目２０３番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
