# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7110001021572,株式会社カネタ建設,カネタケンセツ,新潟県,糸魚川市,新潟県糸魚川市中央２丁目４番２号,construction,care|construction,2015-10-05,false,72,,,http://www.kaneta.co.jp,025-553-0909,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9110002034092,有限会社渡辺工務店,ワタナベコウムテン,新潟県,魚沼市,新潟県魚沼市与五郎新田３９番地,construction,care|construction,2015-10-05,false,,,,http://watanabe-uonuma.com/sp/,025-794-5860,,,国税庁 法人番号公表サイト,2023-05-11
3110001022293,株式会社角新工務店,カクシンコウムテン,新潟県,長岡市,新潟県長岡市本町１丁目１番地１,construction,care|construction,2015-10-05,false,,,,http://www.yahiko-aozora.com,0256-82-8888,,,国税庁 法人番号公表サイト,2018-06-26
8110020213584,株式会社　魚野建築,,新潟県,新潟市秋葉区,新潟県新潟市秋葉区中野3丁目18番2号,construction,care|construction,,false,,,,http://uonosupport.com/,0250-47-7140,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
9110001005755,吉田薬品工業株式会社,ヨシダヤクヒンコウギョウ,新潟県,新潟市西区,新潟県新潟市西区西小針台２丁目５番１号,construction,care,2015-10-05,false,,,,https://www.yoshidapharma.com,025-267-6620,,,国税庁 法人番号公表サイト,2018-06-18
1110001013212,株式会社カエツ工業,カエツコウギョウ,新潟県,胎内市,新潟県胎内市東牧７２６番地２８,construction,care,2015-10-05,false,,,,http://www.kaetsu-kougyo.co.jp/nursing-division,0254-28-7601,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8110001032998,株式会社河内建築,カワウチケンチク,新潟県,胎内市,新潟県胎内市大出１４４６番地,construction,care|construction,2018-02-13,false,7,,,https://miraiekk.wixsite.com/miraie,0254-46-0102,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3110001026229,株式会社大平建設工業,オオダイラケンセツコウギョウ,新潟県,南魚沼市,新潟県南魚沼市上原４０５番地４,construction,care|construction,2015-10-05,false,,,,https://www.sakoujyu-uraraka.com,025-788-0757,,,国税庁 法人番号公表サイト,2021-06-11
4110001025436,株式会社中越工業,チュウエツコウギョウ,新潟県,小千谷市,新潟県小千谷市上ノ山３丁目３番２１号,construction,care,2015-10-05,false,,,,,0258-81-1023,,,国税庁 法人番号公表サイト,2018-10-02
1010601038924,株式会社健信建設,ケンシンケンセツ,新潟県,新発田市,新潟県新発田市荒町１７３９番,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-11
1011102017327,株式会社イーアンドジー建築,イーアンドジーケンチク,新潟県,新潟市中央区,新潟県新潟市中央区美の里１７番８号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-12
1110001000128,株式会社山際総合建設,ヤマギワソウゴウケンセツ,新潟県,新潟市西区,新潟県新潟市西区鳥原２８３６番地２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-16
1110001000912,沖歯科工業株式会社,オキシカコウギョウ,新潟県,新潟市西区,新潟県新潟市西区真砂３丁目２３番２号,construction,clinic,1963-12-25,false,,,代表取締役　佐藤　博行,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1110001000945,株式会社小野工業所,オノコウギョウショ,新潟県,新潟市中央区,新潟県新潟市中央区湖南２９番地２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-01
1110001001002,株式会社協和工業,,新潟県,新潟市北区,新潟県新潟市北区新崎２９３番地１５,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-26
1110001001027,下越通信工業株式会社,カエツツウシンコウギョウ,新潟県,新潟市中央区,新潟県新潟市中央区鳥屋野３０７番地４,construction,,1963-01-23,false,,,代表取締役　磯部　俊晴,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1110001001076,旭基礎工業株式会社,,新潟県,新潟市中央区,新潟県新潟市中央区上近江３丁目３３番５－７０４号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110001001563,かもめ自動車工業株式会社,カモメジドウシャコウギョウ,新潟県,新潟市中央区,新潟県新潟市中央区竜が島１丁目３番６号,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-05
1110001001571,株式会社萱場建築店,,新潟県,新潟市中央区,新潟県新潟市中央区山田町１丁目３９５９番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-02
1110001001621,近代土木工業株式会社,キンダイドボクコウギョウ,新潟県,新潟市中央区,新潟県新潟市中央区米山３丁目３番２３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-30
1110001001704,株式会社清野工務店,キヨノコウムテン,新潟県,新潟市中央区,新潟県新潟市中央区米山５丁目５番１０号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-19
1110001002198,株式会社三協車体工業,サンキョウシャタイコウギョウ,新潟県,新潟市中央区,新潟県新潟市中央区愛宕３丁目９番地８,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1110001002421,椎谷工務店株式会社,シイヤコウムテン,新潟県,新潟市西区,新潟県新潟市西区槇尾１３３番地２５,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-30
1110001002470,真成建設工業株式会社,,新潟県,新潟市中央区,新潟県新潟市中央区東堀前通１０番町１７８９番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110001002529,株式会社新鉄工業所,シンテツコウギョウショ,新潟県,新潟市中央区,新潟県新潟市中央区関屋本村町１丁目１４９番地９,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-25
1110001002719,杉崎リース工業株式会社,スギサキリースコウギョウ,新潟県,新潟市北区,新潟県新潟市北区新崎７０９番地２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-12
