# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1110001004293,株式会社日本フードリンク,ニホンフードリンク,新潟県,新潟市東区,新潟県新潟市東区津島屋６丁目９９番地１,food,,2015-10-05,false,1020,,,https://www.j-foodrink.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1110001009499,株式会社Ｔ・Ｍダイニング,,新潟県,新潟市西区,新潟県新潟市西区平島１３１６番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-03-06
1110001029365,株式会社フードホープ,フードホープ,新潟県,長岡市,新潟県長岡市浦９８７３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-11
1110001030959,株式会社市場食堂,イチバショクドウ,新潟県,柏崎市,新潟県柏崎市半田１丁目１番８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-18
1110001031676,株式会社ヴェアリアスキッチン,ヴェアリアスキッチン,新潟県,長岡市,新潟県長岡市坂之上町３丁目１番地１１－６０３ダイアパレス明治公園６０３号室,food,restaurant,2016-07-20,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-14
1110001033053,アサヒダイニング株式会社,アサヒダイニング,新潟県,三条市,新潟県三条市横町１丁目７番１号,food,restaurant,2018-03-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-15
1110001034976,株式会社ワイオリキッチン,ワイオリキッチン,新潟県,新潟市中央区,新潟県新潟市中央区学校町通３番町５３２３番地２２２,food,restaurant,2020-07-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-07
1110001036576,株式会社メイプルフード,メイプルフード,新潟県,三島郡出雲崎町,新潟県三島郡出雲崎町大字小木３２８番地１３,food,,2022-04-08,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-08
1110002001728,有限会社カフェモード,,新潟県,新潟市中央区,新潟県新潟市中央区三和町１番２６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-24
1110002005654,有限会社フード天野店,,新潟県,新潟市江南区,新潟県新潟市江南区天野３丁目１番１７号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-06
1110002007428,有限会社ウェルネスフード,,新潟県,新潟市東区,新潟県新潟市東区山木戸８丁目５番４号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110002008574,有限会社ゲンズダイニング,,新潟県,新潟市西区,新潟県新潟市西区小針７丁目２０番２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110002016734,有限会社幸楽フード,,新潟県,新発田市,新潟県新発田市諏訪町２丁目４番２７号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110002016833,有限会社いこい食堂,イコイショクドウ,新潟県,三条市,新潟県三条市林町２丁目１７番２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-30
1110002022906,有限会社新いづみ屋食堂,,新潟県,上越市,新潟県上越市本町５丁目５番５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110002030537,有限会社カフェレストランソラティオ,カフェレストランソラティオ,新潟県,長岡市,新潟県長岡市川崎６丁目８６６番地６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-02
1110002031122,有限会社栄屋食堂,サカエヤショクドウ,新潟県,長岡市,新潟県長岡市金町２丁目１番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-27
1110003003285,タリンカフェ合同会社,タリンカフェ,新潟県,三条市,新潟県三条市石上２丁目１１番１９号,food,restaurant,2016-04-13,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-22
1110005016723,特定非営利活動法人フードバンクつばめ,フードバンクツバメ,新潟県,燕市,新潟県燕市小池４８５２番地５,food,,2021-10-19,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2011002036137,有限会社フードラボラ,,新潟県,新潟市東区,新潟県新潟市東区本所１丁目１３番８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-08
2110001002874,株式会社総合フードサービス,ソウゴウフードサービス,新潟県,新潟市西区,新潟県新潟市西区山田２３１０番地１,food,restaurant,2015-10-05,false,200,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2110001009052,株式会社はちもんフード,ハチモンフード,新潟県,新潟市中央区,新潟県新潟市中央区三和町１番２２－６１６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-21
2110001014622,株式会社ファミリー食堂はしもと,ファミリーショクドウハシモト,新潟県,三条市,新潟県三条市北新保１丁目２０番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
2110001016841,株式会社ティーエムフードプロ,ティーエムフードプロ,新潟県,西蒲原郡弥彦村,新潟県西蒲原郡弥彦村大字矢作７２８８番地５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-30
2110001020133,株式会社マルアフードサービス,,新潟県,上越市,新潟県上越市大潟区土底浜３８４７番地２３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-22
2110001022014,株式会社青島食堂,アオシマショクドウ,新潟県,長岡市,新潟県長岡市宮内３丁目５番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-16
2110001028606,株式会社フードアクチュアリー,,新潟県,胎内市,新潟県胎内市柴橋１９１番地３,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110001034315,株式会社ポンカフェ,ポンカフェ,新潟県,新潟市中央区,新潟県新潟市中央区東大通１丁目７番８号,food,restaurant,2019-09-30,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-03
2110002010059,有限会社大野フード,オオノフード,新潟県,新潟市南区,新潟県新潟市南区新飯田８８０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-01
2110002019323,有限会社サンフード・サービス,サンフードサービス,新潟県,燕市,新潟県燕市秋葉町４丁目５番２２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-12
2110002022847,有限会社七福食堂,,新潟県,上越市,新潟県上越市幸町１５番２８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110002023102,有限会社チヤイニーズレストラン味楽,,新潟県,上越市,新潟県上越市春日山町２丁目１１番１５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110002027565,有限会社五十番食堂,,新潟県,長岡市,新潟県長岡市新町３丁目３番５５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110002031402,有限会社島宗フードサービス,,新潟県,長岡市,新潟県長岡市宮下町４８５番地１５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110002031550,有限会社カフェテリア志賀,カフェテリアシガ,新潟県,見附市,新潟県見附市今町４丁目１８番１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-07
2110002032557,有限会社清水フードチエン船岡店,,新潟県,小千谷市,新潟県小千谷市１０３３番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-08
2110003001775,合資会社キッチンミノ,,新潟県,糸魚川市,新潟県糸魚川市大字須沢８０５番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110003001882,合資会社食堂ライオン,,新潟県,長岡市,新潟県長岡市千手横町７６１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2110005016185,特定非営利活動法人フードバンクにいがた,フードバンクニイガタ,新潟県,新潟市西区,新潟県新潟市西区小針南台３番地１６号葡萄の木,food,,2018-01-04,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2110005017019,特定非営利活動法人こどもみらい食堂,コドモミライショクドウ,新潟県,長岡市,新潟県長岡市学校町１丁目１０番３１号,food,restaurant,2023-11-13,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-13
2110005017191,特定非営利活動法人新潟県フードバンク推進協議会,ニイガタケンフードバンクスイシンキョウギカイ,新潟県,三条市,新潟県三条市北新保１丁目２０番１８号,food,,2025-02-21,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-21
2110005017217,特定非営利活動法人フードバンクにいがた,フードバンクニイガタ,新潟県,新潟市中央区,新潟県新潟市中央区幸町７番１６号ＫＲビル１階,food,,2025-04-11,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-11
3110001005182,株式会社ホリカワフード,ホリカワフード,新潟県,新潟市中央区,新潟県新潟市中央区本町通６番町１１３０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-01
3110001006552,株式会社レストラン工房,,新潟県,新潟市江南区,新潟県新潟市江南区曙町４丁目９番２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-15
3110001009530,株式会社フードプロデュースカンパニー,フードプロデュースカンパニー,新潟県,新潟市中央区,新潟県新潟市中央区南出来島１丁目１９番１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-17
3110001010323,株式会社フードアシスト,,新潟県,新潟市東区,新潟県新潟市東区東中野山４丁目６番８－８３２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-26
3110001023721,株式会社レストランイチムラ,,新潟県,見附市,新潟県見附市今町４丁目９番４７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110001030049,株式会社アベフードサービス,アベフードサービス,新潟県,長岡市,新潟県長岡市美沢４丁目２０４番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-30
3110001034306,株式会社ニイガタフードスタッフ,ニイガタフードスタッフ,新潟県,新潟市北区,新潟県新潟市北区新崎１丁目１３番３４号,food,hr,2019-09-26,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-01
3110002005628,有限会社ふじや食堂,,新潟県,新潟市東区,新潟県新潟市東区中山５丁目２４番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-11-04
3110002007293,有限会社レストランキリン,,新潟県,新潟市中央区,新潟県新潟市中央区一番堀通町５１３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110002009232,有限会社北越フードサプライ,ホクエツフードサプライ,新潟県,新潟市中央区,新潟県新潟市中央区堀之内南１丁目２６番１５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-03
3110002020230,有限会社いづみや食堂,,新潟県,柏崎市,新潟県柏崎市西本町２丁目２番２９号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110002024611,有限会社食堂ニューミサ,ショクドウニューミサ,新潟県,上越市,新潟県上越市中郷区稲荷山３６７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-21
3110002025808,有限会社ファミリーフードみたけ,,新潟県,十日町市,新潟県十日町市高山丙１９番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110002029172,有限会社まつや食堂,マツヤショクドウ,新潟県,長岡市,新潟県長岡市宮原３丁目１２番６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-25
3110002030221,有限会社プレジャー・ダイニング,,新潟県,長岡市,新潟県長岡市亀貝町１６９４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110003000900,合同会社スーパー食堂,,新潟県,胎内市,新潟県胎内市村松浜２７２４番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-26
3110003002062,合資会社キング食堂,,新潟県,見附市,新潟県見附市新町２９２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
3110003003969,合同会社カワキタフードサービス,カワキタフードサービス,新潟県,柏崎市,新潟県柏崎市新花町９番４号,food,restaurant,2019-07-24,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-29
3110005017265,特定非営利活動法人北陸フードバンク推進協議会,ホクリクフードバンクスイシンキョウギカイ,新潟県,三条市,新潟県三条市北新保１丁目２０番１８号,food,,2025-09-03,true,,,,,,,,国税庁 法人番号公表サイト,2025-09-03
3110005017356,新潟駅前・東大通飲食事業協同組合,ニイガタエキマエヒガシオオドオリインショク,新潟県,新潟市中央区,新潟県新潟市中央区万代５丁目１－１、１９Ｆ,food,restaurant,2026-05-25,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-25
4010401150224,株式会社大吉ダイニング,ダイキチダイニング,新潟県,新潟市中央区,新潟県新潟市中央区東中通１番町１８６番１,food,restaurant,2020-01-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4110001008358,レストラン新潟株式会社,レストランニイガタ,新潟県,新潟市西蒲区,新潟県新潟市西蒲区峰岡７４４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-01
4110001009471,株式会社フードプロジェクト,フードプロジェクト,新潟県,新潟市中央区,新潟県新潟市中央区上所中１丁目１番７号,food,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
4110001014942,株式会社サンエイフード,,新潟県,三条市,新潟県三条市鬼木３０９９番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-12
4110001017219,株式会社カワキタフードサービス,カワキタフードサービス,新潟県,柏崎市,新潟県柏崎市新花町９番４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-21
4110001020164,株式会社Ｙｕｍｍｙドリームキッチン,ヤミードリームキッチン,新潟県,上越市,新潟県上越市西城町４丁目２番２８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-06
4110001029263,株式会社オーシャンダイニング,オーシャンダイニング,新潟県,新潟市中央区,新潟県新潟市中央区女池３丁目５４番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-14
4110001034313,株式会社フードクリエイション,フードクリエイション,新潟県,新潟市中央区,新潟県新潟市中央区古町通６番町９８２番地１ロンドベル１階,food,,2019-10-03,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
