# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6110002034038,有限会社須田義肢製作所,スダギシセイサクジョ,新潟県,魚沼市,新潟県魚沼市大石４４番地１,manufacturing,care|manufacturing,2015-10-05,false,,,,http://www.sudagishi.com/,025-794-5112,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1030001128621,潤隆製造株式会社,ジュンリュウセイゾウ,新潟県,村上市,新潟県村上市石住４－３,manufacturing,manufacturing,2018-12-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-25
1110001001167,アルファ食品株式会社,アルファショクヒン,新潟県,新潟市東区,新潟県新潟市東区下木戸３丁目２番１９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-21
1110001001935,株式会社コーワ食品,コーワショクヒン,新潟県,新潟市江南区,新潟県新潟市江南区天野３丁目３２番８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-26
1110001004715,ヒシサン食品株式会社,,新潟県,新潟市中央区,新潟県新潟市中央区下大川前通７ノ町２２３０番地４２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-10-06
1110001006414,株式会社坂井機械製作所,サカイキカイセイサクジョ,新潟県,新潟市江南区,新潟県新潟市江南区曙町２丁目８番１２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-14
1110001007404,株式会社青木製作所,アオキセイサクジョ,新潟県,新潟市南区,新潟県新潟市南区鷲ノ木新田２１６０番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-19
1110001007924,株式会社政昭製作所,,新潟県,新潟市北区,新潟県新潟市北区下大谷内字堤下１６７２番地１３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110001008253,小池金属株式会社,コイケキンゾク,新潟県,新潟市西蒲区,新潟県新潟市西蒲区巻甲３２５７番地１０,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-04
1110001010011,株式会社菱友製作所,,新潟県,新潟市江南区,新潟県新潟市江南区三百地２３３５番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-28
1110001011389,株式会社目黒精密板金,,新潟県,阿賀野市,新潟県阿賀野市南安野町６番２９号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1110001012890,株式会社豊伸製作所,,新潟県,新発田市,新潟県新発田市本田字内谷内３３９４番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1110001013897,株式会社イマイ金属,イマイキンゾク,新潟県,三条市,新潟県三条市金子新田字五十ノ南乙１７１２番地２６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-27
