# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3110002022251,有限会社池亀商事,,新潟県,上越市,新潟県上越市春日山町１丁目５番５号,retail,care|wholesale,2015-10-05,false,,,,http://minori.life/,0255207242,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5110001029997,株式会社スマートケア,スマートケア,新潟県,糸魚川市,新潟県糸魚川市押上２丁目４番２５号,retail,care,2015-10-05,false,12,,,,025-556-6966,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3110001015256,株式会社田辺喜平商店,タナベキヘイショウテン,新潟県,加茂市,新潟県加茂市上町７番１０号,retail,care|retail,2015-10-05,false,,,,http://tanabe-kihei.co.jp/,0256-52-0063,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3110001013202,株式会社大久保商店,オオクボショウテン,新潟県,胎内市,新潟県胎内市関沢５７番地１,retail,care|retail,2015-10-05,false,,,,,0254-43-3900,,,国税庁 法人番号公表サイト,2021-04-20
5110002021516,有限会社コスモス商事,,新潟県,村上市,新潟県村上市松沢４０番地１５,retail,care|wholesale,2015-10-05,false,,,,,0254-60-1610,,,国税庁 法人番号公表サイト,2015-11-06
1100001032403,西博雅商事株式会社,シブヤショウジ,新潟県,上越市,新潟県上越市柿崎区馬正面１６３９番地３,retail,wholesale,2019-08-01,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-19
1110001000193,株式会社アイト商店,アイトショウテン,新潟県,新潟市中央区,新潟県新潟市中央区上大川前通９番町１２６８番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-25
1110001000714,株式会社遠藤三郎商店,エンドウサブロウショウテン,新潟県,新潟市東区,新潟県新潟市東区長者町５番１１号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-05
1110001001282,株式会社伊藤商店,,新潟県,新潟市中央区,新潟県新潟市中央区日の出１丁目２番１３号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1110001001472,鹿島商事株式会社,,新潟県,新潟市北区,新潟県新潟市北区松浜東町２丁目１番４３号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
