# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7011101062822,三井ファーム株式会社,ミツイファーム,東京都,新宿区,東京都新宿区西早稲田２丁目１７番３２号,agriculture,care|agriculture,2015-10-05,false,,,,,03-6904-8818,,,国税庁 法人番号公表サイト,2023-07-12
2012801021312,株式会社ナーシングファーム,ナーシングファーム,東京都,国立市,東京都国立市富士見台４丁目４１番地の１,agriculture,care|agriculture,2022-01-07,false,,,,https://hidamarinoki-ns.com/,042-513-4065,,https://hidamarinoki-ns.com/?page_id=44,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3010001155632,株式会社ウェルネスファームひょうたん島,ウェルネスファームヒョウタンジマ,東京都,八丈島八丈町,東京都八丈島八丈町三根１１０４番地３,agriculture,care|agriculture,2015-10-05,false,5,,,,04996-9-5981,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001021646,Ｔ＆Ｄコンファーム株式会社,ティーアンドディーコンファーム,東京都,北区,東京都北区赤羽２丁目１７番４号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-16
1010001023881,東尋坊水産株式会社,,東京都,千代田区,東京都千代田区外神田５丁目６番１２号コーワビル６０１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-26
1010001039754,尾坪水産株式会社,オツボスイサン,東京都,江東区,東京都江東区豊洲６丁目６番３号５階,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-12
1010001044399,太陽三光水産株式会社,,東京都,新宿区,東京都新宿区歌舞伎町２丁目２５番８号エコプレイス新宿４１１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-20
1010001045158,株式会社サンセイファーム,,東京都,中央区,東京都中央区築地２丁目１番２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-16
1010001047294,ジャパン・ロシア水産株式会社,,東京都,中央区,東京都中央区築地２丁目１１番９号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-15
1010001050604,株式会社月島水産,,東京都,中央区,東京都中央区月島２丁目２番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1010001053598,西喜水産株式会社,ニシキスイサン,東京都,江東区,東京都江東区東砂７丁目１１番１８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-15
1010001054092,農水産業株式会社,,東京都,中央区,東京都中央区八丁堀４丁目１４番７号中央第一ビル８０１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1010001056733,北伸水産株式会社,,東京都,中央区,東京都中央区銀座４丁目１４番１１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-26
1010001057211,丸喜大一水産株式会社,マルキダイイチスイサン,東京都,江東区,東京都江東区豊洲６丁目５番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-19
1010001057277,株式会社丸隆石川水産,マルタカイシカワスイサン,東京都,江東区,東京都江東区豊洲６丁目５番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-19
1010001059158,株式会社山源水産,ヤマゲンスイサン,東京都,江東区,東京都江東区豊洲６丁目５番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-18
1010001066071,株式会社向日葵水産,,東京都,中央区,東京都中央区築地４丁目６番５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1010001072458,株式会社一太朗水産,イチタロウスイサン,東京都,中央区,東京都中央区築地６丁目５番２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-16
1010001073547,株式会社恵水産,メグミスイサン,東京都,中央区,東京都中央区勝どき２丁目８番１６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-16
1010001077523,株式会社シュガービートファーム,,東京都,千代田区,東京都千代田区神田駿河台３丁目３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-16
1010001116165,株式会社クオリティファーム,,東京都,千代田区,東京都千代田区大手町１丁目７番２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-26
1010001127947,株式会社ローファーム,,東京都,千代田区,東京都千代田区神田三崎町２丁目９番５号水道橋ＴＪビル３Ｆ,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-09
1010001133796,株式会社セブンファーム,セブンファーム,東京都,千代田区,東京都千代田区二番町８番地８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-14
1010001136626,株式会社キヒロ水産,,東京都,中央区,東京都中央区日本橋人形町２丁目２６番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-26
