# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7010601035701,ウエルシアパートナーズ株式会社,ウエルシアパートナーズ,東京都,豊島区,東京都豊島区北大塚１丁目１２番１５号,consulting,care|pro-services,2015-10-05,false,983,,,https://www.welcia-partners.co.jp/,03-5907-3820,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2011001064188,シマダリビングパートナーズ株式会社,シマダリビングパートナーズ,東京都,渋谷区,東京都渋谷区代々木３丁目２２番７号,consulting,care|pro-services,2015-10-05,false,,,,www.hibari-kaigo.jp,046-854-9202,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1011101087222,株式会社ＯＡ総研,オーエーソウケン,東京都,千代田区,東京都千代田区神田駿河台４丁目６番地,consulting,care|pro-services,2019-03-26,false,,,,https://oa-soken.co.jp/juju/koganehara/,０４－７１４２－１００１,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6010001197424,中央パートナーズ株式会社,チュウオウパートナーズ,東京都,中央区,東京都中央区晴海１丁目１番２８号キャナルハウス８０１号室,consulting,care|pro-services,2019-01-07,false,22,,,https://www/hikari.care,03-3520-8895,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1010001083026,フロンティアコンストラクション＆パートナーズ株式会社,フロンティアコンストラクションアンドパートナーズ,東京都,港区,東京都港区東新橋１丁目５番２号,consulting,care|pro-services,2001-04-10,false,1160,,代表取締役　松村　力,http://www.sp-care.jp,03-6421-4008,,http://www.sp-care.jp/341993095,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6011601014984,株式会社Ｍ＆Ｓパートナーズ,エムアンドエスパートナーズ,東京都,練馬区,東京都練馬区大泉町４丁目４０番６号,consulting,care|pro-services,2015-10-05,false,,,,http://www.egao-care.com,0120742688,info@egao-care.com,https://cms.plimo.com/cgi-bin/inquiry/www.egao-care.com/?blog_id=1119&form_id=5581&type=view&token=GnmEIfG18qc9VNYIqTBaTaWRySKb8pwXDOuKXn0A,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4010901020496,株式会社グッドパートナーズ,グッドパートナーズ,東京都,港区,東京都港区赤坂２丁目４番６号赤坂グリーンクロス１９階,consulting,care|pro-services,2015-10-05,false,,,,https://attenity.jp/tamagawagakuen/,0120-007-212,,https://attenity.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9012803001396,合同会社パートナーズ,パートナーズ,東京都,東大和市,東京都東大和市向原２丁目７７８番地の１３,consulting,care|pro-services,2016-02-03,false,,,,http://dayservicehonpo.jp/houmonscrum/,042-386-7135,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4012401017147,株式会社佐藤総研,サトウソウケン,東京都,府中市,東京都府中市是政２丁目１９番１号,consulting,care|pro-services,2015-10-05,false,,,,,042-806-0270,,,国税庁 法人番号公表サイト,2020-05-15
7180001088507,株式会社エムズコンサルティング,エムズコンサルティング,東京都,千代田区,東京都千代田区霞が関３丁目２番６号東京倶楽部ビルディング５階,consulting,care|pro-services,2015-10-05,false,,,,https://care-emz.com/,052-325-5225,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
