# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7010001008844,株式会社日立製作所,ヒタチセイサクショ,東京都,千代田区,東京都千代田区丸の内１丁目６番６号,manufacturing,care|manufacturing,1920-02-01,false,35631,466666000000,執行役社長兼CEO　德永　俊昭,http://www.hitachi.co.jp,0294-23-7952,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4011702003723,有限会社久留米製作所,,東京都,江戸川区,東京都江戸川区平井７丁目８番１３号,manufacturing,care|manufacturing,2015-10-05,false,,,,,03-3613-3525,,,国税庁 法人番号公表サイト,2015-10-28
1010001002225,株式会社久我電子機器製作所,,東京都,文京区,東京都文京区千石４丁目４６番８号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-16
1010001003677,正英食品株式会社,,東京都,文京区,東京都文京区小石川５丁目１０番１８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1010001004403,大洋製薬株式会社,タイヨウセイヤク,東京都,文京区,東京都文京区本郷３丁目１４番１６号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001004527,泰秀食品株式会社,タイシュウショクヒン,東京都,板橋区,東京都板橋区中板橋２２番３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-02
1010001005624,株式会社戸村製作所,,東京都,文京区,東京都文京区千駄木３丁目３０番１０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1010001005839,株式会社日本金属工芸研究所,ニホンキンゾクコウゲイケンキュウショ,東京都,文京区,東京都文京区向丘１丁目６番１２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-01
1010001008734,日産化学株式会社,ニッサンカガク,東京都,中央区,東京都中央区日本橋２丁目５番１号,manufacturing,,1921-04-07,false,2044,18942000000,取締役社長　八木　晋介,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001010624,石福金属興業株式会社,イシフクキンゾクコウギョウ,東京都,千代田区,東京都千代田区内神田３丁目２０番７号,manufacturing,manufacturing,1934-12-31,false,351,,代表取締役　古宮　基成,https://www.ishifuku-kinzoku.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
