# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6020001046068,東京海上日動ベターライフサービス株式会社,トウキョウカイジョウニチドウベターライフサービス,東京都,世田谷区,東京都世田谷区用賀４丁目１０番５号,service,care,2015-10-05,false,2403,,,https://www.tnbls.co.jp/sustainability/,046-200-1501,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8011105001809,特定非営利活動法人東京山の手まごころサービス,トウキョウヤマノテマゴコロサービス,東京都,新宿区,東京都新宿区高田馬場１丁目３２番地７号信ビル３０１号,service,care,2015-10-05,false,,,,http://www.netlaputa.ne.jp/~yamanote/,03-3205-6813,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010001115464,株式会社ひふみサービス,ヒフミサービス,東京都,新宿区,東京都新宿区百人町２丁目２２番１６号,service,care,2015-10-05,false,,,,,03-5925-1236,,,国税庁 法人番号公表サイト,2021-09-08
5010003024882,エイチアイケーサービス合同会社,エイチアイケーサービス,東京都,文京区,東京都文京区小石川５丁目３４番１０号,service,care,2017-02-21,false,,,,https://pika1care.co.jp/,03-6801-5436,,https://pika1care.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4010502019376,有限会社さくらサービス,,東京都,台東区,東京都台東区小島２丁目１７番８号ネギシセレッソ２０５,service,care,2015-10-05,false,,,,,03-5687-3676,,,国税庁 法人番号公表サイト,2015-10-28
8011001094576,株式会社ライフコンサイドサービス,ライフコンサイドサービス,東京都,足立区,東京都足立区竹の塚５丁目１２番７号,service,care,2015-10-05,false,,,,http://www.life-cs.com/,03-6657-1102,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5010701008014,株式会社ハート・トータルサービス,ハートトータルサービス,東京都,品川区,東京都品川区東五反田４丁目８番７号,service,care,2015-10-05,false,,,,http://care-net.biz/13/heart-total/,03-3443-6666,,https://care-net.biz/13/heart-total/form.php?ref=https://care-net.biz/13/heart-total/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4010802017897,有限会社スマイル・サービスセンター,スマイルサービスセンター,東京都,大田区,東京都大田区南蒲田１丁目７番２０号,service,care,2015-10-05,false,,,,http://www.smile-magokoro.jp/,03-6424-9835,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8010802008934,有限会社オーエスサービス,オーエスサービス,東京都,大田区,東京都大田区池上５丁目１番４号,service,care,2015-10-05,false,,,,http://houmon-ikegami.care-24.net/,03-3755-8060,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7010902013744,有限会社ヘルパーサービス和知,,東京都,世田谷区,東京都世田谷区代沢５丁目７番３号,service,care,2015-10-05,false,,,,https://wachi-helper.co.jp/,03-3411-3108,,https://wachi-helper.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
