# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1060001001016,株式会社大谷保険事務所,オオタニホケンジムショ,栃木県,宇都宮市,栃木県宇都宮市住吉町２番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-31
1060001002237,信用商亊株式会社,シンヨウショウジ,栃木県,宇都宮市,栃木県宇都宮市西川田町１００４番地２８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-10
1060001003862,株式会社ファイナンス,,栃木県,宇都宮市,栃木県宇都宮市峰４丁目１６番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1060001005108,株式会社栃木保険,トチギホケン,栃木県,宇都宮市,栃木県宇都宮市栄町６番１５号赤羽ハイツ１階,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1060001007814,株式会社ワタナベ保険設計,ワタナベホケンセッケイ,栃木県,宇都宮市,栃木県宇都宮市双葉２丁目１０番２４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-20
1060001008309,株式会社栃木商工保険センター,,栃木県,宇都宮市,栃木県宇都宮市大曽２丁目２番５５号韓国会館２Ｆ,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001009802,株式会社飯塚総合保険,イイズカソウゴウホケン,栃木県,芳賀郡益子町,栃木県芳賀郡益子町大字益子９７８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-25
1060001012319,共友リース株式会社,キョウユウリース,栃木県,那須塩原市,栃木県那須塩原市上厚崎６３７番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-15
1060001012954,渡辺総合保険代理株式会社,,栃木県,大田原市,栃木県大田原市山の手１丁目７番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001013705,株式会社保険サポート,ホケンサポート,栃木県,矢板市,栃木県矢板市扇町２丁目１１番３９号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-01
1060001020899,東石リース株式会社,トウセキリース,栃木県,佐野市,栃木県佐野市山菅町３２７２番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1060001021229,大芦保険サービス株式会社,オオアシホケンサービス,栃木県,佐野市,栃木県佐野市堀米町３４７２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-16
1060001022210,株式会社つばき保険事務所,ツバキホケンジムショ,栃木県,宇都宮市,栃木県宇都宮市海道町１４２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1060001025857,株式会社フリースタイル,フリースタイル,栃木県,鹿沼市,栃木県鹿沼市上石川１１０７－９Ｃ１０１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-26
1060001030808,株式会社ハツガイリース,ハツガイリース,栃木県,小山市,栃木県小山市大字犬塚５４番地２,finance,,2018-08-10,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-15
1060001033380,株式会社ウイング・キャピタル・パートナーズ,ウイングキャピタルパートナーズ,栃木県,宇都宮市,栃木県宇都宮市鶴田１丁目７番５号,finance,pro-services,2021-02-04,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-04
1060001033587,株式会社ＮＡＳＵ総合保険センター,ナスソウゴウホケンセンター,栃木県,大田原市,栃木県大田原市本町１丁目２６９１番地３,finance,,2021-04-08,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1060001034098,株式会社永見保険事務所,ナガミホケンジムショ,栃木県,宇都宮市,栃木県宇都宮市鶴田町３９０番地１ホワイトローズⅡ１０１,finance,,2021-09-17,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-17
1060001034370,株式会社永楽保険事務所,エイラクホケンジムショ,栃木県,宇都宮市,栃木県宇都宮市西原３丁目４番２３号,finance,,2021-12-14,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-14
1060001035971,株式会社さんあい保険センター,サンアイホケンセンター,栃木県,塩谷郡高根沢町,栃木県塩谷郡高根沢町宝石台３丁目１番４号束原テナント那須２０３号室,finance,,2023-05-11,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-08
1060002005453,有限会社第一総合保険コンサルタント,,栃木県,宇都宮市,栃木県宇都宮市伝馬町４番６号,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002008836,有限会社宮原リース,,栃木県,宇都宮市,栃木県宇都宮市江曽島町１０２６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002010775,協立保険サービス株式会社,キョウリツホケンサービス,栃木県,宇都宮市,栃木県宇都宮市下岡本町４３１２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-26
1060002011765,有限会社エース保険センター,,栃木県,宇都宮市,栃木県宇都宮市中今泉４丁目２９番１９の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002014347,有限会社しおや保険事務所,,栃木県,那須烏山市,栃木県那須烏山市田野倉３８３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002015163,有限会社ティエスエイ損害保険事務所,,栃木県,日光市,栃木県日光市芹沼１７６６番地２８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002022110,有限会社エヌエス総合保険事務所,,栃木県,那須塩原市,栃木県那須塩原市鍋掛１１０２番地１５７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002022894,有限会社ワイスリース,,栃木県,那須塩原市,栃木県那須塩原市錦町１１番２０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002023174,有限会社那須フアミリースポーツ,,栃木県,那須郡那須町,栃木県那須郡那須町大字高久丙４１４番地の９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-11-29
1060002028248,有限会社クリーン・リースオヤマ,,栃木県,小山市,栃木県小山市大字粟宮１１３４番地３３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002029989,有限会社青柳保険事務所,,栃木県,小山市,栃木県小山市城東７丁目９番１６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002031219,有限会社服部損害保険調査事務所,,栃木県,下野市,栃木県下野市下石橋６３６番地１９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
