# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1060001011584,株式会社安愚楽クリエイティブフード,,栃木県,那須郡那須町,栃木県那須郡那須町大字高久乙５９３番地１４６,food,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001018241,足利市総合会館食堂株式会社,,栃木県,足利市,栃木県足利市朝倉町２６４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-27
1060001022846,フードプロモーションサービス株式会社,フードプロモーションサービス,栃木県,宇都宮市,栃木県宇都宮市川田町７８６番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-22
1060001025246,株式会社フードプロ,フードプロ,栃木県,宇都宮市,栃木県宇都宮市馬場通り２丁目３－２６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-18
1060001025865,株式会社ＴＫ・フードサービス,,栃木県,宇都宮市,栃木県宇都宮市東簗瀬１丁目５番１０号オーシャンビル１Ｆ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-26
1060001031509,東日本ホテル・レストラン・運営株式会社,ヒガシニホンホテルレストランウンエイ,栃木県,那須郡那須町,栃木県那須郡那須町大字湯本３５０番地１６,food,restaurant|hotel,2019-04-17,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-22
1060002005825,有限会社宝木フードセンター,,栃木県,宇都宮市,栃木県宇都宮市鶴田町１９６４番地１８５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002011939,有限会社ジャスト・フードサービス,,栃木県,宇都宮市,栃木県宇都宮市さつき１丁目１番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002015691,有限会社笹屋食堂,ササヤショクドウ,栃木県,日光市,栃木県日光市安川町９番１９号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-01
1060002015948,有限会社レストラン白樺,レストランシラカバ,栃木県,日光市,栃木県日光市中宮祠２４８２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-07
1060002021450,有限会社レストランカサイ,,栃木県,鹿沼市,栃木県鹿沼市大字下久我１８２０番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002028207,有限会社キッチンでん,,栃木県,小山市,栃木県小山市城東７丁目２１番３０号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002030443,有限会社辰盛食堂,,栃木県,下野市,栃木県下野市薬師寺３３１１番地７１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002034361,有限会社シーフードウオヨシ,シーフードウオヨシ,栃木県,下都賀郡壬生町,栃木県下都賀郡壬生町大字安塚２１０５番地２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-14
1060002037174,有限会社フードセンターこぼり,フードセンターコボリ,栃木県,足利市,栃木県足利市毛野新町３丁目１番地２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-08
1060002038544,有限会社足利競馬場食堂,,栃木県,足利市,栃木県足利市五十部町３１３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-16
1060002039633,有限会社ヨコタフード,ヨコタフード,栃木県,佐野市,栃木県佐野市浅沼町６０３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-21
