# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2060003001814,合同会社彩介護,イロドリカイゴ,栃木県,宇都宮市,栃木県宇都宮市西原町１９５番地３９サーパス不動前６０７号,medical,care,2015-10-05,false,,,,,028-666-8566,,,国税庁 法人番号公表サイト,2025-09-04
9060005003042,社会福祉法人蓬愛会,ホウアイカイ,栃木県,芳賀郡芳賀町,栃木県芳賀郡芳賀町大字稲毛田字上ノ原１８８７番地４,medical,care,2015-10-05,false,,,,http://ｗｗｗ.ｈｏａｉｋａｉ.ｏｒ.ｊｐ,028-677-2811,,https://www.hoaikai.or.jp/home/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3060002010699,有限会社ひまわりケアサービス,ヒマワリケアサービス,栃木県,宇都宮市,栃木県宇都宮市天神２丁目９番７号,medical,care,2015-10-05,false,7,,,,028-666-0140,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7060005000990,社団医療法人依田会,ヨダカイ,栃木県,宇都宮市,栃木県宇都宮市桜２丁目３番３４号,medical,care|clinic,2015-10-05,false,,,,sakuragaoka0476@yahoo.co.jp,028-688-0116,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8060005000593,栃木保健医療生活協同組合,トチギホケンイリョウ,栃木県,宇都宮市,栃木県宇都宮市宝木町２丁目１０２８番地１７,medical,care|clinic,2015-10-05,false,212,,,http://www.seikyo-niji.jp,028-600-1603,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9060005000741,社会福祉法人宇都宮市社会福祉協議会,ウツノミヤシシャカイフクシキョウギカイ,栃木県,宇都宮市,栃木県宇都宮市中央１丁目１番１５号,medical,care,2015-10-05,false,,,,http://www.utsunomiya-syakyo.or.jp,0286738453,,http://www.utsunomiya-syakyo.or.jp/access,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6060005000736,社会福祉法人朝日会,アサヒカイ,栃木県,宇都宮市,栃木県宇都宮市針ヶ谷町６５５番地,medical,care,2015-10-05,false,722,,,http://www.fukushi-asahikai.or.jp,028-688-1555,,http://www.fukushi-asahikai.or.jp/publics/index/5/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9060005000766,社会福祉法人正恵会,セイケイカイ,栃木県,宇都宮市,栃木県宇都宮市宝木本町１７６８番地,medical,care,2015-10-05,false,350,,,http://www.seikeikai.jp,028-665-0520,,https://seikeikai.jp/contact_us.php,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7060005000792,社会福祉法人梨一会,リイチカイ,栃木県,宇都宮市,栃木県宇都宮市石井町２５８０番地１,medical,care,2015-10-05,false,98,,,http://www.houkounosatoishii.com/,028-683-3310,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6060005000785,社会福祉法人宝生会,ホウセイカイ,栃木県,宇都宮市,栃木県宇都宮市宝木本町２１４１番地,medical,care,2015-10-05,false,170,,,http://www.numaog.or.jp/index.html,028-622-2222,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1060005000988,医療法人社団洋精会,ヨウセイカイ,栃木県,宇都宮市,栃木県宇都宮市星が丘１丁目７番３８号,medical,care|clinic,2015-10-05,false,198,,,http://numaog.or.jp/,028-622-2222,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6060002012354,有限会社うつのみや介護タクシー,ウツノミヤカイゴタクシー,栃木県,宇都宮市,栃木県宇都宮市西川田町９０６番地,medical,care,2015-10-05,false,,,,http://utsunomiya-kaigo.com,028-616-2022,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4060005001827,社会福祉法人ふれあいコープ,フレアイコープ,栃木県,宇都宮市,栃木県宇都宮市緑５丁目１３番６号,medical,care,2015-10-05,false,459,,,https://fureai-coop.com/,028-616-6500,,https://fureai-coop.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7060001023079,株式会社らいとケア,ライトケア,栃木県,宇都宮市,栃木県宇都宮市鶴田町２３１番地２０,medical,care,2015-10-05,false,,,,http://www.raito-care.jp,028-623-7082,,http://www.raito-care.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
