# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1060005005692,社会福祉法人スイートホーム,,栃木県,栃木市,栃木県栃木市都賀町原宿１４２４－１,realestate,care|realestate,,false,,,,http://www.tochigi-himawari.jp,0282-29-3232,,http://www.tochigi-himawari.jp/contact.php,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-04
1060005005962,社会福祉法人スイートホーム,スイートホーム,栃木県,栃木市,栃木県栃木市都賀町原宿１４２４番地１,realestate,care|realestate,2015-10-05,false,102,,,,0282-29-3232,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7060005003671,特定非営利活動法人鹿沼さつき会デイホームさつき,カヌマサツキカイデイホームサツキ,栃木県,鹿沼市,栃木県鹿沼市下沢４２０番地７,realestate,care|realestate,2015-10-05,false,,,,http://kanuma-satsuki.org/,0289-62-1422,,https://www.kanuma-satsuki.org/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5060002034878,ケアハウス・スリーエイチ有限会社,,栃木県,下都賀郡壬生町,栃木県下都賀郡壬生町大字安塚７３３番地１,realestate,care|realestate,2015-10-05,false,10,,,nakamura-3h.com,0282-85-4888,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6060002019143,有限会社大瀧ホームメディカル,,栃木県,真岡市,栃木県真岡市寺久保１丁目６番地２,realestate,care|realestate,2015-10-05,false,,,,http://ootaki-medical.com/,0285-83-0055,,,国税庁 法人番号公表サイト,2015-10-30
3060002040250,有限会社グループホーム・ナーシングハピネス,グループホームナーシングハピネス,栃木県,佐野市,栃木県佐野市小中町２０１１番地４,realestate,care|realestate,2015-10-05,false,,,,-,0283201160,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3060001009932,株式会社ファミリーホームなか,ファミリーホームナカ,栃木県,真岡市,栃木県真岡市中３１３番３,realestate,care|realestate,2015-10-05,false,,,,,0285-83-5355,,,国税庁 法人番号公表サイト,2018-07-09
9060002027382,有限会社マイホームコリーナ,,栃木県,矢板市,栃木県矢板市大槻２３１８番地６８コリーナ矢板Ｃ－８１２,realestate,care|realestate,2015-10-05,false,,,,,0287-48-8260,,,国税庁 法人番号公表サイト,2015-10-30
0060005009273,地域密着型特別養護老人ホーム　チェルシー,,栃木県,鹿沼市,栃木県鹿沼市上野町273-1,realestate,care|realestate,,false,,,,https://www.you-and-i-kanuma.jp,0289-74-5333,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
3060001014734,株式会社東洋土地不動産,トウヨウトチフドウサン,栃木県,下都賀郡野木町,栃木県下都賀郡野木町大字丸林３９８番地の８,realestate,care|realestate,2015-10-05,false,,,,https://www.rehapride.co.jp/kogaonanuma/,0282-25-7300,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6060002038176,有限会社デイホームまこちゃんち,デイホームマコチャンチ,栃木県,足利市,栃木県足利市里矢場町１７７５番地,realestate,care|realestate,2015-10-05,false,,,,,0284-73-1632,,,国税庁 法人番号公表サイト,2026-05-11
9060005005195,特定非営利活動法人憩のホーム學,イコイノホームマナブ,栃木県,下野市,栃木県下野市大光寺１丁目８番５,realestate,care|realestate,2015-10-05,false,,,,,0285-51-1677,,,国税庁 法人番号公表サイト,2018-11-21
1040001130634,賽不動産株式会社,サイフドウサン,栃木県,小山市,栃木県小山市西城南４丁目２番地９オリュザＫ１０３号室,realestate,realestate,2023-10-23,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-26
1060001000199,株式会社相生不動産,アイオイフドウサン,栃木県,宇都宮市,栃木県宇都宮市曲師町３番９号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-30
1060001000471,株式会社いがらし不動産,イガラシフドウサン,栃木県,宇都宮市,栃木県宇都宮市宿郷１丁目２０番８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-25
1060001001858,三州不動産株式会社,,栃木県,宇都宮市,栃木県宇都宮市東今泉２丁目５番２号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001003284,東京地所株式会社,トウキョウジショ,栃木県,宇都宮市,栃木県宇都宮市中今泉３丁目７番２２号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-10
1060001003689,パナソニックホームズ北関東株式会社,パナソニックホームズキタカントウ,栃木県,宇都宮市,栃木県宇都宮市平出町４０６７番地３,realestate,realestate,2015-10-05,false,349,,,https://homes.panasonic.com/phkk/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1060001004522,山一不動産株式会社,ヤマイチフドウサン,栃木県,宇都宮市,栃木県宇都宮市吉野２丁目１番１２号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-12
1060001005545,ホームサポート株式会社,ホームサポート,栃木県,宇都宮市,栃木県宇都宮市西刑部町１９５９番地７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-07
1060001005784,株式会社うつのみやイー・リホーム,ウツノミヤイーリホーム,栃木県,宇都宮市,栃木県宇都宮市中戸祭１丁目４番８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-17
1060001006270,リユース・ホーム株式会社,リユースホーム,栃木県,宇都宮市,栃木県宇都宮市今泉町２９９５番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-29
1060001007161,株式会社ＢＭ・エステート,ビーエムエステート,栃木県,宇都宮市,栃木県宇都宮市駒生町２９０６番地,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-13
1060001007376,株式会社Ａ・Ｚホーム,エイゼットホーム,栃木県,宇都宮市,栃木県宇都宮市清原台２丁目１番５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-28
1060001007525,株式会社サンエスホーム,サンエスホーム,栃木県,宇都宮市,栃木県宇都宮市上戸祭町３００３番地１５モンターナ１０２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-18
1060001009892,株式会社高齢者住宅協会,,栃木県,那須郡那須町,栃木県那須郡那須町大字湯本２０３番地９６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-02-23
1060001010495,第一地所株式会社,,栃木県,鹿沼市,栃木県鹿沼市下材木町１３６４番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1060001010735,アメリカンホームズ株式会社,,栃木県,鹿沼市,栃木県鹿沼市松原１丁目１５４番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001010859,ハートランドホーム株式会社,,栃木県,鹿沼市,栃木県鹿沼市上殿町９６９番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001011700,ホンカ・ログハウス販売株式会社,,栃木県,那須郡那須町,栃木県那須郡那須町大字寺子丙１番地２５７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1060001012129,株式会社べるハウス,,栃木県,那須塩原市,栃木県那須塩原市下田野４４４番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001012525,株式会社那須ゴールデンホーム,ナスゴールデンホーム,栃木県,那須塩原市,栃木県那須塩原市小結２０５番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-17
1060001013754,ニッコウエステート株式会社,ニッコウエステート,栃木県,宇都宮市,栃木県宇都宮市松が峰２丁目６番１６号,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-16
1060001014372,大国不動産株式会社,ダイコクフドウサン,栃木県,小山市,栃木県小山市中央町３丁目１１番３３号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-01
1060001015429,イシカワ・リアルエステート株式会社,イシカワリアルエステート,栃木県,小山市,栃木県小山市城東７丁目６番１９号,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-30
1060001015981,オリーブホーム株式会社,オリーブホーム,栃木県,小山市,栃木県小山市大字西黒田４７０番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-26
1060001017912,サイトハウスとちぎ株式会社,サイトハウストチギ,栃木県,栃木市,栃木県栃木市大平町富田２３６７番地１０,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-09
1060001018547,株式会社グリーンハウス,グリーンハウス,栃木県,足利市,栃木県足利市江川町１１８番地２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-15
1060001019099,株式会社フォトハウス,フォトハウス,栃木県,足利市,栃木県足利市迫間町４４１番地５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-23
1060001021212,株式会社ＫＯＫホームズ,,栃木県,佐野市,栃木県佐野市久保町５５番地１０,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001021278,株式会社Ｉ・ホームクリエイト,アイホームクリエイト,栃木県,佐野市,栃木県佐野市豊代町１９３５番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-02
1060001021501,日本住宅メンテナンス株式会社,,栃木県,鹿沼市,栃木県鹿沼市戸張町１８０６番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1060001021600,平和不動産株式会社,ヘイワフドウサン,栃木県,宇都宮市,栃木県宇都宮市中河原町４番９号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-28
1060001022615,株式会社丸石ホーム,マルイシホーム,栃木県,下都賀郡野木町,栃木県下都賀郡野木町大字友沼５９１２番地１４,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-06
1060001023299,フォーライフエステートウェルス株式会社,フォーライフエステートウェルス,栃木県,宇都宮市,栃木県宇都宮市豊郷台２丁目２２番地１０,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-18
1060001024594,株式会社ナチュラルホーム栃木,ナチュラルホームトチギ,栃木県,栃木市,栃木県栃木市大平町西水代３５１５番地３,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-13
1060001024743,ハウススタジオ株式会社,ハウススタジオ,栃木県,足利市,栃木県足利市福居町８６７番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-09
1060001024966,酒井不動産株式会社,サカイフドウサン,栃木県,宇都宮市,栃木県宇都宮市南大通り２丁目２番７号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-03
1060001024974,株式会社カインドホーム,,栃木県,宇都宮市,栃木県宇都宮市石井町３２７９番地５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060001025436,株式会社おちあい住宅サービス,オチアイジュウタクサービス,栃木県,さくら市,栃木県さくら市氏家２７８４番地２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-14
1060001026269,株式会社アットホーム,アットホーム,栃木県,宇都宮市,栃木県宇都宮市白沢町５９４番地３８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-19
1060001028224,七つ星不動産株式会社,ナナツボシフドウサン,栃木県,宇都宮市,栃木県宇都宮市東宿郷３丁目４番１５号,realestate,realestate,2016-05-06,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-01
1060001030072,クボタ住宅サービス株式会社,クボタジュウタクサービス,栃木県,足利市,栃木県足利市福居町１６０番地１０,realestate,realestate,2017-12-19,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-03
1060001030460,株式会社ザ・ティーハウス,ザティーハウス,栃木県,大田原市,栃木県大田原市八塩１４７番地１,realestate,realestate,2018-04-18,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-17
1060001031079,株式会社四つ葉不動産,ヨツバフドウサン,栃木県,小山市,栃木県小山市大字千駄塚３４６番地３,realestate,realestate,2018-11-13,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-21
1060001031640,株式会社陽なた不動産,ヒナタフドウサン,栃木県,小山市,栃木県小山市犬塚５丁目４番地５,realestate,realestate,2019-06-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-13
1060001031839,株式会社令和不動産,レイワフドウサン,栃木県,小山市,栃木県小山市神鳥谷２丁目１０番２５号,realestate,realestate,2019-08-14,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-15
1060001032457,株式会社プロホームズ,プロホームズ,栃木県,宇都宮市,栃木県宇都宮市平松本町１１０１番地６号,realestate,realestate,2020-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-07
1060001033422,株式会社フルハウス,フルハウス,栃木県,宇都宮市,栃木県宇都宮市若松原１丁目２７番２１号,realestate,realestate,2021-02-12,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1060001035641,株式会社いぬねこ不動産,イヌネコフドウサン,栃木県,佐野市,栃木県佐野市田沼町１３５０－５,realestate,realestate,2023-01-30,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-30
1060001036020,デイジーランドホーム株式会社,デイジーランドホーム,栃木県,宇都宮市,栃木県宇都宮市海道町１１０番地オフィス増渕２０３,realestate,realestate,2023-05-23,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-23
1060001036268,株式会社真和エステート,シンワエステート,栃木県,小山市,栃木県小山市大字出井２０９６番地４,realestate,beauty|realestate,2023-08-21,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-08
1060001036375,若松不動産株式会社,ワカマツフドウサン,栃木県,大田原市,栃木県大田原市若松町１番３７号,realestate,realestate,2023-09-26,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-26
1060001037679,株式会社ＡＳＫエステート,アスクエステート,栃木県,宇都宮市,栃木県宇都宮市柳田町１３８６番地２,realestate,beauty|realestate,2024-11-28,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-28
1060001037968,ヴィクトリアホーム株式会社,ヴィクトリアホーム,栃木県,下野市,栃木県下野市下石橋３６５番地４,realestate,realestate,2025-03-06,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-06
1060001038396,株式会社ピース不動産,ピースフドウサン,栃木県,足利市,栃木県足利市迫間町５１８番地１,realestate,realestate,2025-07-17,true,,,,,,,,国税庁 法人番号公表サイト,2025-07-17
1060002000132,有限会社環境ホームサービス,カンキョウホームサービス,栃木県,宇都宮市,栃木県宇都宮市上田原町９５０番地９,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-30
1060002001923,有限会社エステート・ビケン,,栃木県,宇都宮市,栃木県宇都宮市飯田町２１９番地６,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-20
1060002003936,有限会社こひら不動産,,栃木県,宇都宮市,栃木県宇都宮市石井町２９９２番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002004463,有限会社坂本不動産,,栃木県,宇都宮市,栃木県宇都宮市中戸祭１丁目６番４号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002004629,シティ不動産有限会社,シティフドウサン,栃木県,宇都宮市,栃木県宇都宮市越戸４丁目６番９号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-18
1060002005362,有限会社総美不動産,,栃木県,宇都宮市,栃木県宇都宮市元今泉５丁目４番８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002005593,有限会社大福不動産,,栃木県,宇都宮市,栃木県宇都宮市桜４丁目１番３５号,realestate,realestate,2015-10-05,false,4,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1060002005635,有限会社ダイワペイントリハウス,,栃木県,宇都宮市,栃木県宇都宮市江曽島３丁目１１０３番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002005908,田中住宅商事有限会社,,栃木県,宇都宮市,栃木県宇都宮市材木町２番３号,realestate,realestate|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002006121,有限会社つるた不動産,,栃木県,宇都宮市,栃木県宇都宮市鶴田町１８９２番地２８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002006294,有限会社東栄不動産,,栃木県,宇都宮市,栃木県宇都宮市東宿郷１丁目７番８号東栄ビル５階,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002006468,有限会社徳和不動産,,栃木県,宇都宮市,栃木県宇都宮市泉が丘５丁目７番２９号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002007350,有限会社パン・ハウス,,栃木県,宇都宮市,栃木県宇都宮市東町４１番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002008233,有限会社ホーム建材,,栃木県,宇都宮市,栃木県宇都宮市徳次郎町２２５５番地５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002009883,有限会社ハウスクリエート・アーバン,ハウスクリエートアーバン,栃木県,宇都宮市,栃木県宇都宮市宝木本町２６１７番地２２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-29
1060002009925,有限会社アニバーサリー不動産,,栃木県,宇都宮市,栃木県宇都宮市今泉町２９７３番地コーポシバタ１Ｆ,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002010172,ホームトレーダー有限会社,,栃木県,宇都宮市,栃木県宇都宮市西川田本町２丁目６番１８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002010404,有限会社サニーホームマルヤマ,,栃木県,宇都宮市,栃木県宇都宮市今泉新町５４番地４１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002012136,有限会社笹一賃貸住宅,,栃木県,宇都宮市,栃木県宇都宮市平松本町３２５番地５,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002012177,有限会社エムケイホーム,,栃木県,宇都宮市,栃木県宇都宮市御幸ケ原町５７番地１２,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002013316,有限会社グローバル不動産,,栃木県,宇都宮市,栃木県宇都宮市一ノ沢町２８５番地６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002013588,有限会社林住宅,,栃木県,宇都宮市,栃木県宇都宮市駒生町１３０３番地２６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-16
1060002014289,有限会社八溝不動産,,栃木県,那須烏山市,栃木県那須烏山市中央２丁目５番４号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002014702,有限会社エイトホーム,,栃木県,日光市,栃木県日光市倉ケ崎７２番地７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002015262,有限会社八興エステート,ハッコウエステート,栃木県,日光市,栃木県日光市千本木３８４番地１,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-08
1060002018216,有限会社広瀬エステート,,栃木県,芳賀郡益子町,栃木県芳賀郡益子町大字七井３９番地４,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002019651,有限会社エステートハヤカワ,,栃木県,鹿沼市,栃木県鹿沼市北赤塚町１０２３番地,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-22
1060002020213,三洋ホーム有限会社,,栃木県,鹿沼市,栃木県鹿沼市下材木町１３６４番地１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002021392,有限会社ひらのエステート,,栃木県,鹿沼市,栃木県鹿沼市北半田８６８番地,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002021418,有限会社積ホームサービス,,栃木県,鹿沼市,栃木県鹿沼市西茂呂３丁目２７番地１８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002022060,有限会社カスタムハウス,,栃木県,那須塩原市,栃木県那須塩原市本町４番８号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1060002022300,有限会社那須塩原不動産,ナスシオバラフドウサン,栃木県,那須塩原市,栃木県那須塩原市方京３丁目１０番地１６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-15
1060002022688,有限会社平成不動産,ヘイセイフドウサン,栃木県,那須塩原市,栃木県那須塩原市鍋掛１０８８番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-15
1060002023307,有限会社みはらウッドホーム,ミハラウッドホーム,栃木県,那須郡那須町,栃木県那須郡那須町大字高久乙１４４８番地２４,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-25
