# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1011001064420,株式会社ＯＡＧコンサルティング沖縄,オーエージーコンサルティングオキナワ,沖縄県,那覇市,沖縄県那覇市久茂地１丁目１番１号９階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-26
1011001117343,株式会社代々木総研,ヨヨギソウケン,沖縄県,那覇市,沖縄県那覇市字天久８８３番地２,consulting,pro-services,2017-07-18,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-07
1120901038266,株式会社Ｍ’ｓコンサルタント,エムズコンサルタント,沖縄県,中頭郡読谷村,沖縄県中頭郡読谷村字ときわ２４番地２－３０３,consulting,pro-services,2017-04-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-12
1360001001514,株式会社東光コンサルタント,,沖縄県,那覇市,沖縄県那覇市天久２丁目１２番１５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001004946,株式会社海邦総研,カイホウソウケン,沖縄県,那覇市,沖縄県那覇市壺川３丁目１番１９号,consulting,pro-services,2004-04-15,false,,,代表取締役　湖城　誠一郎,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360001006678,株式会社沖縄設計コンサルタント,オキナワセッケイコンサルタント,沖縄県,浦添市,沖縄県浦添市仲間３丁目１番９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-24
1360001011208,株式会社Ｄコンサルティング,,沖縄県,那覇市,沖縄県那覇市久米１丁目１６番３号ユニオンビル３階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-20
1360001011372,株式会社ジェイデックスアンドコーストコンサルティング,,沖縄県,那覇市,沖縄県那覇市天久２丁目８番１５号カサブランカ４０１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001012651,株式会社ハラコンサルティング事務所,,沖縄県,名護市,沖縄県名護市大東２丁目６番２７－５０５号パラシオ東江,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001014879,株式会社琉球総研,,沖縄県,宜野湾市,沖縄県宜野湾市我如古３丁目１２番１７－１００３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
