# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1120001128397,株式会社ウエルキヤノンキャピタル,ウエルキヤノンキャピタル,沖縄県,名護市,沖縄県名護市宮里１丁目２８番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-22
1360001000714,海銀リース株式会社,カイギンリース,沖縄県,那覇市,沖縄県那覇市壺川３丁目１番地１９拓南ビル２階,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-02
1360001001778,株式会社鉢嶺リース,ハチミネリース,沖縄県,那覇市,沖縄県那覇市字仲井真２７２番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-17
1360001004715,株式会社ファーイーストキャピタルマネジメント,,沖縄県,那覇市,沖縄県那覇市三原３丁目１２番２０号ウィンズ三原１Ｆ,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001006109,株式会社レンタリースプロデュース,,沖縄県,糸満市,沖縄県糸満市字潮平１７４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001012049,株式会社豊原運輸リース,トヨハラウンユリース,沖縄県,糸満市,沖縄県糸満市字座波１００１番地の１,finance,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-05
1360001012073,株式会社沖リース,オキリース,沖縄県,名護市,沖縄県名護市字宇茂佐９１３番地の７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-17
1360001013724,株式会社南風保険企画,ミナミカゼホケンキカク,沖縄県,島尻郡南風原町,沖縄県島尻郡南風原町字宮平２４１番地３,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-09
1360001017634,沖縄ベンチャーキャピタル株式会社,,沖縄県,那覇市,沖縄県那覇市牧志２丁目１８番２７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001022122,株式会社シナジートラストキャピタル,シナジートラストキャピタル,沖縄県,中頭郡中城村,沖縄県中頭郡中城村字南上原１００７番地,finance,,2017-04-06,false,9,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360001022469,株式会社琉和保険サービス,,沖縄県,糸満市,沖縄県糸満市字照屋７６５番地丸正ビル２０２,finance,,2017-06-14,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-03
1360001023194,ニッサンレンタリース石垣株式会社,ニッサンレンタリースイシガキニッサン,沖縄県,石垣市,沖縄県石垣市字盛山２２３番地２８,finance,,2017-12-01,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-07
1360001023483,株式会社ヒガニューリース運輸,ヒガニューリースウンユ,沖縄県,うるま市,沖縄県うるま市石川東恩納１４３１番地２１,finance,logistics,2018-02-07,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-19
1360001025174,株式会社Ｈｅａｒｔリース,ハートリース,沖縄県,中頭郡北中城村,沖縄県中頭郡北中城村字熱田２１４番地,finance,,2019-01-29,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-01
1360001027245,株式会社修建リース,シュウケンリース,沖縄県,那覇市,沖縄県那覇市久米２丁目３１番２号,finance,,2020-05-26,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
1360001030447,株式会社アクト金城キク保険事務所,アクトキンジョウキクホケンジムショ,沖縄県,那覇市,沖縄県那覇市識名３丁目１１番３号,finance,,2022-05-23,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-23
1360001030843,株式会社大城保険サービス,オオシロホケンサービス,沖縄県,豊見城市,沖縄県豊見城市字与根１７９番地,finance,,2022-08-23,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-23
1360001036790,ＧＭＯキャピタルアドバイザーズ沖縄株式会社,ジーエムオーキャピタルアドバイザーズオキナワ,沖縄県,名護市,沖縄県名護市宮里１丁目２８番８号,finance,,2026-05-26,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-26
1360002000044,有限会社アイザックリース,,沖縄県,那覇市,沖縄県那覇市牧志１丁目７番３－３３１号アパート一銀荘,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360002001232,有限会社嘉数リース,,沖縄県,那覇市,沖縄県那覇市牧志２丁目６番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360002009275,有限会社南電リース,ナンデンリース,沖縄県,糸満市,沖縄県糸満市西崎町５丁目６番地２０,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-12
1360002010893,有限会社ひが重機リース,ヒガジュウキリース,沖縄県,島尻郡南風原町,沖縄県島尻郡南風原町字新川３１６番地の３,finance,,2015-10-05,false,29,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360002012262,有限会社みさと保険サービス,,沖縄県,沖縄市,沖縄県沖縄市美里５丁目１０番２７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-01
1360002014093,有限会社花まるリース,,沖縄県,うるま市,沖縄県うるま市字西原８０８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360002015397,有限会社大宮建機リース,オオミヤケンキリース,沖縄県,宜野湾市,沖縄県宜野湾市我如古３丁目３番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-29
1360002015414,有限会社小川保険事務所,オガワホケンジムショ,沖縄県,浦添市,沖縄県浦添市前田４丁目７番１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-16
1360002016445,有限会社としリース,,沖縄県,浦添市,沖縄県浦添市字沢岻１２７６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360002019571,有限会社大光リース,ダイコウリース,沖縄県,名護市,沖縄県名護市大西５丁目１番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-10
1360003002766,合資会社西豊信用,,沖縄県,沖縄市,沖縄県沖縄市胡屋２丁目１４番２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360003003095,合名会社富士レンタリース,,沖縄県,うるま市,沖縄県うるま市字江洲３７３番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360003009200,合同会社スターサンクス保険事務所,スターサンクスホケンジムショ,沖縄県,島尻郡南風原町,沖縄県島尻郡南風原町字照屋３６８番地,finance,,2018-11-27,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-05
1360003009893,合同会社島袋保険事務所,シマブクロホケンジムショ,沖縄県,うるま市,沖縄県うるま市字上江洲２７２番地７,finance,,2019-11-11,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-06
1360005000702,沖縄県漁業信用基金協会,,沖縄県,那覇市,沖縄県那覇市前島３丁目２５番３９号,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-09
1360005004744,一般社団法人フリースタイルコミュニケーション,フリースタイルコミュニケーション,沖縄県,宜野湾市,沖縄県宜野湾市大謝名２丁目１－２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-13
1360005004810,社会保険労務士法人クローバー,クローバー,沖縄県,那覇市,沖縄県那覇市繁多川３丁目８番２５号,finance,pro-services,2015-10-05,false,17,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360005006996,社会保険労務士法人クリックオフィス,クリックオフィス,沖縄県,中頭郡西原町,沖縄県中頭郡西原町字幸地７６４番地,finance,pro-services,2024-03-11,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-11
2010401138543,ビーロット・キャピタルリンク株式会社,ビーロットキャピタルリンク,沖縄県,那覇市,沖縄県那覇市久茂地１丁目１番１号９階,finance,,2018-05-25,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-10
2020001048282,株式会社フリースタイル,,沖縄県,那覇市,沖縄県那覇市字天久９１８番地６Ｔ・Ｙビル４０１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2360001000465,沖縄日立キャピタル株式会社,,沖縄県,那覇市,沖縄県那覇市久茂地１丁目１番１号パレットくもじ４階,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-11
2360001000622,株式会社おきぎんリース,オキギンリース,沖縄県,那覇市,沖縄県那覇市前島２丁目２１番１号,finance,,1979-10-06,false,,,代表取締役　又吉　司,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2360001001488,株式会社トヨタレンタリース沖縄,トヨタレンタリースオキナワ,沖縄県,那覇市,沖縄県那覇市赤嶺２丁目１３番地の１,finance,,1973-01-11,false,290,,代表取締役　野原　朝昌,https://www.oki-toyota-rent.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2360001001645,南西リース株式会社,,沖縄県,那覇市,沖縄県那覇市曙１丁目２０番３６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
2360001005547,株式会社ファインリース,,沖縄県,那覇市,沖縄県那覇市金城２丁目１２番８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2360001011875,株式会社フェアー信用保証,フェアーシンヨウホショウ,沖縄県,那覇市,沖縄県那覇市西１丁目１９番７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-24
2360001011990,株式会社フリースタイル,,沖縄県,沖縄市,沖縄県沖縄市泡瀬４丁目２７番２２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2360001023301,琉球キャピタルパートナーズ株式会社,リュウキュウキャピタルパートナーズ,沖縄県,名護市,沖縄県名護市字豊原７３番地１,finance,pro-services,2017-12-22,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-22
2360001024613,株式会社エス・キャピタル,エスキャピタル,沖縄県,浦添市,沖縄県浦添市宮城１丁目２６番８号平安ビル２０１号,finance,,2018-09-25,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
2360001027450,株式会社エコキャピタル,エコキャピタル,沖縄県,名護市,沖縄県名護市宇茂佐の森２丁目１７番地５かりゆしプランドール１０１号,finance,,2020-07-16,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-16
2360001031106,アローズキャピタル株式会社,アローズキャピタル,沖縄県,那覇市,沖縄県那覇市銘苅３丁目１番３１号,finance,,2022-10-26,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-05
2360001032161,株式会社フリースーツ石垣,フリースーツイシガキ,沖縄県,石垣市,沖縄県石垣市字大川２７８番地ＴＡＭＡビルⅡ２０１号,finance,,2023-06-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-19
2360002000150,有限会社あけぼの総合リース,,沖縄県,那覇市,沖縄県那覇市曙町三丁目１７番２５号ミナセハイム１階,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2360002001669,有限会社コウシン綜合リース,,沖縄県,那覇市,沖縄県那覇市字真嘉比３７０番地の３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2360002002072,有限会社ユーアイ保険サービス,ユーアイホケンサービス,沖縄県,那覇市,沖縄県那覇市寄宮１丁目８番２３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-15
2360002004738,有限会社リースキン太陽,,沖縄県,那覇市,沖縄県那覇市具志１丁目１７番１２号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-12
