# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1122002012893,有限会社テクノ・ロジック,,沖縄県,沖縄市,沖縄県沖縄市海邦２丁目９番２６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001000235,沖縄岡崎運輸株式会社,オキナワオカザキウンユ,沖縄県,豊見城市,沖縄県豊見城市字長堂４０３番地２琉球ロジスティクスセンター１Ｆ,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-08
1360001000763,共栄運輸株式会社,キョウエイウンユ,沖縄県,那覇市,沖縄県那覇市西２丁目２０番１７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-12
1360001001563,内外運輸株式会社,ナイガイウンユ,沖縄県,中頭郡西原町,沖縄県中頭郡西原町字小那覇８９４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-19
1360001002834,株式会社ロジカルサポート,ロジカルサポート,沖縄県,豊見城市,沖縄県豊見城市字長堂４０３番地２琉球ロジスティクスセンター,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360001006918,株式会社琉球プロジェクト,リュウキュウプロジェクト,沖縄県,那覇市,沖縄県那覇市小禄５丁目１３番地１１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-20
1360001006942,株式会社ジャパンビートルプロジェクト,ジャパンビートルプロジェクト,沖縄県,那覇市,沖縄県那覇市牧志１丁目４番３３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
1360001008996,株式会社ドリームプロジェクト沖縄,,沖縄県,宜野湾市,沖縄県宜野湾市伊佐２丁目１番２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
1360001009458,株式会社沖港物流,オキコウブツリュウ,沖縄県,那覇市,沖縄県那覇市西２丁目１番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-12
1360001010052,株式会社イマージングテクノロジーズ,,沖縄県,宜野湾市,沖縄県宜野湾市上原１丁目６番１１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001010713,株式会社Ｅ－ＣＯＮ運輸,イーコンウンユ,沖縄県,沖縄市,沖縄県沖縄市字登川３４１２番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-12
1360001011075,株式会社ＴＣプロジェクト,ティーシープロジェクト,沖縄県,那覇市,沖縄県那覇市松山１丁目３５番６号松藤ビル５０１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-26
1360001011744,株式会社アイプロジェクト,アイプロジェクト,沖縄県,中頭郡西原町,沖縄県中頭郡西原町字兼久１００番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-18
1360001011752,株式会社プレシャス・プロジェクト,プレシャスプロジェクト,沖縄県,那覇市,沖縄県那覇市字宇栄原７８０番地グランドメゾンＧＵＳＨＩ、Ⅰ３０２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-25
1360001011819,ブルーイングテクノロジー株式会社,ブルーイングテクノロジー,沖縄県,島尻郡南風原町,沖縄県島尻郡南風原町字山川３１４新屋マンション１０６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-30
1360001012206,ＮＸ沖縄イーテクノロジー株式会社,エヌエックスオキナワイーテクノロジー,沖縄県,名護市,沖縄県名護市字久志２５２番地の１みらい４号館,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-12
