# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5360002014437,株式会社アーバン・エステート,アーバンエステート,沖縄県,宜野湾市,沖縄県宜野湾市真栄原２丁目２５番８号,realestate,care|beauty|realestate,2015-10-05,false,,,,http://www.,098-921-0170,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8360002022643,有限会社ホームケアサービス,ホームケアサービス,沖縄県,宮古島市,沖縄県宮古島市平良字下里１２４８番地の１０,realestate,care|realestate,2015-10-05,false,,,,,0980-75-0677,,,国税庁 法人番号公表サイト,2018-05-01
9360003010745,合同会社ホームナースつなぐ,ホームナースツナグ,沖縄県,糸満市,沖縄県糸満市西崎町３丁目１２０番地ゴールドキャッスル１－Ａ,realestate,care|realestate,2020-12-09,false,,,,,0989o61492,,,国税庁 法人番号公表サイト,2022-08-30
6360003007083,合同会社ナーシングケアハウスぷくじ,,沖縄県,国頭郡恩納村,沖縄県国頭郡恩納村字恩納２８５８番地の３,realestate,care|realestate,2015-10-05,false,,,,,098-966-8387,,,国税庁 法人番号公表サイト,2016-10-05
9360001010821,株式会社ケアハウス健やか,ケアハウススコヤカ,沖縄県,中頭郡読谷村,沖縄県中頭郡読谷村字高志保４０２番地５,realestate,care|realestate,2015-10-05,false,,,,,098-958-6396,,,国税庁 法人番号公表サイト,2023-05-18
3360001029891,株式会社テラスホーム,テラスホーム,沖縄県,沖縄市,沖縄県沖縄市与儀３丁目３番２号,realestate,care|realestate,2022-01-17,false,,,,https://www.jun-ringo.com/,098-923-3331,,https://www.jun-ringo.com/reservation.php#contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2360003004142,合資会社あったかホーム,アッタカホーム,沖縄県,中頭郡読谷村,沖縄県中頭郡読谷村字喜名２５２番地の２,realestate,care|realestate,2015-10-05,false,17,,,,098-921-5303,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
0360002014437,有限会社　アーバン・エステート,,沖縄県,沖縄市,沖縄県沖縄市室川２丁目7-49,realestate,care|beauty|realestate,,false,,,,http://www.,098-921-0670,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-05
1040001141722,株式会社皆愛ホーム,ミナアイホーム,沖縄県,宮古島市,沖縄県宮古島市下地字与那覇１３８２番地１２,realestate,realestate,2025-12-11,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-13
1360001000359,株式会社沖縄県不動産会館,オキナワケンフドウサンカイカン,沖縄県,那覇市,沖縄県那覇市泉崎１丁目１２番７号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-25
1360001001084,株式会社ジョイントハウス,ジョイントハウス,沖縄県,那覇市,沖縄県那覇市久茂地１丁目４番１号くもいちビル１Ｆ,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-14
1360001001266,大興不動産商事株式会社,ダイコウフドウサンショウジ,沖縄県,那覇市,沖縄県那覇市おもろまち４丁目６番１０号新都心マンション大興,realestate,realestate|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-18
1360001001349,株式会社ダイユウホーム,ダイユウホーム,沖縄県,那覇市,沖縄県那覇市泊３丁目１１番地の７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-22
1360001001381,株式会社越来不動産,,沖縄県,那覇市,沖縄県那覇市牧志２丁目１６番４６号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-15
1360001006752,株式会社浜元ハウス,ハマモトハウス,沖縄県,糸満市,沖縄県糸満市字糸満１４３７番地の７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
1360001007924,株式会社夢ハウス,,沖縄県,うるま市,沖縄県うるま市字宮里８４９番地２６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001008006,株式会社クレドハウス,,沖縄県,沖縄市,沖縄県沖縄市桃原２丁目５番１７号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001008922,株式会社大成ホーム,タイセイホーム,沖縄県,浦添市,沖縄県浦添市牧港３丁目３９番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1360001010259,株式会社コザ住宅商事,コザジュウタクショウジ,沖縄県,中頭郡北中城村,沖縄県中頭郡北中城村字島袋３２９番地,realestate,realestate|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-04
1360001010696,株式会社ミッキーハウス,ミッキーハウス,沖縄県,那覇市,沖縄県那覇市若狭３丁目３４番３号コーポ華２階,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-23
1360001011422,株式会社アールジェイエステート,アールジェイエステート,沖縄県,那覇市,沖縄県那覇市前島３丁目７番２２号アールジェイビル,realestate,beauty|realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
1360001011455,株式会社よつばハウス,,沖縄県,那覇市,沖縄県那覇市古島１丁目９番１１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001011488,株式会社エコハウス沖縄,,沖縄県,浦添市,沖縄県浦添市字港川５３７番地３（１Ｆ）,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1360001011513,オレンジホーム株式会社,オレンジホーム,沖縄県,那覇市,沖縄県那覇市壺屋２丁目１５番９号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-21
