# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6160002007328,有限会社西川技建工業,ニシカワギケンコウギョウ,滋賀県,長浜市,滋賀県長浜市高月町西阿閉１４１４番地,construction,care,2015-10-05,false,,,,http://hotsmile-care.com/nisikawagiken.co.jp,0749-85-8188,,,国税庁 法人番号公表サイト,2019-06-28
4160001005202,株式会社フジサワ建設,フジサワケンセツ,滋賀県,甲賀市,滋賀県甲賀市水口町水口１５９０番地１,construction,care|construction,2015-10-05,false,87,,,https://www.fujisawakaigoservice.com/,0748-66-0100,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3160001021142,アストラ建設株式会社,アストラケンセツ,滋賀県,栗東市,滋賀県栗東市御園９７７番地１,construction,care|construction,2018-08-21,false,,,,,077-572-6816,,,国税庁 法人番号公表サイト,2026-02-05
9160001001155,株式会社草渓建設,ソウケイケンセツ,滋賀県,大津市,滋賀県大津市若葉台８番８号,construction,care|construction,2015-10-05,false,,,,,077-572-8712,,,国税庁 法人番号公表サイト,2023-09-11
1120001010555,東亜工業株式会社,トウアコウギョウ,滋賀県,長浜市,滋賀県長浜市平方町３６６番地３,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001000049,株式会社新井建設,,滋賀県,大津市,滋賀県大津市唐崎４丁目６番８号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001000172,株式会社井上設備機器,,滋賀県,大津市,滋賀県大津市堅田１丁目７番１６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1160001000214,株式会社上野工務店,ウエノコウムテン,滋賀県,大津市,滋賀県大津市一里山５丁目６番１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-03
1160001000379,株式会社大津建設会館,オオツケンセツカイカン,滋賀県,大津市,滋賀県大津市島の関１２番２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-28
1160001000437,景山刺繡工業株式会社,カゲヤマシシュウコウギョウ,滋賀県,大津市,滋賀県大津市御幸町６番９号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-04
