# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6160001005084,株式会社泉倉庫,イズミソウコ,滋賀県,甲賀市,滋賀県甲賀市水口町泉１１５０番地１,logistics,care|logistics,2015-10-05,false,,,,http://care-net.biz/25/izumikaigo/,0748-42-1777,,https://care-net.biz/25/izumikaigo/form.php?ref=https://care-net.biz/25/izumikaigo/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3160003000656,合同会社ＫＳＫプロジェクト,,滋賀県,東近江市,滋賀県東近江市中小路町５４９番地４,logistics,care|logistics,2015-10-05,false,,,,,0748-24-3106,,,国税庁 法人番号公表サイト,2015-11-13
4130001045143,株式会社純夢プロジェクト,ジュンムプロジェクト,滋賀県,大津市,滋賀県大津市衣川１丁目３０－４,logistics,care|logistics,2015-10-05,false,14,,,,077-574-7358,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011002035742,有限会社フレックスルアーテクノロジー,フレックスルアーテクノロジー,滋賀県,大津市,滋賀県大津市堅田１丁目１７番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-13
1130002021765,ロジスパート有限会社,ロジスパート,滋賀県,大津市,滋賀県大津市下阪本２丁目９番１号,logistics,beauty|logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-20
1160001000230,叡山倉庫株式会社,エイザンソウコ,滋賀県,大津市,滋賀県大津市下阪本３丁目１４番２８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-22
1160001004108,株式会社三方プロジェクト,,滋賀県,大津市,滋賀県大津市皇子が丘２丁目４番１５－９０１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001004413,東洋運輸株式会社,トウヨウウンユ,滋賀県,大津市,滋賀県大津市栄町１番５号,logistics,logistics,2015-10-05,false,245,,,https://www.toyo-unyu.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001004826,イワタニ・エコ・ロジ株式会社,イワタニエコロジ,滋賀県,湖南市,滋賀県湖南市菩提寺３２７番地の１４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-08
1160001006079,甲陸ロジスティクス株式会社,コウリクロジスティクス,滋賀県,湖南市,滋賀県湖南市柑子袋２７８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-18
1160001006401,阿蘓運輸株式会社,アソウンユ,滋賀県,長浜市,滋賀県長浜市朝日町２２番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-02
1160001006673,株式会社三立運輸,サンリツウンユ,滋賀県,米原市,滋賀県米原市柏原６５番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-03
1160001009239,株式会社近江ロジスティクス,オウミロジスティクス,滋賀県,愛知郡愛荘町,滋賀県愛知郡愛荘町沖字横田４５３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-26
1160001010386,シンコール物流株式会社,シンコールブツリュウ,滋賀県,犬上郡甲良町,滋賀県犬上郡甲良町大字池寺３８０番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-12
1160001010428,八日市物流倉庫株式会社,ヨウカイチブツリュウソウコ,滋賀県,東近江市,滋賀県東近江市五個荘小幡町５２４番地９,logistics,logistics,1956-01-24,false,,,代表取締役　渡辺　和郎,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001010510,株式会社外村物流運輸,トノムラブツリュウウンユ,滋賀県,東近江市,滋賀県東近江市平柳町１１８４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-15
1160001010799,株式会社サンヨー運送,サンヨーウンソウ,滋賀県,近江八幡市,滋賀県近江八幡市多賀町５８８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-11
1160001010907,滋賀自工運輸株式会社,シガジコウウンユ,滋賀県,東近江市,滋賀県東近江市五個荘石塚町２５１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-27
