# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010705000689,日本化学エネルギー産業労働組合連合会日本カーボン労働組合,ニホンカガクエネルギーサンギョウロウドウクミアイレンゴウカイニホンカーボン,滋賀県,近江八幡市,滋賀県近江八幡市鷹飼町２１３－１,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-15
1122001005915,長谷金属株式会社,ハセキンゾク,滋賀県,愛知郡愛荘町,滋賀県愛知郡愛荘町島川１１５番地,manufacturing,manufacturing,2015-10-05,false,49,,,http://hasemetal.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001003310,株式会社高橋製作所,タカハシセイサクショ,滋賀県,犬上郡多賀町,滋賀県犬上郡多賀町大字敏満寺５５０番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-07
1160001001823,株式会社松和製作所,マツワセイサクショ,滋賀県,大津市,滋賀県大津市石山寺２丁目７番２１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-15
1160001004974,株式会社ヤマカワ食品店,ヤマカワショクヒンテン,滋賀県,湖南市,滋賀県湖南市下田５２４番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1160001005254,株式会社裕信製作所,ユウシンセイサクショ,滋賀県,甲賀市,滋賀県甲賀市水口町水口字下内１５７３番地の５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-06
1160001005642,株式会社石山製作所,,滋賀県,甲賀市,滋賀県甲賀市水口町松尾３６２番地の２２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-24
1160001005873,東和漢方自然食品株式会社,,滋賀県,湖南市,滋賀県湖南市三雲４３１番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001010064,株式会社寺嶋製作所,テラシマセイサクショ,滋賀県,東近江市,滋賀県東近江市宮川町３３９番地の２,manufacturing,manufacturing,2015-10-05,false,147,,,http://www.terashima-ss.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001010163,株式会社肥田電器金型製作所,ヒダデンキカナガタセイサクショ,滋賀県,東近江市,滋賀県東近江市五個荘川並町８３８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-06
1160001010205,福地製薬株式会社,フクチセイヤク,滋賀県,蒲生郡日野町,滋賀県蒲生郡日野町大字寺尻８２４番地,manufacturing,,2015-10-05,false,104,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001010857,株式会社寺岡製作所,テラオカセイサクショ,滋賀県,近江八幡市,滋賀県近江八幡市出町１７３番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-03
1160001011269,株式会社嶋本製作所,シマモトセイサクショ,滋賀県,蒲生郡竜王町,滋賀県蒲生郡竜王町大字須惠１１６６番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-01
1160001011830,株式会社岡田捲糸工場,,滋賀県,高島市,滋賀県高島市新旭町安井川１２３２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-04-18
1160001011970,株式会社田中メリヤス工場,,滋賀県,高島市,滋賀県高島市永田４３８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001016458,株式会社草川製作所,クサカワセイサクショ,滋賀県,長浜市,滋賀県長浜市西上坂町９６２番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-28
1160001017010,株式会社彦根ＬＩＸＩＬ製作所,ヒコネリクシルセイサクジョ,滋賀県,彦根市,滋賀県彦根市服部町８４０番地,manufacturing,manufacturing,2015-10-05,false,115,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001017415,株式会社ヤマサ食品,ヤマサショクヒン,滋賀県,近江八幡市,滋賀県近江八幡市友定町３６９番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-28
1160001020410,株式会社滋賀製作所,,滋賀県,草津市,滋賀県草津市南笠町字笠山３１０番地２,manufacturing,manufacturing,2017-08-16,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1160001021854,株式会社びわこ食品,ビワコショクヒン,滋賀県,長浜市,滋賀県長浜市木之本町田部５８８番地,manufacturing,food-maker,2019-08-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160002000106,有限会社案浦製作所,アンノウラセイサクショ,滋賀県,大津市,滋賀県大津市瀬田２丁目１２番２号,manufacturing,manufacturing,2015-10-05,false,7,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160002000576,有限会社木村製作所,,滋賀県,大津市,滋賀県大津市膳所池ノ内町８２４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
