# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9160005002117,特定非営利活動法人りあん,リアン,滋賀県,大津市,滋賀県大津市一里山２丁目２番８号,other,care,2015-10-05,false,,,,http://www.je-peux.net/,077-5848-3511,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9160001004447,株式会社Ｍ＆Ｅ,エムアンドイー,滋賀県,大津市,滋賀県大津市大石龍門３丁目１０番３号,other,care,2015-10-05,false,,,,,077-572-5532,,,国税庁 法人番号公表サイト,2020-09-07
6160001021817,エフアール株式会社,エフアール,滋賀県,大津市,滋賀県大津市唐崎１丁目２６番１号フローラ唐崎２０１,other,care,2019-07-24,false,,,,,077-578-3877,,,国税庁 法人番号公表サイト,2023-10-31
8160002000644,株式会社久保鉄筋,クボテッキン,滋賀県,大津市,滋賀県大津市坂本１丁目１１番４８号,other,care,2015-10-05,false,,,,,077-578-3669,,,国税庁 法人番号公表サイト,2022-06-29
3160005002361,一般社団法人頌主会,ショウシュカイ,滋賀県,大津市,滋賀県大津市皇子が丘１丁目２番２号,other,care,2015-10-05,false,,,,https://www.shoushukai.or.jp/,077-524-9105,info@shoushukai.or.jp,https://www.shoushukai.or.jp/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8160001003920,株式会社Ｄｒｅａｍ　Ｌｉｎｋ,ドリームリンク,滋賀県,大津市,滋賀県大津市本堅田６丁目３番５０号,other,care,2015-10-05,false,,,,,077-536-5630,,,国税庁 法人番号公表サイト,2020-09-03
7160001006379,アーク株式会社,アーク,滋賀県,大津市,滋賀県大津市神領２丁目３７番２６号,other,care,2015-10-05,false,,,,,077-544-3236,,,国税庁 法人番号公表サイト,2021-05-27
4160001022437,株式会社つむぎ,ツムギ,滋賀県,大津市,滋賀県大津市真野１丁目２６番３０号,other,care,2020-04-16,false,,,,http://hp.kaipoke.biz/0mf/,077-572-6580,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6160001023846,株式会社オパール,オパール,滋賀県,大津市,滋賀県大津市皇子が丘３丁目９番１３号ハイツ紅葉２０２号室,other,care,2021-12-03,false,,,,,077-599-4561,,,国税庁 法人番号公表サイト,2021-12-03
9160001003837,マザーレイク株式会社,マザーレイク,滋賀県,大津市,滋賀県大津市黒津１丁目６番１８号,other,care,2015-10-05,false,59,,,http://www.grouphome.jp/,0775363901,,http://grouphome.jp/wp2/company#contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2160001004313,株式会社いる香,イルカ,滋賀県,大津市,滋賀県大津市秋葉台３番６号,other,care,2015-10-05,false,,,,,077-548-6323,,,国税庁 法人番号公表サイト,2018-12-17
7160001015132,大喜多株式会社,オオキタ,滋賀県,大津市,滋賀県大津市膳所２丁目１０－３,other,care,2015-10-05,false,,,,http://www.amadocoro.com/,075-393-5088,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9160001018728,株式会社琥珀,コハク,滋賀県,大津市,滋賀県大津市栄町２番１４号,other,care,2015-10-05,false,,,,https://kaigo-kohaku.jimdo.com,077-537-8160,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9160001021418,株式会社リレア,リレア,滋賀県,大津市,滋賀県大津市高砂町２番１９号ウェルドミール高砂Ａ１０２,other,care,2019-01-17,false,,,,,077-525-3344,,,国税庁 法人番号公表サイト,2019-02-15
8160001003945,株式会社シェアリングエイド,シェアリングエイド,滋賀県,大津市,滋賀県大津市比叡辻２丁目１７番３号,other,care,2015-10-05,false,,,,http://www.furesuppo.com/,077-577-2010,,http://www.furesuppo.com/pages/3/b_id=98/r_id=2/#block98-2,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4160002004260,有限会社ミキ,ミキ,滋賀県,大津市,滋賀県大津市滋賀里４丁目１１番９号,other,care,2015-10-05,false,,,,http://www.miki-corporation.jp,077-531-1511,san-kame@ares.eonet.ne.jp,http://www.miki-corporation.jp/inquiry/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9160001022845,株式会社Ｒｅａｃｈ・Ｃａｒｅｒｅｎｔ,リーチケアレント,滋賀県,大津市,滋賀県大津市御殿浜２番３０号,other,care,2020-10-22,false,,,,,0749-57-6301,,,国税庁 法人番号公表サイト,2020-10-22
7160001004589,株式会社ＬＳＨ,エルエスエイチ,滋賀県,大津市,滋賀県大津市月輪２丁目４番３号,other,care,2015-10-05,false,24,,,https://www.love-smile-happiness.co.jp/,0775473992,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2160001002515,株式会社まごころ,,滋賀県,大津市,滋賀県大津市桜野町１丁目１４番１８号,other,care,2015-10-05,false,90,,,http://magokoro-ie.net,077-510-0753,info@magokoro-ie.net,https://magokoro-ie.net/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7160001024042,株式会社アトリエパンダ,アトリエパンダ,滋賀県,大津市,滋賀県大津市大石東６丁目７番４５号,other,care,2022-03-09,false,,,,https://www.biwako-panda.com/,077-536-5863,,https://www.biwako-panda.com/%E3%81%8A%E5%95%8F%E5%90%88%E3%82%8F%E3%81%9B/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1160001004066,株式会社真心,ココロ,滋賀県,大津市,滋賀県大津市衣川１丁目３４番４号,other,care,2015-10-05,false,,,,kokorokea.my.canva.site,077-532-7798+,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8160001018225,クオリティ・オブ・ライフ株式会社,,滋賀県,大津市,滋賀県大津市里６丁目７番６号,other,care,2015-10-05,false,,,,,077-507-7082,,,国税庁 法人番号公表サイト,2015-11-13
4160002004194,有限会社あかねはうす,アカネハウス,滋賀県,大津市,滋賀県大津市唐崎１丁目３０番１０号,other,care,2015-10-05,false,,,,http://www.akanehouse.com/,077-526-5501,,http://www.akanehouse.com/pages/5/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6160001018508,株式会社ともに,トモニ,滋賀県,大津市,滋賀県大津市堅田１丁目５番１９号,other,care,2015-10-05,false,,,,,077-574-2281,,,国税庁 法人番号公表サイト,2020-12-16
9160001004380,アーネスト株式会社,アーネスト,滋賀県,大津市,滋賀県大津市大将軍１丁目４番１９号,other,care,2015-10-05,false,,,,,077-548-1234,,,国税庁 法人番号公表サイト,2018-12-05
4160001021967,株式会社ｒａｐｐｏｒｔ,ラポール,滋賀県,大津市,滋賀県大津市苗鹿２丁目３１番２８号アンソレイエ１００１号室,other,care,2019-10-08,false,,,,https://tanagokoro-care.com/,077-574-7937,info@tanagokoro-care.com,https://tanagokoro-care.com/#section-46,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5160003002849,ＫＯＭＯ合同会社,コモ,滋賀県,大津市,滋賀県大津市本堅田３丁目１４番３号エステート堅田３０５号,other,care,2023-04-19,false,,,,,077-574-7853,,,国税庁 法人番号公表サイト,2023-04-19
9160002004958,有限会社ライクファミリー,ライクファミリー,滋賀県,大津市,滋賀県大津市今堅田２丁目２６番８号,other,care,2015-10-05,false,,,,http://www.famille-care.co.jp,0775710520,,http://www.famille-care.co.jp/#contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2160001000535,株式会社近畿予防医学研究所,キンキヨボウイガクケンキュウショ,滋賀県,大津市,滋賀県大津市湖城が丘１９番９号,other,care,1962-07-25,false,588,,代表取締役　広田　周一,https://www.kinkiyoken.co.jp/,077-522-7699,,https://www.kinkiyoken.co.jp/information/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8160003003159,あいりす合同会社,アイリス,滋賀県,大津市,滋賀県大津市平津１丁目３８番２４号,other,care,2024-04-04,false,,,,,077-532-6599,,,国税庁 法人番号公表サイト,2024-04-04
5160003000860,合同会社らいとはうす,,滋賀県,大津市,滋賀県大津市見世１丁目７番６号,other,care,2015-10-05,false,,,,ｒａｉｔｏｈａｕｓｕ＿７０５＠ｙａｈｏｏ．ｃｏｊｐ,077-572-5611,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1160001004264,ソシア株式会社,ソシア,滋賀県,大津市,滋賀県大津市茶戸町１８番１０号,other,care,2015-10-05,false,,,,http://caresupport-sosia.jimdo.com/,077-525-6822,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
