# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1120001189051,新生商事株式会社,シンセイショウジ,滋賀県,湖南市,滋賀県湖南市石部南６丁目５－３,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-20
1122001031812,山上商事株式会社,ヤマウエショウジ,滋賀県,蒲生郡日野町,滋賀県蒲生郡日野町大字大谷字東出２６９番地,retail,wholesale,2018-08-02,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1130001001000,白井商事株式会社,シライショウジ,滋賀県,野洲市,滋賀県野洲市南櫻１４７７番地８,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-29
1160001000123,株式会社礎商事,,滋賀県,大津市,滋賀県大津市杉浦町６番２９号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1160001000296,大伴商事株式会社,オオトモショウジ,滋賀県,大津市,滋賀県大津市南志賀２丁目６番３号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-17
1160001000610,クイン商事株式会社,クインショウジ,滋賀県,大津市,滋賀県大津市粟津町１０番２号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-18
1160001000726,光白商事株式会社,,滋賀県,大津市,滋賀県大津市長等２丁目１０番５号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001000825,産交商事株式会社,,滋賀県,大津市,滋賀県大津市衣川１丁目１４番１１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-22
1160001000932,株式会社篠商店,シノショウテン,滋賀県,大津市,滋賀県大津市下阪本３丁目１４番１２号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
1160001001476,株式会社西村梅吉商店,ニシムラウメキチショウテン,滋賀県,大津市,滋賀県大津市大江７丁目９番２０号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-27
1160001004446,株式会社ユーラシア商事,,滋賀県,大津市,滋賀県大津市馬場２丁目８番４号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001004660,東洋商事株式会社,トウヨウショウジ,滋賀県,大津市,滋賀県大津市柳川２丁目１番１７号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-28
1160001006070,中作商事株式会社,ナカサクショウジ,滋賀県,湖南市,滋賀県湖南市高松町１番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-05
1160001006467,エース商事株式会社,,滋賀県,長浜市,滋賀県長浜市十里町８８番地の９,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1160001006533,株式会社片桐商店,,滋賀県,長浜市,滋賀県長浜市大寺町５８５番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001006632,株式会社笹原商店,ササハラショウテン,滋賀県,長浜市,滋賀県長浜市祇園町７２７番地の８,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-07
1160001006681,株式会社上進商事,,滋賀県,長浜市,滋賀県長浜市末広町６１７番地の１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-08
1160001006764,株式会社高木商店,タカギショウテン,滋賀県,長浜市,滋賀県長浜市元浜町１２番２４号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-03
1160001006822,株式会社茶真商店,チャシンショウテン,滋賀県,長浜市,滋賀県長浜市元浜町５番３号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-19
1160001006896,中村商事株式会社,ナカムラショウジ,滋賀県,長浜市,滋賀県長浜市口分田町２３６番地１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-25
1160001007399,大塚商事株式会社,オオツカショウジ,滋賀県,長浜市,滋賀県長浜市八幡東町４０番地,retail,wholesale,2015-10-05,false,2,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
