# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2160003001432,合同会社デイサービス笑輪,デイサービスエエワ,滋賀県,大津市,滋賀県大津市大平１丁目１２番３０号,service,care,2016-11-04,false,,,,https://www.eewa.net/,077-526-6683,,https://www.eewa.net/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9160005008015,公益社団法人大津市シルバー人材センター,オオツシシルバージンザイセンター,滋賀県,大津市,滋賀県大津市中央２丁目２番５号,service,care|hr,2015-10-05,false,,,,http://otsu-sjc.or.jp/,0775252528,&#111;&#116;su&#64;&#115;&#106;&#99;&#46;&#110;e.j&#112;,http://contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3160001018015,株式会社日本看護サービス,ニホンカンゴサービス,滋賀県,草津市,滋賀県草津市西草津１丁目７－５５,service,care,2015-10-05,false,40,,,https://jpkango.co.jp/otsu,077-598-5426,,https://jpkango.co.jp/contact-recruit,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1160002005914,有限会社デイサービスひまわりの家事業所,デイサービスヒマワリノイエジギョウショ,滋賀県,甲賀市,滋賀県甲賀市信楽町長野１４３７番地７０,service,care,2015-10-05,false,,,,http//care-net.biz/25/himawarinoie/,0748-83-1124,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8160002014818,ソーシャルサービス有限会社,ソーシャルサービス,滋賀県,大津市,滋賀県大津市唐崎１丁目１９番７号,service,care,2015-10-05,false,,,,social-s.net,077-577-1565,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7160001012385,株式会社ＭＩＣシルバーサービス,エムアイシーシルバーサービス,滋賀県,大津市,滋賀県大津市一里山４丁目２５－１４,service,care,2015-10-05,false,6,,,,077-545-6780,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6160001004805,株式会社なんてん共働サービス,ナンテンキョウドウサービス,滋賀県,湖南市,滋賀県湖南市石部南６丁目１０番１０号,service,care,2015-10-05,false,,,,http://nanten-net.com,０７４８－６９－５２０７,,,国税庁 法人番号公表サイト,2018-12-06
2160005007394,一般社団法人ディサービス桐原,ディサービスキリハラ,滋賀県,近江八幡市,滋賀県近江八幡市安養寺町８１６番地,service,care,2015-10-05,false,,,,,0748-31-2331,,,国税庁 法人番号公表サイト,2018-05-15
3160001017719,株式会社デイサービスラポール,デイサービスラポール,滋賀県,守山市,滋賀県守山市守山６丁目１番５号,service,care,2015-10-05,false,,,,,０７７ー５８１－２７９５,,,国税庁 法人番号公表サイト,2024-03-28
9160001006385,株式会社松岡在宅リハサービス,マツオカザイタクリハサービス,滋賀県,湖南市,滋賀県湖南市下田４１７１番地３,service,care,2015-10-05,false,,,,https://www.ikik-simoda.com,0748-75-0375,,,国税庁 法人番号公表サイト,2021-08-02
1160001000429,株式会社近江ミネラルウォーターサービス,オウミミネラルウォーターサービス,滋賀県,大津市,滋賀県大津市南郷３丁目１番１２号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-19
1160001000627,株式会社クボカワマリンサービス,クボカワマリンサービス,滋賀県,大津市,滋賀県大津市衣川２丁目１２番３６号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-20
1160001000924,しがぎんビジネスサービス株式会社,シガギンビジネスサービス,滋賀県,大津市,滋賀県大津市浜町１番３８号,service,,2015-10-05,false,218,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001002367,株式会社パイプラインサービスおおつ,パイプラインサービスオオツ,滋賀県,大津市,滋賀県大津市松山町９番１２号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-03
1160001002508,琵琶湖汽船サービス株式会社,ビワコキセンサービス,滋賀県,大津市,滋賀県大津市島の関２番８号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-06
1160001004124,株式会社アムリタメディア,,滋賀県,大津市,滋賀県大津市比叡平３丁目２４番１２号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001005023,株式会社ビジネスサービス滋賀,ビジネスサービスシガ,滋賀県,湖南市,滋賀県湖南市三雲２７１番地の２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-04
1160001005683,阪和スチールサービス株式会社,ハンワスチールサービス,滋賀県,甲賀市,滋賀県甲賀市水口町ひのきが丘３２番地２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-16
1160001005915,トータルグリーンサービス株式会社,トータルグリーンサービス,滋賀県,甲賀市,滋賀県甲賀市水口町下山６９４番地１９７,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-20
1160001006087,新有線放送サービス株式会社,,滋賀県,甲賀市,滋賀県甲賀市水口町山２６４８番地４,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001006120,株式会社ルートワン企画,ルートワンキカク,滋賀県,甲賀市,滋賀県甲賀市土山町北土山１７５１番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-12
1160001006153,株式会社コーティング企画,コーティングキカク,滋賀県,湖南市,滋賀県湖南市日枝町１０１番地３７,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-09
1160001007366,株式会社ミールサービスたにぐち,ミールサービスタニグチ,滋賀県,長浜市,滋賀県長浜市新栄町５５６番地の７,service,,2015-10-05,false,141,,,http://meal-taniguchi.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001007795,株式会社サンサービス,,滋賀県,長浜市,滋賀県長浜市八幡中山町２９５番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001008091,株式会社エヌティ企画,,滋賀県,彦根市,滋賀県彦根市須越町６１２番地１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-24
1160001008257,ケーエムサービス株式会社,ケーエムサービス,滋賀県,彦根市,滋賀県彦根市南三ツ谷町５５１番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-16
1160001009552,ひこね自助具企画株式会社,ヒコネジジョグキカク,滋賀県,彦根市,滋賀県彦根市小泉町９００番地４,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-28
1160001010683,株式会社近江八幡安全教育センター,,滋賀県,近江八幡市,滋賀県近江八幡市西庄町２５８番地,service,education,2015-10-05,false,27,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001011302,株式会社相承管理企画,アイショウカンリキカク,滋賀県,近江八幡市,滋賀県近江八幡市安土町常楽寺１９２４番地１,service,realestate|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1160001013026,株式会社なかむら企画,,滋賀県,草津市,滋賀県草津市新浜町２０番地の５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001013182,株式会社メディアプラザ,メディアプラザ,滋賀県,草津市,滋賀県草津市野村４丁目９番２４号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-08
1160001013447,株式会社園内オートサービス,ソノウチオートサービス,滋賀県,栗東市,滋賀県栗東市霊仙寺３丁目３番３０号,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-14
1160001014156,株式会社第一総合企画,ダイイチソウゴウキカク,滋賀県,草津市,滋賀県草津市草津町１８７４－５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-15
1160001014486,株式会社滋賀教育社,シガキョウイクシャ,滋賀県,草津市,滋賀県草津市東草津２丁目１番４１号,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-11
1160001014668,宝泉イーサービス株式会社,ホウセンイーサービス,滋賀県,草津市,滋賀県草津市東矢倉３丁目１番１号,service,,2015-10-05,false,9,,,https://www.housen-e.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001015583,株式会社京滋技術サービス,ケイジギジュツサービス,滋賀県,野洲市,滋賀県野洲市近江富士５丁目２番１１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-31
1160001015831,スターエンジサービス株式会社,スターエンジサービス,滋賀県,守山市,滋賀県守山市二町町１９８番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-18
1160001015971,ティーズインフォメーションサービス株式会社,ティーズインフォメーションサービス,滋賀県,野洲市,滋賀県野洲市小篠原２２１３番地４小林ビル１Ｆ,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-05
1160001016037,株式会社エージェント,エージェント,滋賀県,彦根市,滋賀県彦根市小泉町９９番地１０７号室,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-20
1160001016251,シライ物流サービス株式会社,シライブツリュウサービス,滋賀県,野洲市,滋賀県野洲市南櫻１４７７番８号,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-17
1160001016549,株式会社新星サービス,シンセイサービス,滋賀県,彦根市,滋賀県彦根市野瀬町５８番地１５,service,,2015-10-05,false,34,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1160001017126,Ｏ・Ｍ企画株式会社,,滋賀県,湖南市,滋賀県湖南市宝来坂１丁目１０番１６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160001017233,株式会社ベスト企画,ベストキカク,滋賀県,東近江市,滋賀県東近江市鈴町３７番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-01
1160001018289,株式会社滋賀ホイストサービス,シガホイストサービス,滋賀県,野洲市,滋賀県野洲市比留田５６８番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-13
1160001018743,株式会社加藤エンジニアリングサービス,カトウエンジニアリングサービス,滋賀県,野洲市,滋賀県野洲市行畑８５２番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-29
1160001021350,株式会社澤村企画,サワムラキカク,滋賀県,東近江市,滋賀県東近江市八日市上之町２番７号,service,advertising,2018-12-17,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-13
1160001021474,夢を叶える旅行社株式会社,ユメヲカナエルリョコウシャ,滋賀県,大津市,滋賀県大津市石場１０番１１号,service,,2019-02-07,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-13
1160001022381,株式会社孝洋企画,コウヨウキカク,滋賀県,大津市,滋賀県大津市一里山２丁目６番３号,service,advertising,2020-03-31,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-31
1160001024031,株式会社トータルサービス,トータルサービス,滋賀県,大津市,滋賀県大津市本堅田５丁目２３番１８－１１０２号,service,,2022-03-03,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-03
1160001024808,株式会社滋賀経理サポートサービス,シガケイリサポートサービス,滋賀県,大津市,滋賀県大津市中央３丁目４番２８号,service,,2023-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-06
1160002000007,有限会社ワイオー企画,,滋賀県,大津市,滋賀県大津市馬場２丁目１１番７号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002000056,有限会社アサヒビジネスサービス,,滋賀県,大津市,滋賀県大津市梅林１丁目３番１３号リンカーンビル４階,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-17
1160002000320,有限会社エムアンドエム企画,,滋賀県,大津市,滋賀県大津市下阪本３丁目２８番２１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
1160002000907,有限会社ジーアイ企画,,滋賀県,大津市,滋賀県大津市仰木の里１丁目１０番８号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-24
1160002001070,有限会社関西資材サービス,,滋賀県,大津市,滋賀県大津市粟津町１３番６０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002001657,有限会社ペットライフサービス社,,滋賀県,大津市,滋賀県大津市大門通１２番２８号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002004429,有限会社エイドサービス,,滋賀県,大津市,滋賀県大津市若葉台１７番３０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-24
1160002005195,トラベルジェイサービス有限会社,トラベルジェイサービス,滋賀県,湖南市,滋賀県湖南市針２２８番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-24
1160002005534,有限会社フジシーケンスサービス,,滋賀県,甲賀市,滋賀県甲賀市甲賀町相模１１６番地の３７,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002005732,有限会社タキイ企画,タキイキカク,滋賀県,甲賀市,滋賀県甲賀市水口町中邸５番１１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-12
1160002005749,有限会社アコライフサービス,アコライフサービス,滋賀県,湖南市,滋賀県湖南市朝国６２１番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-17
1160002006094,福村防犯灯・消火器サービス有限会社,フクムラボウハントウショウカキサービス,滋賀県,甲賀市,滋賀県甲賀市水口町貴生川９２６番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-09
1160002006350,有限会社オートサービス伊吹,,滋賀県,米原市,滋賀県米原市大野木１７７３番地の３,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002007217,有限会社奥琵琶湖旅行,オクビワコリョコウ,滋賀県,長浜市,滋賀県長浜市西浅井町岩熊５６２番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-08
1160002007241,有限会社キクヤオフィスサービス,キクヤオフィスサービス,滋賀県,長浜市,滋賀県長浜市木之本町木之本８０５番地の３,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-07
1160002007588,有限会社ライフサービス,ライフサービス,滋賀県,長浜市,滋賀県長浜市東上坂町２７６番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-20
1160002008231,有限会社ジャパン情報サービス,,滋賀県,彦根市,滋賀県彦根市外町２６３番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002008933,有限会社イチバン・エリア・サービス,イチバンエリアサービス,滋賀県,彦根市,滋賀県彦根市中央町７番２１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-18
1160002008966,有限会社大橋トラックサービス,,滋賀県,彦根市,滋賀県彦根市正法寺町５５９番地１,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002008974,有限会社エム運輸サービス,エムウンユサービス,滋賀県,愛知郡愛荘町,滋賀県愛知郡愛荘町目加田２０５７番地,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-30
1160002009989,有限会社パインテール企画,,滋賀県,蒲生郡日野町,滋賀県蒲生郡日野町大字松尾１０５３番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-24
1160002012274,有限会社徳光サービス,トクミツサービス,滋賀県,草津市,滋賀県草津市野村７丁目９番１０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-20
1160002013207,有限会社デイリーサービス,,滋賀県,草津市,滋賀県草津市草津１丁目１２番２１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002013405,有限会社日本総合企画,,滋賀県,草津市,滋賀県草津市山寺町３９８番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002013735,有限会社ヨシダ冷熱サービス,ヨシダレイネツサービス,滋賀県,草津市,滋賀県草津市南笠東４丁目８番６５－１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-24
1160002013784,有限会社ア・イヘルスサービス,,滋賀県,守山市,滋賀県守山市守山２丁目１０番１１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160002014171,有限会社ユリ企画,ユリキカク,滋賀県,大津市,滋賀県大津市湖青１丁目６番地１５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-04
1160003000311,合資会社スポーツサイコ企画,,滋賀県,大津市,滋賀県大津市一里山４丁目９番２７号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160003000690,合同会社平安企画,,滋賀県,高島市,滋賀県高島市新旭町饗庭１７０５番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1160003002332,合同会社ａｏ企画,アオキカク,滋賀県,湖南市,滋賀県湖南市石部中央３丁目１４番２２号,service,advertising,2021-07-19,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-19
1160003003099,合同会社トータル人材サービス,トータルジンザイサービス,滋賀県,彦根市,滋賀県彦根市戸賀町１００番地１０,service,hr,2024-01-23,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-23
1160003003223,合同会社アンシャルサービス,アンシャルサービス,滋賀県,大津市,滋賀県大津市石居３丁目３番１９号,service,,2024-07-09,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-09
1160005007420,公益社団法人近江八幡市シルバー人材センター,オウミハチマンシシルバージンザイセンター,滋賀県,近江八幡市,滋賀県近江八幡市中村町２８番地１,service,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-18
1160005008559,特定非営利活動法人訪問理美容サービスカットさん,,滋賀県,栗東市,滋賀県栗東市荒張９９２番地１０７,service,beauty,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-31
1160005009359,日中高度人材交流協同組合,,滋賀県,近江八幡市,滋賀県近江八幡市西庄町５９３番地２,service,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-23
2120001173839,株式会社マグナムメイドサービス,マグナムメイドサービス,滋賀県,草津市,滋賀県草津市大路２丁目３番２号ＭＭＳ－Ⅱ,service,,2015-10-05,false,724,,,http://magnum-maid.com/index.html,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2130001050426,滋賀特殊ファイン企画株式会社,シガトクシュファインキカク,滋賀県,栗東市,滋賀県栗東市野尻２４９番地５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-09
2130001050541,株式会社モストトラストサービス,,滋賀県,近江八幡市,滋賀県近江八幡市中村町２６番地２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-07
2130005012075,特定非営利活動法人全日本文化教育連盟機構,ゼンニホンブンカキョウイクレンメイキコウ,滋賀県,大津市,滋賀県大津市浜大津１丁目２－３聖龍会館４Ｆ,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-18
2140003013388,合同会社英企画,ヒデキカク,滋賀県,草津市,滋賀県草津市大路１丁目６番１７号,service,advertising,2018-10-17,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-18
2160001000790,坂口テレビサービス株式会社,サカグチテレビサービス,滋賀県,大津市,滋賀県大津市大萱１丁目２番２９号,service,,1961-03-06,false,,,代表取締役　坂口　昌弘,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2160001001640,株式会社ビー・ビー・シー・サービス,ビービーシーサービス,滋賀県,大津市,滋賀県大津市鶴の里１６番１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-10
2160001001665,ビジネスサービス株式会社,ビジネスサービス,滋賀県,大津市,滋賀県大津市打出浜３番５０号,service,,1987-11-20,false,,,代表取締役　藤野　誠,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2160001002507,株式会社オフィス・サービス大津,オフィスサービスオオツ,滋賀県,大津市,滋賀県大津市森１丁目１番４３号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-29
2160001004081,株式会社滋賀人材センター,,滋賀県,大津市,滋賀県大津市浜大津１丁目１番７号中野ビル２階,service,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
2160001004775,石部公共サービス株式会社,イシベコウキョウサービス,滋賀県,湖南市,滋賀県湖南市石部中央１丁目２番３号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-25
2160001005245,メデイカルサービス株式会社,メデイカルサービス,滋賀県,甲賀市,滋賀県甲賀市水口町宇川３７番地２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-29
2160001005253,株式会社休楽帰企画,,滋賀県,甲賀市,滋賀県甲賀市水口町名坂１１２９番地１９,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
2160001005641,株式会社滋賀物流サービス,シガブツリュウサービス,滋賀県,甲賀市,滋賀県甲賀市水口町八田８８６番地８,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-05
2160001007670,大和企画株式会社,ダイワキカク,滋賀県,長浜市,滋賀県長浜市宮司町２７５番地１１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-11
