# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4330002027120,有限会社ウェルフェアファーム,ウェルフェアファーム,熊本県,八代市,熊本県八代市鏡町両出１３２７番地１,agriculture,care|agriculture,2015-10-05,false,,,,,0965-52-0012,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2330005004135,玉名農業協同組合,タマナ,熊本県,玉名市,熊本県玉名市六田７番１,agriculture,care|agriculture,2015-10-05,false,455,,,,0968-72-5517,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4330005002814,菊池地域農業協同組合,キクチチイキ,熊本県,菊池市,熊本県菊池市旭志川辺１８７５番地,agriculture,care|agriculture,2015-10-05,false,602,,,https://jakikuchi.jp/,0968-23-3500,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
7330005005335,熊本宇城農業協同組合,クマモトウキ,熊本県,宇城市,熊本県宇城市松橋町久具３０２番地２,agriculture,care|agriculture,2015-10-05,false,,,,,0964-27-5111,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6330005006838,あまくさ農業協同組合,アマクサ,熊本県,天草市,熊本県天草市太田町１番地２,agriculture,care|agriculture,2015-10-05,false,388,,,http://www.jaamakusa.or.jp/,0969-22-1100,,http://jaamakusa.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1330005003939,上益城農業協同組合,カミマシキ,熊本県,上益城郡甲佐町,熊本県上益城郡甲佐町大字白旗５４３番地１,agriculture,care|agriculture,2015-10-05,false,,,,,0967-72-0050,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2330005005868,八代地域農業協同組合,ヤツシロチイキ,熊本県,八代市,熊本県八代市西片町１５２５番地１,agriculture,care|agriculture,1995-07-03,false,,,代表理事　山住　昭二,,0965-62-1111,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330005006842,苓北町農業協同組合,レイホクマチ,熊本県,天草郡苓北町,熊本県天草郡苓北町志岐１０１０番地,agriculture,care|agriculture,2015-10-05,false,,,,,0969-35-1280,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5330005007597,球磨地域農業協同組合,クマチイキ,熊本県,球磨郡錦町,熊本県球磨郡錦町大字一武２６５７番地の４,agriculture,care|agriculture,2015-10-05,false,461,,,,0966-45-2511,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330005006396,あしきた農業協同組合,アシキタ,熊本県,葦北郡芦北町,熊本県葦北郡芦北町大字佐敷４２４番地,agriculture,care|agriculture,2015-10-05,false,264,,,http://ja-ashikita.or.jp/,0966-68-3977,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330001002317,株式会社志水産業,シミズサンギョウ,熊本県,熊本市東区,熊本県熊本市東区神園２丁目４番５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-15
