# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1011001041766,株式会社ヘルシーハラールフード・ジャパン,,熊本県,熊本市中央区,熊本県熊本市中央区横紺屋町１０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001004453,株式会社マルサンフードサービス,,熊本県,熊本市中央区,熊本県熊本市中央区帯山８丁目５番８０号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-21
1330001008504,株式会社フードライフ,,熊本県,熊本市南区,熊本県熊本市南区日吉１丁目１番１１号５０３,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-19
1330001009205,ダイエットフード株式会社,ダイエットフード,熊本県,菊池郡菊陽町,熊本県菊池郡菊陽町大字津久礼２６９４番地１１,food,,1972-11-02,false,,,代表取締役　高岡　淑雄,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330001014782,グローバル・フード・サービス株式会社,,熊本県,熊本市南区,熊本県熊本市南区畠口町１０７番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001017117,株式会社ザ．キッチン,ザキッチン,熊本県,熊本市東区,熊本県熊本市東区八反田３丁目２番２６－１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-23
1330001018833,眞浩フードサービス株式会社,,熊本県,八代市,熊本県八代市弥生町４番地４（３０５）,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001021242,宮本食堂株式会社,,熊本県,熊本市中央区,熊本県熊本市中央区花畑町１２番１１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001026308,ミックフードサービス株式会社,ミックフードサービス,熊本県,熊本市東区,熊本県熊本市東区花立１丁目１番４５号宮田ビル３０１,food,restaurant,2019-04-22,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-13
1330001033931,株式会社フード・エンターテイメント,フードエンターテイメント,熊本県,熊本市南区,熊本県熊本市南区出仲間１丁目１０番２０号,food,,2026-01-19,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
1330002003867,有限会社神戸屋フードサービス,,熊本県,熊本市中央区,熊本県熊本市中央区桜町３番２２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
