# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1330002004460,有限会社三協車椅子製作所,サンキョウクルマイスセイサクショ,熊本県,合志市,熊本県合志市須屋２１２６番地５,manufacturing,care|manufacturing,2015-10-05,false,,,,http://sankyo-wheelchair.jp,096-288-2902,,,国税庁 法人番号公表サイト,2018-11-12
1290002028927,有限会社ニッショウ化学,,熊本県,熊本市北区,熊本県熊本市北区山室６丁目９番２７号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001001244,國友食品株式会社,クニトモショクヒン,熊本県,熊本市中央区,熊本県熊本市中央区島崎１丁目３１番２８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-01
1330001002911,辰巳化学熊本販賣株式会社,,熊本県,熊本市東区,熊本県熊本市東区花立２丁目１３番１７号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-09-15
1330001005047,株式会社中九食品,ナカキュウショクヒン,熊本県,上益城郡益城町,熊本県上益城郡益城町大字古閑１０３番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-01
1330001009584,株式会社荒木板金工場,アラキバンキンコウジョウ,熊本県,菊池市,熊本県菊池市旭志川辺１１２６番地７熊本北工業団地内,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-30
1330001010328,株式会社美加川製作所,ミカワセイサクショ,熊本県,山鹿市,熊本県山鹿市久原４２３０番地の１６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330001012860,𣳾山食品株式会社,タイザンショクヒン,熊本県,熊本市南区,熊本県熊本市南区城南町永１１５３番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-25
1330001013149,巧秀精密株式会社,,熊本県,宇城市,熊本県宇城市松橋町古保山字笹野２７９３番地７,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001013339,春山金属株式会社,,熊本県,宇土市,熊本県宇土市岩古曽町５８６番地４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1330001013611,株式会社末松電子製作所,スエマツデンシセイサクショ,熊本県,八代市,熊本県八代市川田町東３４番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330001015392,株式会社堀甲製作所,ホリコウセイサクショ,熊本県,上天草市,熊本県上天草市姫戸町二間戸６０１７番地,manufacturing,manufacturing,2015-10-05,false,12,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1330001016102,株式会社上村電機製作所,,熊本県,球磨郡あさぎり町,熊本県球磨郡あさぎり町上北１４４８番地２５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-25
1330001016424,株式会社萩食品,ハギショクヒン,熊本県,熊本市東区,熊本県熊本市東区下南部３丁目１１番９７号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-01
1330001016498,株式会社日進精密,,熊本県,八代市,熊本県八代市昭和日進町１４番地１１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1330001018362,株式会社旭製作所,アサヒセイサクショ,熊本県,荒尾市,熊本県荒尾市高浜１９７８番地,manufacturing,manufacturing,1979-10-01,false,440,,代表取締役　池田　靖之,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
