# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9220005006920,石川かほく農業協同組合,,石川県,河北郡津幡町,石川県河北郡津幡町字清水チ３２９番地,agriculture,care|agriculture,2015-10-05,false,193,,,http://www.is-ja.jp/kahoku/service/fukushi.html,076-289-3432,,http://www.is-ja.jp/kahoku/inquiry/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3220005005440,志賀農業協同組合,シカ,石川県,羽咋郡志賀町,石川県羽咋郡志賀町末吉新保向１番地,agriculture,care|agriculture,2015-10-05,false,,,,kaigo@shika.is-ja.jp,0767-32-5531,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8220005005659,はくい農業協同組合,,石川県,羽咋市,石川県羽咋市太田町と１０５番地,agriculture,care|agriculture,2015-10-05,false,,,,http://www.is.-ja.jp//hakui/,0767－29－2880,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5220005006032,能登農業協同組合,ノト,石川県,鳳珠郡穴水町,石川県鳳珠郡穴水町字大町ほの９５番地,agriculture,care|agriculture,2023-08-01,false,208,,代表理事　藤田　繁信,,0768-52-3805,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001001305,ウロコ水産株式会社,ウロコスイサン,石川県,金沢市,石川県金沢市西念４丁目７番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-18
1220001003920,大松水産株式会社,ダイマツスイサン,石川県,金沢市,石川県金沢市上近江町３３番地,agriculture,agriculture,2015-10-05,false,32,,,http://www.daimatsusuisan.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001013052,株式会社上野牧場,ウエノボクジョウ,石川県,加賀市,石川県加賀市南郷町ヲ５２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-21
1220001013143,加賀水産株式会社,,石川県,加賀市,石川県加賀市美岬町田尻境山１番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-29
1220001015370,すぎ省水産株式会社,スギショウスイサン,石川県,七尾市,石川県七尾市大田町壱壱壱部２５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-18
1220001016146,株式会社本吉漁業,モトヨシギョギョウ,石川県,羽咋市,石川県羽咋市滝町カ２４４番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-31
1220001016278,株式会社カウベルファーム,カウベルファーム,石川県,七尾市,石川県七尾市矢田町ヤ部６４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-24
1220001016344,株式会社百浦漁業,モモウラギョギョウ,石川県,羽咋郡志賀町,石川県羽咋郡志賀町百浦タの２番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-27
1220001016716,日本水光林業株式会社,ニホンスイコウリンギョウ,石川県,金沢市,石川県金沢市北安江３丁目１番３３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-05
1220001016856,府中水産株式会社,フチュウスイサン,石川県,鳳珠郡能登町,石川県鳳珠郡能登町字宇出津ム字４９番地６,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-13
1220001016947,濱田漁業株式会社,ハマダギョギョウ,石川県,珠洲市,石川県珠洲市蛸島町ナ部１２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-22
1220001019479,能登内浦漁業生産株式会社,ノトウチウラギョギョウセイサン,石川県,鳳珠郡能登町,石川県鳳珠郡能登町字小木３４字１番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-19
1220001019883,株式会社カネウラ水産,カネウラスイサン,石川県,鳳珠郡能登町,石川県鳳珠郡能登町字宇出津ク字１９８番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-11
1220001021906,株式会社ファーム白山,ファームハクサン,石川県,白山市,石川県白山市瀬木野町ヌ２２８番地,agriculture,agriculture,2017-10-11,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001023365,株式会社堀農園,ホリノウエン,石川県,加賀市,石川県加賀市塩浜町と４２番地,agriculture,agriculture,2020-02-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001024173,株式会社下村水産,シモムラスイサン,石川県,七尾市,石川県七尾市中島町浜田１部１番地,agriculture,agriculture,2021-05-13,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001024727,株式会社リーフファーム加賀,リーフファームカガ,石川県,加賀市,石川県加賀市直下町ホ３５５番地２,agriculture,agriculture,2022-03-04,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
