# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1220001003458,昌和工業株式会社,ショウワコウギョウ,石川県,金沢市,石川県金沢市高尾台２丁目２２６番地,construction,care,2015-10-05,false,,,,,0761-27-0133,,,国税庁 法人番号公表サイト,2022-10-31
1130001067578,株式会社秀光建設,シュウコウケンセツ,石川県,加賀市,石川県加賀市山代温泉２９戊５４番地,construction,construction,2020-09-07,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-13
1220001000199,株式会社山下工務店,ヤマシタコウムテン,石川県,白山市,石川県白山市井口町は２０番地の３,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-31
1220001000257,株式会社沖野紙工業,オキノシコウギョウ,石川県,野々市市,石川県野々市市押野４丁目４４番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-07
1220001000331,酒井コンクリート工業株式会社,サカイコンクリートコウギョウ,石川県,金沢市,石川県金沢市松寺町辰６６番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
1220001000356,株式会社清水建築,シミズケンチク,石川県,野々市市,石川県野々市市本町１丁目２２番２０号,construction,construction,1971-08-07,false,,,代表取締役　清水　治,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001000488,クリーン環境設備株式会社,,石川県,金沢市,石川県金沢市若宮町ホ３１番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-29
1220001000513,株式会社堀建設,ホリケンセツ,石川県,野々市市,石川県野々市市新庄６丁目８０６番地,construction,construction,2015-10-05,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001000769,株式会社アスム建設,アスムケンセツ,石川県,金沢市,石川県金沢市無量寺３丁目３５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-25
1220001000876,荒木木材工業株式会社,アラキモクザイコウギョウ,石川県,金沢市,石川県金沢市不動寺町ホ３１番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001000892,株式会社アルフア建築事務所,アルフアケンチクジムショ,石川県,金沢市,石川県金沢市元町１丁目５番２３号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-29
1220001001230,株式会社岩城工務店,,石川県,金沢市,石川県金沢市中村町２３番１４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-29
