# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1220001002162,金沢フード株式会社,カナザワフード,石川県,金沢市,石川県金沢市打木町東１３０２番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
1220001010925,株式会社スリランカ・キッチン,,石川県,金沢市,石川県金沢市片町２丁目３０番８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1220001011576,株式会社ナカノフード,ナカノフード,石川県,金沢市,石川県金沢市駅西本町６丁目３番１３号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-14
1220001014141,株式会社北陸フードサービス,ホクリクフードサービス,石川県,加賀市,石川県加賀市若葉台９９番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-11
1220002000198,有限会社バンフード・サービス,,石川県,白山市,石川県白山市知気寺町に１番地５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1220002005528,有限会社マミー・フード,,石川県,金沢市,石川県金沢市東山３丁目２９番１６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1220002005809,有限会社むさしダイニング,ムサシダイニング,石川県,金沢市,石川県金沢市尾張町１丁目９番４号,food,restaurant,2015-10-05,false,3,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220002006360,有限会社レストラン自由軒,レストランジユウケン,石川県,金沢市,石川県金沢市東山１丁目６番６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-09
1220002007887,株式会社フード・ワン,,石川県,金沢市,石川県金沢市粟崎町卜２３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-24
1220002014058,有限会社フードにしだ,フードニシダ,石川県,七尾市,石川県七尾市南藤橋町子部３０番地の１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1220002014586,有限会社フード中西,フードナカニシ,石川県,七尾市,石川県七尾市藤橋町申部５１番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-18
1220005008981,一般社団法人ほくりくキッチンカー協会,ホクリクキッチンカーキョウカイ,石川県,金沢市,石川県金沢市湊２丁目１１６番地２９,food,restaurant,2025-07-22,true,,,,,,,,国税庁 法人番号公表サイト,2025-07-22
2220001000702,株式会社味一番フード,アジイチバンフード,石川県,金沢市,石川県金沢市久安２丁目３３４番地,food,,2015-10-05,false,205,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2220001003894,ダートフードサービス株式会社,,石川県,金沢市,石川県金沢市松島１丁目３５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2220001009867,株式会社フードあぶらや,フードアブラヤ,石川県,金沢市,石川県金沢市笠舞本町１丁目１番６号,food,,2015-10-05,false,82,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2220001016946,株式会社はまおかフードセンター,,石川県,珠洲市,石川県珠洲市飯田町７部１６３番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2220001017069,アイエムエムフードサービス株式会社,アイエムエムフードサービス,石川県,金沢市,石川県金沢市森山１丁目２番１号,food,restaurant,2015-10-05,false,112,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2220002000610,有限会社フード藤井,,石川県,野々市市,石川県野々市市御経塚５１街区１６番,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
