# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1220001002410,ＭＫ精密加工株式会社,エムケイセイミツカコウ,石川県,金沢市,石川県金沢市打木町東１４４１番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-10
1220001003235,伸晃化学株式会社,シンコウカガク,石川県,金沢市,石川県金沢市藤江南２丁目４番地,manufacturing,,2015-10-05,false,565,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001003581,株式会社スズキ製作所,スズキセイサクショ,石川県,金沢市,石川県金沢市福久東１丁目８４番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-29
1220001004150,辰巳化学株式会社,タツミカガク,石川県,金沢市,石川県金沢市久安３丁目４０６番地,manufacturing,,2015-10-05,false,484,,,http://www.tatsumi-kagaku.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001004844,中屋食品株式会社,,石川県,金沢市,石川県金沢市京町２３番２６号,manufacturing,food-maker,2015-10-05,false,23,,,https://www.nakaya-odashi.com,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001004893,株式会社西研精機製作所,ニシケンセイキセイサクショ,石川県,金沢市,石川県金沢市無量寺町ニ６１番地３,manufacturing,manufacturing,2015-10-05,false,21,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001005818,株式会社芳賀木型金型製作所,ハガキガタカナガタセイサクショ,石川県,白山市,石川県白山市横江町１７２６番地２０,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-11
1220001005850,本江醸造食品株式会社,ホンゴジョウゾウショクヒン,石川県,金沢市,石川県金沢市東山３丁目５番２７号,manufacturing,food-maker,2015-10-05,false,3,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001007450,株式会社米永仏壇製作所,ヨネナガブツダンセイサクジョ,石川県,金沢市,石川県金沢市中村町３１番４８号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-12
1220001009868,株式会社日本海藻食品研究所,ニホンカイソウショクヒンケンキュウショ,石川県,金沢市,石川県金沢市本江町１０番３８号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-19
1220001011155,株式会社金沢楽器製作所,カナザワガッキセイサクショ,石川県,金沢市,石川県金沢市彦三町２丁目６番２３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-03
1220001011956,株式会社小松高田製作所,コマツタカダセイサクショ,石川県,小松市,石川県小松市工業団地１丁目６６番地,manufacturing,manufacturing,2015-10-05,false,132,,,https://komataka.co.jp/company,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1220001012186,株式会社辻織物工場,ツジオリモノコウジョウ,石川県,小松市,石川県小松市安宅町ト４１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-11
1220001014736,石丸食品株式会社,イシマルショクヒン,石川県,金沢市,石川県金沢市上近江町３３番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-15
