# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2021005003001,神奈川つくい農業協同組合,カナガワツクイ,神奈川県,相模原市緑区,神奈川県相模原市緑区中野５５０番地,agriculture,care|agriculture,2015-10-05,false,,,,https://ja-tsukui.or.jp/,042-784-1321,,https://ja-tsukui.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5021005003717,厚木市農業協同組合,アツギシ,神奈川県,厚木市,神奈川県厚木市水引２丁目９番２号,agriculture,care|agriculture,2015-10-05,false,,,,https://www.jakanagawa.gr.jp/atsugi/,046-225-7716,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3020005003596,神奈川県厚生農業協同組合連合会,カナガワケンコウセイ,神奈川県,横浜市中区,神奈川県横浜市中区海岸通１丁目２番地の２,agriculture,care|agriculture,1949-04-02,false,2342,,代表理事　高野　靖悟,http://www.kouseiren.net/fukusi/stores/9/,0463-97-5522,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1010001056287,株式会社ブルックス・ファーム・コーヒー,ブルックスファームコーヒー,神奈川県,横浜市青葉区,神奈川県横浜市青葉区美しが丘４丁目５４番地６,agriculture,agriculture,2015-10-05,false,217,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010005004622,公益財団法人神津牧場,コウヅボクジョウ,神奈川県,横浜市中区,神奈川県横浜市中区山下町１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010401122738,株式会社国際農業開発,コクサイノウギョウカイハツ,神奈川県,小田原市,神奈川県小田原市久野３５４５番地の２,agriculture,agriculture,2016-01-26,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-22
1010701042883,ＭＹファーム株式会社,エムワイファーム,神奈川県,横須賀市,神奈川県横須賀市小矢部４丁目１８番２号,agriculture,agriculture,2022-06-30,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-24
1010801029624,株式会社グリーンファーム,グリーンファーム,神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区白幡仲町４０－１０スプルースサエキ２０１,agriculture,agriculture,2019-02-25,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-07
1011301026970,株式会社沖縄オーツーファーム,オキナワオーツーファーム,神奈川県,川崎市麻生区,神奈川県川崎市麻生区細山７丁目２番８号２０２,agriculture,agriculture,2021-06-15,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1012801004458,株式会社オーガニック・ファーム・ジャパン,オーガニックファームジャパン,神奈川県,相模原市南区,神奈川県相模原市南区大野台４丁目４番２８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-12
1020001009649,魚幸水産株式会社,ウオコウスイサン,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区宮田町１丁目５番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-09
1020001012363,株式会社ユーアー・アワー・ベイビーズ・ファーム・インコーポレイティッド,,神奈川県,横浜市青葉区,神奈川県横浜市青葉区柿の木台１６番地９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1020001032667,株式会社山カ小塚水産,ヤマカコヅカスイサン,神奈川県,横浜市金沢区,神奈川県横浜市金沢区鳥浜町１番１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-08
1020001036255,三光水産株式会社,,神奈川県,横浜市旭区,神奈川県横浜市旭区二俣川２丁目６１番地３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001059355,株式会社マネジメントファーム,マネジメントファーム,神奈川県,横浜市西区,神奈川県横浜市西区北幸１丁目４番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-29
1020001063737,株式会社安藤農園,アンドウノウエン,神奈川県,川崎市多摩区,神奈川県川崎市多摩区菅北浦３丁目３番８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-05
