# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1021001044990,株式会社横浜パートナーズ,ヨコハマパートナーズ,神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区市場大和町五丁目３番ラ・グルーラ１０１号,consulting,care|pro-services,2015-10-05,false,,,,https://cares-kt.com/,045-642-7603,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2020001148859,株式会社メンタルパートナーズ,メンタルパートナーズ,神奈川県,横浜市都筑区,神奈川県横浜市都筑区中川中央１丁目２２番地１６ロイヤルシティⅡ７０２,consulting,care|pro-services,2022-11-04,false,,,,https://www.makoto-home-nursing-care.com/,0454794217,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9020001102850,ＳＫＹパートナーズ株式会社,エスケイワイパートナーズ,神奈川県,横浜市栄区,神奈川県横浜市栄区桂台西１丁目１０番１３号,consulting,care|pro-services,2015-10-05,false,,,,https://nanarunanopapa777.wixsite.com/anon,0467-84-7592,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://nanarunanopapa777.wixsite.com/anon/inquiry,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2021001043975,エムアンドアールコンサルティング株式会社,エムアンドアールコンサルティング,神奈川県,逗子市,神奈川県逗子市小坪３丁目２０番２号,consulting,care|pro-services,2015-10-05,false,,,,https://nadeshiko5930.com,0466-52-5930,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5021001005097,株式会社笠間フィジカルセラピーコンサルティング,カサマフィジカルセラピーコンサルティング,神奈川県,藤沢市,神奈川県藤沢市藤沢３丁目６番１６号ヘルスビル２階,consulting,care|pro-services,2015-10-05,false,,,,,0466-29-6387,,,国税庁 法人番号公表サイト,2022-01-28
6020001092582,株式会社ブルーパートナーズ,ブルーパートナーズ,神奈川県,川崎市麻生区,神奈川県川崎市麻生区千代ケ丘９丁目８番２号,consulting,care|pro-services,2015-10-05,false,,,,http:/www.kiraku-ac.com/,044-455-5441,,,国税庁 法人番号公表サイト,2019-10-16
9020001122956,株式会社ライフマネジメントパートナーズ,,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区戸塚町９１７番地２１,consulting,care|pro-services,2017-09-13,false,,,,https://sites.google.com/lifemgt-p.com/index/,0467-38-7062,info@lifemgt-p.com,https://sites.google.com/lifemgt-p.com/index/%E3%81%8A%E5%95%8F%E5%90%88%E3%81%9B,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1010001018907,三機パートナーズ株式会社,サンキパートナーズ,神奈川県,大和市,神奈川県大和市中央林間７丁目１０番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-16
1010001082399,株式会社ＣＤＭコンサルティング,シーディーエムコンサルティング,神奈川県,横浜市金沢区,神奈川県横浜市金沢区福浦１丁目１番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-31
1010001186324,フラッグパートナーズ株式会社,フラッグパートナーズ,神奈川県,川崎市川崎区,神奈川県川崎市川崎区大島２丁目１７番１３－１０１号,consulting,pro-services,2017-09-19,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-09
1010003016264,合同会社横浜中央会計社,ヨコハマチュウオウカイケイシャ,神奈川県,横浜市中区,神奈川県横浜市中区不老町１丁目２番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-21
1010005018242,一般社団法人ふじ総研,,神奈川県,横浜市中区,神奈川県横浜市中区弁天通３丁目３９番地ライオンズマンション関内第２－２０７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1010401050674,テクノロジストコンサルティング株式会社,テクノロジストコンサルティング,神奈川県,鎌倉市,神奈川県鎌倉市梶原３丁目８番５号,consulting,logistics|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-06
1010401055319,株式会社エグゼ・コンサルティング,エグゼコンサルティング,神奈川県,横浜市金沢区,神奈川県横浜市金沢区富岡西７丁目４１番１―２０５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-04
1010401056837,株式会社清水谷総研,,神奈川県,大和市,神奈川県大和市下鶴間１５９８番地６イルソーレ大和２Ｆ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1010401098796,株式会社ロングウィンコンサルティング,ロングウィンコンサルティング,神奈川県,川崎市麻生区,神奈川県川崎市麻生区千代ケ丘９丁目１４番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-04
1010401103853,オーガニック・マネジメント・コンサルティング株式会社,オーガニックマネジメントコンサルティング,神奈川県,横浜市都筑区,神奈川県横浜市都筑区茅ケ崎南１丁目１番１－４０４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-17
1010401139889,パシフィックパートナーズ株式会社,パシフィックパートナーズ,神奈川県,横浜市青葉区,神奈川県横浜市青葉区荏田西５丁目５番１ビアス市が尾Ｂ－３０１,consulting,pro-services,2018-07-31,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-16
1010402032721,有限会社ＸＳコンサルティング,エックスエスコンサルティング,神奈川県,足柄上郡松田町,神奈川県足柄上郡松田町松田庶子８４７番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-23
1010405013363,一般社団法人会計政策研究会,カイケイセイサクケンキュウカイ,神奈川県,藤沢市,神奈川県藤沢市鵠沼神明５丁目１２番２７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-07
1010701018264,株式会社ｉＭＫコンサルティング,アイエムケーコンサルティング,神奈川県,横浜市中区,神奈川県横浜市中区不老町１丁目６－９第一ＨＢビル３Ｆ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-07
1010901027148,株式会社Ｎ＆Ｂファイナンシャル・コンサルティング,エヌアンドビーファイナンシャルコンサルティング,神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区橋本町２丁目５－３ＢＷ２５０８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-17
