# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6020002101219,有限会社保険バンク,,神奈川県,川崎市川崎区,神奈川県川崎市川崎区大師駅前１丁目４番４号,finance,care,2015-10-05,false,,,,,044-270-0333,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001189450,クリプトキャピタル株式会社,クリプトキャピタル,神奈川県,相模原市中央区,神奈川県相模原市中央区並木４丁目１番３０号,finance,,2018-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-17
1010001229272,Ｌｕｎａファイナンスサービス株式会社,ルナファイナンスサービス,神奈川県,横浜市西区,神奈川県横浜市西区楠町１８－６横浜西口オーケービル４０３,finance,,2022-09-06,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-30
1010401050699,株式会社コーワ・リース,コーワリース,神奈川県,横浜市西区,神奈川県横浜市西区岡野２丁目１３番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-11
1011001104829,株式会社プライマリーステージ,,神奈川県,厚木市,神奈川県厚木市水引２丁目７番３８号コスモビル４０２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-12
1011101033399,株式会社フリースペース,フリースペース,神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区台町１３番地１１ヒルトップ横浜５０１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-04
1020001007693,電材リース株式会社,,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区上矢部町１９１９番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001034424,株式会社フリースタイル,フリースタイル,神奈川県,横浜市緑区,神奈川県横浜市緑区霧が丘１丁目１３番地５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-08
1020001035819,アドバイザリースタッフ株式会社,,神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区鶴見中央３丁目３番３４号,finance,hr,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001042204,株式会社リースキン神奈川,リースキンカナガワ,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区瀬戸ケ谷町２４３番地の４１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001043615,株式会社日本証券化アドバイザリー,,神奈川県,横浜市中区,神奈川県横浜市中区本牧緑ケ丘８６番地４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001051337,株式会社ビー・ティー・キャピタル,,神奈川県,横浜市青葉区,神奈川県横浜市青葉区新石川１丁目２２番地４５サンパティオⅡ３０８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001055016,株式会社山三リース,,神奈川県,横浜市都筑区,神奈川県横浜市都筑区池辺町３９２０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001058778,ソーシャル・ファイナンス株式会社,,神奈川県,横浜市港北区,神奈川県横浜市港北区下田町５丁目３７番５号ライオンズガーデン日吉２０３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001063209,株式会社ワールド・キャピタル,,神奈川県,横浜市中区,神奈川県横浜市中区福富町東通３番地５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001069940,株式会社日本保険サービス協会,ニホンホケンサービスキョウカイ,神奈川県,川崎市中原区,神奈川県川崎市中原区小杉町１丁目４０３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-14
1020001070394,株式会社横浜保険センター,,神奈川県,川崎市中原区,神奈川県川崎市中原区小杉町３丁目２番地１ダイアパレス武蔵小杉５１１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001081268,株式会社キャピタル・シンセシス,,神奈川県,川崎市幸区,神奈川県川崎市幸区塚越４丁目３４５番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001087711,私立学校奨学支援保険サービス株式会社,シリツガッコウショウガクシエンホケンサービス,神奈川県,横浜市都筑区,神奈川県横浜市都筑区中川中央１丁目２６番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-06
1020001091812,株式会社フリースペース,フリースペース,神奈川県,川崎市幸区,神奈川県川崎市幸区塚越３丁目４９６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-24
1020001103369,フリースカイ株式会社,フリースカイ,神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区梶山２丁目１６番２６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-13
1020001107881,エヌアールキャピタルマネジメント株式会社,エヌアールキャピタルマネジメント,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区岩井町１２２番地１クイーンハイツ保土ケ谷７０７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-15
1020001112452,ユナイテッド・キャピタル・マネジメント株式会社,ユナイテッドキャピタルマネジメント,神奈川県,横浜市旭区,神奈川県横浜市旭区白根４丁目１番１２号ライオンズマンション鶴ヶ峰４０６号室,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-15
1020001114903,株式会社エミリーストーン,エミリーストーン,神奈川県,横浜市南区,神奈川県横浜市南区大岡１丁目１７－２サニーヒルズ弘明寺Ⅱ－１０３号,finance,,2016-02-19,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-20
1020001143927,プラージュ・キャピタル株式会社,プラージュキャピタル,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区矢部町６３６番地１ファミール戸塚５４７号,finance,,2021-11-17,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-17
1020001168354,ＤＹＬキャピタル株式会社,ディーワイエルキャピタル,神奈川県,川崎市高津区,神奈川県川崎市高津区溝口５丁目１９番１－４１５号,finance,,2026-05-01,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-01
1020001168734,株式会社スキューズ・キャピタル,スキューズキャピタル,神奈川県,横浜市西区,神奈川県横浜市西区みなとみらい４丁目９番１号,finance,,2026-05-26,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-26
1020002001497,有限会社スカイリース,スカイリース,神奈川県,横浜市瀬谷区,神奈川県横浜市瀬谷区相沢１丁目１５番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-08
1020002004491,タイヤショベルリース有限会社,,神奈川県,横浜市緑区,神奈川県横浜市緑区三保町１９１８番地１の１２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020002005011,有限会社ミドリ・リース,,神奈川県,横浜市緑区,神奈川県横浜市緑区鴨居７丁目１１番６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020002006232,有限会社鈴木保険事務所,,神奈川県,横浜市都筑区,神奈川県横浜市都筑区すみれが丘２０番地２９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020002011050,有限会社あだち保険サービス,,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区上倉田町２０３３番地７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020002014763,有限会社ホリースカイ,ホリースカイ,神奈川県,横浜市青葉区,神奈川県横浜市青葉区黒須田８番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-21
1020002026288,有限会社県総合保険サービス,ケンソウゴウホケンサービス,神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区西寺尾３丁目２５番１７号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-24
1020002041915,有限会社神奈川商工保険亊務所,カナガワショウコウホケンジムショ,神奈川県,横浜市中区,神奈川県横浜市中区若葉町３丁目４３番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-04
