# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010001034482,株式会社東京和光製作所,トウキョウワコウセイサクショ,神奈川県,藤沢市,神奈川県藤沢市村岡東４丁目１５番地の７,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-18
1010002031693,有限会社吉田製作所,ヨシダセイサクショ,神奈川県,相模原市南区,神奈川県相模原市南区大野台５丁目１４番１１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-09
1010005007451,特定非営利活動法人化学生物総合管理学会,カガクセイブツソウゴウカンリガッカイ,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区上品濃１６番１－１２３２号,manufacturing,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
1010702006912,有限会社平林製作所,ヒラバヤシセイサクショ,神奈川県,川崎市中原区,神奈川県川崎市中原区宮内２丁目２６番８号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-08
1010801007794,株式会社東京精密器具製作所,トウキョウセイミツキグセイサクショ,神奈川県,川崎市川崎区,神奈川県川崎市川崎区日ノ出２丁目８番１５号,manufacturing,manufacturing,2015-10-05,false,49,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010801018585,株式会社フタキ製作所,フタキセイサクショ,神奈川県,川崎市川崎区,神奈川県川崎市川崎区鋼管通４丁目４番１２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-23
1010902015151,有限会社恵電機製作所,メグミデンキセイサクショ,神奈川県,横浜市都筑区,神奈川県横浜市都筑区大丸１７番１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-20
1011005001650,一般財団法人東京高等文化学園,トウキョウコウトウブンカガクエン,神奈川県,藤沢市,神奈川県藤沢市大鋸１０４０番地の８,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-20
1011501007952,ドラゴン金属株式会社,ドラゴンキンゾク,神奈川県,相模原市中央区,神奈川県相模原市中央区田名３３７１番地３３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-06
1013201003158,株式会社関野製作所,,神奈川県,鎌倉市,神奈川県鎌倉市稲村ガ崎３丁目７番２０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-07
1013301011622,株式会社誠製作所,マコトセイサクショ,神奈川県,横浜市港南区,神奈川県横浜市港南区上大岡東２丁目１１番１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-12
1020001000715,株式会社新冨製作所,シントミセイサクジョ,神奈川県,横浜市泉区,神奈川県横浜市泉区上飯田町３８３８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001000905,株式会社平井製作所,,神奈川県,横浜市泉区,神奈川県横浜市泉区弥生台２０番地の４８,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001002224,株式会社千野製作所,チノセイサクショ,神奈川県,横浜市都筑区,神奈川県横浜市都筑区池辺町３８４２番地５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-18
1020001002645,株式会社石辺製作所,イシベセイサクショ,神奈川県,横浜市磯子区,神奈川県横浜市磯子区岡村５丁目１４番３７号,manufacturing,manufacturing,2015-10-05,false,13,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001003874,交易食品株式会社,コウエキショクヒン,神奈川県,横浜市港南区,神奈川県横浜市港南区大久保１丁目５番１８号,manufacturing,food-maker,2015-10-05,false,65,,,http://www.koeki.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001004922,株式会社川崎製作所,カワサキセイサクショ,神奈川県,横浜市旭区,神奈川県横浜市旭区上白根町１１０７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-31
1020001005318,株式会社玉川製作所,タマガワセイサクショ,神奈川県,横浜市港南区,神奈川県横浜市港南区港南台７丁目２４番７号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001005334,株式会社鶴見化工機製作所,ツルミカコウキセイサクショ,神奈川県,横浜市旭区,神奈川県横浜市旭区中尾２丁目３０番１４号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-07
1020001006407,株式会社大東製作所,,神奈川県,横浜市金沢区,神奈川県横浜市金沢区釜利谷東７丁目１２番１３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1020001006456,株式会社田中製作所,タナカセイサクショ,神奈川県,横浜市金沢区,神奈川県横浜市金沢区釜利谷南２丁目３９番６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-28
1020001006596,株式会社中川製作所神奈川,,神奈川県,横浜市金沢区,神奈川県横浜市金沢区福浦１丁目３番１２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001006662,パレス化学株式会社,パレスカガク,神奈川県,横浜市金沢区,神奈川県横浜市金沢区福浦１丁目１１番地の１６,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001006860,株式会社ミツミネ製作所,ミツミネセイサクショ,神奈川県,横須賀市,神奈川県横須賀市長瀬３丁目６番５号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-20
1020001006943,株式会社横浜食品サービス,ヨコハマショクヒンサービス,神奈川県,横浜市金沢区,神奈川県横浜市金沢区鳥浜町１番１,manufacturing,food-maker,2015-10-05,false,220,,,http://www.yokosyoku.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001007834,株式会社日新製作所,ニッシンセイサクショ,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区上矢部町２００９番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-22
1020001007875,株式会社紀元製作所,ノリモトセイサクショ,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区上矢部町２２番地,manufacturing,manufacturing,2015-10-05,false,80,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001008064,株式会社町山製作所,マチヤマセイサクショ,神奈川県,藤沢市,神奈川県藤沢市石川１丁目９番地の２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-24
1020001008139,株式会社山根製作所,ヤマネセイサクショ,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区東俣野町９２３番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-11
1020001008213,脇田食品株式会社,,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区矢部町１３５番地５２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001008295,株式会社内堀製作所,ウチボリセイサクショ,神奈川県,横浜市都筑区,神奈川県横浜市都筑区大丸２４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-05
1020001008997,株式会社特殊電機製作所,,神奈川県,横浜市都筑区,神奈川県横浜市都筑区佐江戸町２２２８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-03
1020001009277,ベスト食品株式会社,ベストショクヒン,神奈川県,横浜市都筑区,神奈川県横浜市都筑区佐江戸町１７０７番地１宮の下マンション１０５,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-20
1020001009310,株式会社本多製作所,ホンダセイサクショ,神奈川県,横浜市港北区,神奈川県横浜市港北区樽町４丁目６－１５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-19
1020001009491,株式会社横山製作所,ヨコヤマセイサクショ,神奈川県,横浜市都筑区,神奈川県横浜市都筑区池辺町３２３６番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-25
1020001010219,株式会社大協製作所,ダイキョウセイサクショ,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区今井町１１２５番地,manufacturing,manufacturing,2015-10-05,false,38,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001010301,株式会社戸田製作所,,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区仏向町７０番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1020001010565,株式会社保土ヶ谷製作所,ホドガヤセイサクショ,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区岡沢町１７９番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
