# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4020002077031,有限会社ホームケア,ホームケア,神奈川県,横浜市港北区,神奈川県横浜市港北区新羽町１６５９番地,realestate,care|realestate,2015-10-05,false,,,,http://www5.hp-ez.com/hp/homecre/page6,045-548-9191,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7021005002337,特定非営利活動法人湘南ナーシングホーム　トマト,ショウナンナーシングホームトマト,神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区俣野町５５８番地２,realestate,care|realestate,2015-10-05,false,,,,,045-410-8502,,,国税庁 法人番号公表サイト,2019-07-22
9020003007908,プチハウス株式会社,プチハウス,神奈川県,横浜市港南区,神奈川県横浜市港南区下永谷６丁目８番４,realestate,care|realestate,2015-10-05,false,,,,,045-392-5224,,,国税庁 法人番号公表サイト,2025-01-20
2020005005222,特定非営利活動法人ホームヘルプサービス緑,,神奈川県,横浜市緑区,神奈川県横浜市緑区霧が丘４丁目１８－１７－１０１,realestate,care|realestate,2015-10-05,false,,,,,045-517-7100,,,国税庁 法人番号公表サイト,2023-11-20
4020001081661,株式会社ケアハウス川崎,ケアハウスカワサキ,神奈川県,川崎市川崎区,神奈川県川崎市川崎区渡田向町２４－６カテナ川崎マンションＡ２０２,realestate,care|realestate,2015-10-05,false,,,,,044-280-6220,,,国税庁 法人番号公表サイト,2024-01-16
4020002096659,有限会社健孝ホーム,ケンコーホーム,神奈川県,川崎市川崎区,神奈川県川崎市川崎区大島１丁目４番８号－２０４号室,realestate,care|realestate,2015-10-05,false,,,,,044-244-8670,,,国税庁 法人番号公表サイト,2021-03-17
9020001154553,株式会社ネクストホーム,ネクストホーム,神奈川県,川崎市川崎区,神奈川県川崎市川崎区境町１１番２０号シャトー小林２０２号室,realestate,care|realestate,2023-11-20,false,,,,,044-280-9607,,,国税庁 法人番号公表サイト,2023-11-20
2020002096669,有限会社ケア・ハウス,ケアハウス,神奈川県,川崎市幸区,神奈川県川崎市幸区塚越２丁目１５５番地すずやビル２０１,realestate,care|realestate,2015-10-05,false,,,,,044-276-8492,,,国税庁 法人番号公表サイト,2021-09-16
5020001129542,ＮＣかわさきホームケア株式会社,エヌシーカワサキホームケア,神奈川県,川崎市中原区,神奈川県川崎市中原区北谷町６９３番地堀内第二ビル２０１,realestate,care|realestate,2019-01-17,false,,,,,044-201-4108,,,国税庁 法人番号公表サイト,2019-01-22
9021001071433,エス・エスホームケア株式会社,エスエスホームケア,神奈川県,相模原市南区,神奈川県相模原市南区相模大野５丁目１０番２２号,realestate,care|realestate,2020-11-20,false,,,,https://sshomecare.jp/,042-705-8031,,https://sshomecare.jp/info/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
