# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9020001024871,ヨコニサービス株式会社,ヨコニサービス,神奈川県,横浜市神奈川区,神奈川県横浜市神奈川区東神奈川２丁目４３番の１,service,care,1990-07-05,false,,,代表取締役　福井　淳一,,045-453-4851,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5020001081231,ライフ・コミュニティーサービス株式会社,ライフコミュニティーサービス,神奈川県,川崎市川崎区,神奈川県川崎市川崎区大島３丁目２３番１号,service,care,2015-10-05,false,,,,http://laefucommunityservice.web.fc2.com/,044-271-1021,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2020003007823,合同会社コリアサービス多美ＫＯ,,神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区尻手１丁目７番１,service,care,2015-10-05,false,,,,,045-270-8332,,,国税庁 法人番号公表サイト,2017-08-30
2020001010523,株式会社ファミリーサービス,ファミリーサービス,神奈川県,横浜市保土ケ谷区,神奈川県横浜市保土ケ谷区天王町１丁目１番地,service,care,2015-10-05,false,,,,http://www.apple-kaigo.co.jp,0120-14-3887,,https://www.apple-kaigo.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3020002009670,有限会社ユー企画,ユーキカク,神奈川県,横浜市磯子区,神奈川県横浜市磯子区中浜町５番２号,service,care|advertising,2015-10-05,false,,,,,045-754-6471,,,国税庁 法人番号公表サイト,2018-05-08
7020002032256,有限会社アテンドサービスヨコハマ,アテンドサービスヨコハマ,神奈川県,横浜市港北区,神奈川県横浜市港北区樽町１丁目２２番２６号,service,care,2015-10-05,false,,,,,045-545-7996,,,国税庁 法人番号公表サイト,2025-07-07
7020001060654,株式会社三文サービス,サンモンサービス,神奈川県,横浜市港南区,神奈川県横浜市港南区港南台６丁目９番１１号,service,care,2015-10-05,false,,,,https://puratina-club.com/services/kaigo_visit/,045-830-0022,,https://puratina-club.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2020002008616,有限会社並木メディカル・サービス,ナミキメディカルサービス,神奈川県,横浜市金沢区,神奈川県横浜市金沢区並木１丁目１９番２１号,service,care,2015-10-05,false,,,,,045-489-5665,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1020001085104,ビーコンサービス株式会社,ビーコンサービス,神奈川県,横浜市栄区,神奈川県横浜市栄区上郷町８４番１２号２０１,service,care,2015-10-05,false,,,,https://at-homecare.life/,045-897-6616,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5020001051192,株式会社愛ヘルパーサービス,アイヘルパーサービス,神奈川県,横浜市都筑区,神奈川県横浜市都筑区川和町１４２６番地２,service,care,2015-10-05,false,,,,,045-932-7183,,,国税庁 法人番号公表サイト,2025-02-25
9020001079049,株式会社ＳＴＳサンタートルサービス,エスティーエスサンタートルサービス,神奈川県,川崎市川崎区,神奈川県川崎市川崎区扇町１１番５号今ビル１階,service,care,2015-10-05,false,,,,,044-366-4886,,,国税庁 法人番号公表サイト,2020-06-17
2020001092669,株式会社ライフサービス薫,ライフサービスカヲル,神奈川県,川崎市川崎区,神奈川県川崎市川崎区池田１丁目４番１９号,service,care,2015-10-05,false,,,,,044-211-0429,,,国税庁 法人番号公表サイト,2022-01-06
3021001022409,株式会社エスティサービス,エスティサービス,神奈川県,秦野市,神奈川県秦野市平沢１５５５番地,service,care|beauty|clinic|realestate|manufacturing|agriculture,2015-10-05,false,,,,http://www.st-service.co.jp/,042-795-7770,,https://forms.gle/UD9ixerebeFFtb6s9,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3020001081332,株式会社サポートサービス,サポートサービス,神奈川県,川崎市高津区,神奈川県川崎市高津区子母口８７９－８テラス子母口１－Ｄ,service,care,2015-10-05,false,,,,http://www.sumiyoshi-helperstation.jp/,044-920-9446,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9020001099724,株式会社宮前さくらサービス,ミヤマエサクラサービス,神奈川県,川崎市宮前区,神奈川県川崎市宮前区小台２丁目１番地１０,service,care,2015-10-05,false,,,,,044-853-2240,,,国税庁 法人番号公表サイト,2019-06-18
5021001019097,振起総合企画株式会社,シンキソウゴウキカク,神奈川県,相模原市中央区,神奈川県相模原市中央区田名塩田２丁目１９番３０号,service,care|advertising,2015-10-05,false,,,,,042-704-9324,,,国税庁 法人番号公表サイト,2019-03-27
4021003008685,合同会社ＳＫＪサービス,エスケイジェイサービス,神奈川県,相模原市南区,神奈川県相模原市南区東林間２丁目２３番１３号コンフォート相模原１０５,service,care,2019-09-20,false,,,,,042-702-3530,,,国税庁 法人番号公表サイト,2020-11-11
6021002069941,有限会社グループライフサービス,,神奈川県,横須賀市,神奈川県横須賀市久村４７１番地１０１号室,service,care,2015-10-05,false,,,,https://www.grouplife.co.jp,046-830-5153,,https://www.grouplife.co.jp/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5021005007379,特定非営利活動法人まごころサービス平塚センター,マゴコロサービスヒラツカセンター,神奈川県,平塚市,神奈川県平塚市根坂間２１９番地４,service,care,2015-10-05,false,,,,,0463-30-3800,,,国税庁 法人番号公表サイト,2026-01-27
4021002054169,有限会社Ｙ・Ｍ企画,,神奈川県,小田原市,神奈川県小田原市鴨宮１８番地の１,service,care|advertising,2015-10-05,false,,,,,0465-49-3939,,,国税庁 法人番号公表サイト,2015-11-06
