# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5210002004378,株式会社エイト工業,エイトコウギョウ,福井県,坂井市,福井県坂井市丸岡町羽崎第２８号２８番地,construction,care,2015-10-05,false,8,,,,0776-50-3537,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5210001009725,大野衛生設備株式会社,オオノエイセイセツビ,福井県,大野市,福井県大野市東中町３０１番地,construction,care|construction,1980-11-01,false,,,代表取締役　木下　隆之,https://onoeisei.com,0779-65-5600,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000209,株式会社梅井設備工業,ウメイセツビコウギョウ,福井県,福井市,福井県福井市大宮６丁目５番１０号,construction,construction,1972-09-30,false,,,代表取締役　梅井　啓介,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000241,岩崎工業株式会社,イワサキコウギョウ,福井県,福井市,福井県福井市文京１丁目３７番６号,construction,,1965-03-01,false,42,,代表取締役　岩崎　茂雄,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000522,石黒建設株式会社,イシグロケンセツ,福井県,福井市,福井県福井市西開発３丁目３０１番地１,construction,construction,2015-10-05,false,169,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000753,椛山建設株式会社,カバヤマケンセツ,福井県,吉田郡永平寺町,福井県吉田郡永平寺町松岡上合月第６号１２０番地の４,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000761,株式会社神谷工業,カミヤコウギョウ,福井県,福井市,福井県福井市石盛町７１２番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-08
1210001000943,岸田建設株式会社,キシダケンセツ,福井県,福井市,福井県福井市成和２丁目１００１番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-03
1210001000984,紀の国屋建設株式会社,,福井県,福井市,福井県福井市下馬３丁目２２１４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
1210001001009,協栄工業株式会社,キョウエイコウギョウ,福井県,福井市,福井県福井市北野下町１２号６番地の２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-09
1210001001157,株式会社建設産業新聞社,,福井県,福井市,福井県福井市中央１丁目４番２５号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1210001001173,宏栄建設株式会社,コウエイケンセツ,福井県,福井市,福井県福井市木田３丁目９１３番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-05
1210001001470,三友建設株式会社,サンユウケンセツ,福井県,福井市,福井県福井市城東４丁目２４番１２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-05
1210001001495,三和メッキ工業株式会社,サンワメッキコウギョウ,福井県,福井市,福井県福井市大瀬町５号３０番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001001818,株式会社綜合設備工業所,ソウゴウセツビコウギョウショ,福井県,福井市,福井県福井市三郎丸１丁目２１０番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-25
1210001001834,園井ボデー工業株式会社,ソノイボデーコウギョウ,福井県,福井市,福井県福井市川合鷲塚町４０字東道田,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-13
1210001001974,大研化成工業株式会社,ダイケンカセイコウギョウ,福井県,福井市,福井県福井市川合鷲塚町４８号５番地の１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-16
1210001002444,波寄造園土木株式会社,ナミヨセゾウエンドボク,福井県,福井市,福井県福井市波寄町３７号８２番地,construction,construction,1980-06-05,false,,,代表取締役　新道　謙二,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001002469,野村自動車工業株式会社,,福井県,福井市,福井県福井市舞屋町第６号５番地の２,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1210001002527,轟建設株式会社,トドロキケンセツ,福井県,福井市,福井県福井市勝見３丁目１７番５号,construction,construction,2015-10-05,false,48,,,https://www.tdrk.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001002691,オービーエー照明工業株式会社,,福井県,福井市,福井県福井市堀ノ宮１丁目５０７番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
