# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1210001001198,株式会社合同経営会計事務所,,福井県,福井市,福井県福井市西開発１丁目２５０３番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-18
1210001001371,株式会社三総研,,福井県,福井市,福井県福井市二の宮５丁目２番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1210001001999,株式会社竹澤会計事務所,,福井県,福井市,福井県福井市北今泉町第５号３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210001004085,株式会社村中会計,ムラナカカイケイ,福井県,福井市,福井県福井市二の宮３丁目１番７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-06
1210001009282,ＭＩＴコンサルティング株式会社,エムアイティーコンサルティング,福井県,福井市,福井県福井市高木中央３丁目１００１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001014737,アイギスＦＰコンサルティング株式会社,,福井県,福井市,福井県福井市大宮４丁目１０番１６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210001016361,株式会社スマイル・パートナーズ,スマイルパートナーズ,福井県,敦賀市,福井県敦賀市舞崎町２丁目１８番６号Ｌｉｏｎ舞崎２０２,consulting,pro-services,2016-06-07,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-09
1210001016997,株式会社アセットコンサル,アセットコンサル,福井県,福井市,福井県福井市大町１丁目７１５番地,consulting,pro-services,2018-01-16,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-12
1210001020396,株式会社ビズリンクパートナーズ,ビズリンクパートナーズ,福井県,越前市,福井県越前市幸町５番１０号,consulting,pro-services,2025-11-20,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-10
1210002001354,有限会社斎藤経営会計事務所,サイトウケイエイカイケイジムショ,福井県,福井市,福井県福井市木田町２５０８番地２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-24
1210002002988,有限会社平鍋会計センター,,福井県,福井市,福井県福井市新保町第４０号４４番地の２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002004076,有限会社吉田労務管理センター,,福井県,福井市,福井県福井市中央１丁目１９番７号,consulting,realestate|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-05
1210002004126,有限会社吉川経営労務研究所,ヨシカワケイエイロウムケンキュウジョ,福井県,福井市,福井県福井市高木２丁目７１５番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-06
1210002007062,有限会社木村コンサルタント事務所,キムラコンサルタントジムショ,福井県,坂井市,福井県坂井市三国町三国東５丁目１番７５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-28
1210002010867,有限会社ツルガコンピュータ会計,,福井県,敦賀市,福井県敦賀市元町１５番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002013564,越前ライフコンサルタント株式会社,エチゼンライフコンサルタント,福井県,越前市,福井県越前市片屋町第５８号１１番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-14
1210003000454,合同会社戦略労務研究所,センリャクロウムケンキュウジョ,福井県,福井市,福井県福井市渡町４０３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-16
1210003000462,合同会社カンパニュラコンサルタンツ,カンパニュラコンサルタンツ,福井県,福井市,福井県福井市大手２丁目３番１号シンフォニアガーデン福井１２０５号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-28
1210003001188,合同会社アシスト会計,アシストカイケイ,福井県,福井市,福井県福井市羽水２丁目２０７番地,consulting,pro-services,2019-09-27,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
1210003001196,金子パートナーズ合同会社,カネコパートナーズ,福井県,鯖江市,福井県鯖江市丸山町２丁目３番４号,consulting,pro-services,2019-11-12,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-15
1210005005996,税理士法人タカハシ会計,タカハシカイケイ,福井県,大野市,福井県大野市天神町７番１２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-20
1210005006020,税理士法人たすき会,タスキカイ,福井県,福井市,福井県福井市乾徳１丁目９番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210005006813,税理士法人竹長会計,タケナガカイケイ,福井県,敦賀市,福井県敦賀市中央町１丁目８番３３号,consulting,pro-services,2015-10-05,false,16,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210005009353,敦賀中央税理士法人,ツルガチュウオウ,福井県,敦賀市,福井県敦賀市本町１丁目６番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210005009592,弁護士法人ふくい総合法律事務所,フクイソウゴウホウリツジムショ,福井県,福井市,福井県福井市大手３丁目１４番１０号ＴＭＹ大名町ビル５階,consulting,pro-services,2016-04-11,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-24
1210005009618,税理士法人ＦＯＲＭ,,福井県,福井市,福井県福井市北四ツ居２丁目１３番１０号,consulting,pro-services,2016-09-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210005009857,弁護士法人井筒ともこ法律事務所,イヅツトモコホウリツジムショ,福井県,福井市,福井県福井市宝永３丁目３４番２４号大澤第２ビル１階,consulting,pro-services,2020-01-10,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-27
1700150050491,丹生区収益会計,ニユウクシユウエキカイケイ,福井県,三方郡美浜町,福井県三方郡美浜町丹生,consulting,pro-services,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
2210001001676,株式会社坂本会計,サカモトカイケイ,福井県,福井市,福井県福井市文京１丁目２０番１１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-24
2210001002253,株式会社辻会計電算室,ツジカイケイデンサンシツ,福井県,福井市,福井県福井市田原２丁目３番１０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
2210001010470,株式会社エイコー技術コンサルタント,エイコーギジュツコンサルタント,福井県,敦賀市,福井県敦賀市中央町２丁目１１番３６号,consulting,pro-services,1963-03-26,false,39,,代表取締役　黒木　友晴,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2210002003003,ファイナンシャルコンサルト有限会社,ファイナンシャルコンサルト,福井県,福井市,福井県福井市月見２丁目１０番１５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-26
2210003000420,戦略組織コンサルティング合同会社,,福井県,福井市,福井県福井市花堂中２丁目２１番１８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210003001006,アセットコンサルティング合同会社,,福井県,福井市,福井県福井市二の宮４丁目２９番２３号,consulting,pro-services,2017-06-06,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-09
