# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1210001001256,株式会社寿フードサービス,,福井県,福井市,福井県福井市下荒井町第１５号３０９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-07-25
1210001003905,株式会社松本フードセンター,マツモトフードセンター,福井県,福井市,福井県福井市北四ツ居１丁目９番１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-09
1210001014885,株式会社一乃松セントラルキッチン,イチノマツセントラルキッチン,福井県,越前市,福井県越前市三ツ口町７７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-14
1210001018119,株式会社食彩館フードマネジメント,ショクサイカンフードマネジメント,福井県,福井市,福井県福井市大宮６丁目５番５号,food,,2020-08-28,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-11
1210002003953,有限会社レストランマロニエ,,福井県,福井市,福井県福井市中央１丁目２番４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002011782,有限会社武生フードサービス,,福井県,越前市,福井県越前市住吉町３番３２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002014158,有限会社ワカサフードサービス,,福井県,大飯郡高浜町,福井県大飯郡高浜町塩土第２号２番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210001008044,株式会社ダイニング,ダイニング,福井県,福井市,福井県福井市大和田１丁目１５０５番地,food,restaurant,2015-10-05,false,68,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2210001009975,株式会社アサヒフード,アサヒフード,福井県,勝山市,福井県勝山市旭町２丁目３番４８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-24
2210001015032,株式会社ワンダーフードサービス,ワンダーフードサービス,福井県,福井市,福井県福井市足羽１丁目８番４３号,food,restaurant,2015-10-05,false,5,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2210002012185,有限会社レストラン三六五,レストランサンロクゴ,福井県,南条郡南越前町,福井県南条郡南越前町湯尾第７０号１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-20
2210002014207,有限会社槇食堂,マキショクドウ,福井県,大飯郡おおい町,福井県大飯郡おおい町大島第３３号９８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-24
2210005009138,特定非営利活動法人リビングフードセラピー協会,リビングフードセラピーキョウカイ,福井県,福井市,福井県福井市文京３丁目１１番２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-10
3210001004521,株式会社レストラン南条,レストランナンジョウ,福井県,南条郡南越前町,福井県南条郡南越前町牧谷第３９号２番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-24
3210002001105,有限会社県庁食堂,ケンチョウショクドウ,福井県,福井市,福井県福井市大手３丁目１７番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-29
3210002001344,有限会社サンエイフード,,福井県,福井市,福井県福井市西開発１丁目２３１７番地２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3210002004933,有限会社キッチン天山,キッチンテンザン,福井県,吉田郡永平寺町,福井県吉田郡永平寺町京善第１号１７番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-09
3210002008934,有限会社オンフード,,福井県,福井市,福井県福井市開発４丁目４０７番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3210002010337,有限会社しものフード,,福井県,敦賀市,福井県敦賀市金山６８号５番地の３,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
3210005000228,福井県社交飲食業生活衛生同業組合,フクイケンシャコウインショクギョウ,福井県,福井市,福井県福井市日之出１丁目１番１７号ホテルエコノ福井駅前１階,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3210005009616,特定非営利活動法人フードバンクふくい,フードバンクフクイ,福井県,鯖江市,福井県鯖江市御幸町３丁目６番２０号,food,,2016-08-29,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-03
4210001015443,株式会社マイセンファインフード,マイセンファインフード,福井県,鯖江市,福井県鯖江市上野田町第１２号７番地１,food,,2015-10-05,false,30,,,https://www.maisen.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4210002010534,有限会社ダイニングたかぎ,,福井県,敦賀市,福井県敦賀市沓見６２号３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
5210001014477,株式会社レストランロッシュ,,福井県,福井市,福井県福井市手寄２丁目１番５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
5210001017208,株式会社クレストフードライフ,クレストフードライフ,福井県,福井市,福井県福井市運動公園３丁目４０８番地,food,,2018-07-04,false,14,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5210002008008,有限会社四ツ屋食堂,ヨツヤショクドウ,福井県,坂井市,福井県坂井市丸岡町本町２丁目３６番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-02
5210002014253,有限会社マナ・フードサービス,,福井県,大飯郡おおい町,福井県大飯郡おおい町安川第１０号９番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
