# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1060001025931,Ｊプロジェクト株式会社,ジェイプロジェクト,福井県,福井市,福井県福井市問屋町４丁目５０３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-16
1210001000927,祇王運送株式会社,ギオウウンソウ,福井県,福井市,福井県福井市菅谷町１０号１９番地１,logistics,logistics,2015-10-05,false,112,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001001033,橋南運送株式会社,キョウナンウンソウ,福井県,福井市,福井県福井市花堂東１丁目３０番１９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-27
1210001001306,小山運送株式会社,コヤマウンソウ,福井県,福井市,福井県福井市二の宮５丁目１番２２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-03
1210001002188,株式会社日本商運ロジコム,ニホンショウウンロジコム,福井県,吉田郡永平寺町,福井県吉田郡永平寺町松岡下合月第１２号３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-25
1210001002915,福井倉庫株式会社,フクイソウコ,福井県,福井市,福井県福井市花堂北１丁目４番２２号,logistics,logistics,2015-10-05,false,132,,,https://www.fukui-logistics.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001002923,株式会社福井センイ倉庫,フクイセンイソウコ,福井県,福井市,福井県福井市江端町３６字成政２０番地,logistics,logistics,1932-04-05,false,,,代表取締役　蓑輪　一範,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001003525,北陸トラック運送株式会社,ホクリクトラックウンソウ,福井県,福井市,福井県福井市上細江町２０字１番地,logistics,logistics,2015-10-05,false,471,,,http://hokutora.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001007179,株式会社堀川運輸,ホリカワウンユ,福井県,あわら市,福井県あわら市山十楽４号８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-02
1210001008292,株式会社東洋運輸,トウヨウウンユ,福井県,福井市,福井県福井市原目町第６号１８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-13
1210001011528,織田運送株式会社,オタウンソウ,福井県,越前市,福井県越前市北山町第１１号２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-26
1210001012096,嶺北運輸株式会社,レイホクウンユ,福井県,越前市,福井県越前市大虫本町第２０号３番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-30
1210001012121,今立合同運輸株式会社,イマダテゴウドウウンユ,福井県,越前市,福井県越前市粟田部町３５号４番１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-01
1210001012889,サイト運輸株式会社,サイトウンユ,福井県,鯖江市,福井県鯖江市五郎丸町３１６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-24
1210001013103,戸ノ口運輸株式会社,トノクチウンユ,福井県,鯖江市,福井県鯖江市落井町５２号１０番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-07
1210001013482,豊田倉庫株式会社,トヨタソウコ,福井県,越前市,福井県越前市岩内町第２４号２番地の６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-28
1210001013887,福井高速運輸・武生株式会社,フクイコウソクウンユタケフ,福井県,越前市,福井県越前市家久町第２７号１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-20
1210001015231,株式会社エコ環境プロジェクト,,福井県,福井市,福井県福井市高木中央１丁目３１０４番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002000760,大橋運輸有限会社,オオハシウンユ,福井県,福井市,福井県福井市小稲津町３９号７１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
1210002001924,成和運輸有限会社,,福井県,坂井市,福井県坂井市春江町中庄６号５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002002930,有限会社東田運輸,ヒガシダウンユ,福井県,福井市,福井県福井市若杉浜３丁目１１１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-17
1210002003383,本田運輸有限会社,ホンダウンユ,福井県,福井市,福井県福井市下荒井町第１４号２０２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-04
1210002007252,池田運送有限会社,,福井県,あわら市,福井県あわら市花乃杜１丁目２４番１６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002007574,小林建材運輸有限会社,,福井県,あわら市,福井県あわら市重義第２８号７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-18
1210002009744,勝山運送有限会社,カツヤマウンソウ,福井県,勝山市,福井県勝山市滝波町４丁目１１０７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-09
1210002009926,有限会社カズ運輸,,福井県,大野市,福井県大野市春日３丁目１７番２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-12
1210002011386,有限会社三木運送,,福井県,三方上中郡若狭町,福井県三方上中郡若狭町天徳寺第３２号１２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002011717,大幸運輸有限会社,,福井県,越前市,福井県越前市家久町第３０号４番地７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002011956,有限会社大和ロジスティクス,ダイワロジスティクス,福井県,丹生郡越前町,福井県丹生郡越前町西田中１丁目２０６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
1210002013168,有限会社大幸物流,ダイコウブツリュウ,福井県,鯖江市,福井県鯖江市川去町第９号３５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
1210002013341,有限会社プロジェ・タニグチ,,福井県,鯖江市,福井県鯖江市旭町４丁目１番４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-09-21
1210002013399,丸越運輸有限会社,,福井県,鯖江市,福井県鯖江市東鯖江４丁目８０７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210003000693,知三運送合資会社,,福井県,大飯郡おおい町,福井県大飯郡おおい町名田庄三重２６号４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210005005492,中竜運輸労働組合,,福井県,大野市,福井県大野市下丁３字２３の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2010001121065,株式会社セルテクノロジー,セルテクノロジー,福井県,福井市,福井県福井市経田１丁目１５０８番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-15
2210001000422,江守物流株式会社,エモリブツリュウ,福井県,福井市,福井県福井市毛矢１丁目６番２３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
2210001001354,三晃運輸株式会社,サンコウウンユ,福井県,福井市,福井県福井市上森田５丁目６０１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-20
2210001002807,株式会社西組運送店,ニシグミウンソウテン,福井県,福井市,福井県福井市南江守町２字６６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-15
2210001007252,中部陸運株式会社,チュウブリクウン,福井県,あわら市,福井県あわら市上番４３号７番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
2210001007269,藤商運輸株式会社,フジショウウンユ,福井県,あわら市,福井県あわら市下番４７号２０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-08
2210001010058,大日運輸株式会社,ダイニチウンユ,福井県,勝山市,福井県勝山市猪野口３１字明神田１番地の１、１番地の４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-15
2210001010553,沢田運送株式会社,サワダウンソウ,福井県,敦賀市,福井県敦賀市木崎２号１番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-10
2210001010603,真和運送株式会社,シンワウンソウ,福井県,敦賀市,福井県敦賀市沓見６４号９番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-22
2210001010669,中村運輸株式会社,ナカムラウンユ,福井県,敦賀市,福井県敦賀市桜町６番２６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-23
2210001010743,福井トナミ運輸株式会社,フクイトナミウンユ,福井県,敦賀市,福井県敦賀市羽織町１３番地の３,logistics,logistics,2015-10-05,false,167,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2210001011337,株式会社三共運送,サンキョウウンソウ,福井県,敦賀市,福井県敦賀市葉原１０７号２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-30
2210001011824,豊田運輸倉庫株式会社,トヨダウンユソウコ,福井県,越前市,福井県越前市岩内町３０号２番地１６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-11
2210001014513,株式会社三国昭和倉庫館,,福井県,坂井市,福井県坂井市三国町新保第４０号１２番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210001014629,エイティーンス物流加工株式会社,エイティーンスブツリュウカコウ,福井県,福井市,福井県福井市栄町１１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-08
2210001014703,株式会社ユーキ物流,,福井県,福井市,福井県福井市種池町第３号１３０番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210001015370,株式会社岩美物流,イワミブツリュウ,福井県,あわら市,福井県あわら市下金屋第３０号２１番地２５,logistics,logistics,2015-10-05,false,12,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2210001016625,山善運輸機工株式会社,ヤマゼンウンユキコウ,福井県,福井市,福井県福井市花堂南２丁目７番１８号,logistics,logistics,2017-02-09,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-07
2210001017904,株式会社日本ピーエステクノロジーズ,ニッポンピーエステクノロジーズ,福井県,敦賀市,福井県敦賀市若泉町３番地,logistics,beauty|logistics,2020-02-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-24
2210001020635,ゲンキーロジスティクス株式会社,ゲンキーロジスティクス,福井県,坂井市,福井県坂井市丸岡町下久米田３８字３３番,logistics,logistics,2026-05-29,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-29
2210002001378,三兄運輸有限会社,サンケイウンユ,福井県,坂井市,福井県坂井市春江町松木６号５１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-12
2210002002938,有限会社ワイエムエス物流,,福井県,福井市,福井県福井市新保町第３９号５１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210002007169,有限会社藤田運送,フジタウンソウ,福井県,坂井市,福井県坂井市三国町楽円第３８号２番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
2210002007251,岩崎運送有限会社,,福井県,あわら市,福井県あわら市瓜生５号２２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210002007929,福庄運輸有限会社,,福井県,坂井市,福井県坂井市丸岡町磯部福庄第２６号１番地７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2210002008927,有限会社響運輸,ヒビキウンユ,福井県,福井市,福井県福井市菅谷２丁目３番１０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-29
