# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6210001004394,山崎金属株式会社,ヤマザキキンゾク,福井県,福井市,福井県福井市宝永２丁目１１番３号,manufacturing,care|manufacturing,2015-10-05,false,119,,,http://yamazaki-kinzoku.jp/,0776-54-2288,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000786,株式会社河﨑眼鏡製作所,,福井県,福井市,福井県福井市久喜津町３４字１番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-30
1210001002667,日華化学株式会社,ニッカカガク,福井県,福井市,福井県福井市文京４丁目２３番１号,manufacturing,,2015-10-05,false,825,2898000000,代表取締役社長　江守　康昌,https://www.nicca.co.jp/sustainable/propulsion.html,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001002717,ハトヤ食品株式会社,ハトヤショクヒン,福井県,福井市,福井県福井市照手１丁目１２番１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-17
1210001004481,渡辺冷凍食品株式会社,ワタナベレイトウショクヒン,福井県,福井市,福井県福井市松本４丁目１８番２６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-15
1210001007096,株式会社金津村田製作所,カナヅムラタセイサクショ,福井県,あわら市,福井県あわら市花乃杜２丁目１０番２８号,manufacturing,manufacturing,2015-10-05,false,314,,,http://www.murata.co.jp/kanazu/index.html,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001007328,北澤食品株式会社,キタザワショクヒン,福井県,坂井市,福井県坂井市三国町南本町３丁目６番２４号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-05
1210001010488,株式会社桶武製作所,オケタケセイサクショ,福井県,敦賀市,福井県敦賀市昭和町１丁目９番１７号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001012708,株式会社エイコー金属,エイコーキンゾク,福井県,鯖江市,福井県鯖江市杉本町３０字２０番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-12
1210001013177,ピーエス化学株式会社,ピーエスカガク,福井県,鯖江市,福井県鯖江市御幸町１丁目２番３２号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-11
1210001013193,株式会社福井計器製作所,フクイケイキセイサクショ,福井県,鯖江市,福井県鯖江市神中町１丁目９番１０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-19
1210001013400,株式会社若吉製作所,ワカヨシセイサクショ,福井県,鯖江市,福井県鯖江市杉本町３６号２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001013425,酒井化学株式会社,サカイカガク,福井県,鯖江市,福井県鯖江市川去町第３２号２番地１,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-26
1210001015842,興栄金属株式会社,コウエイキンゾク,福井県,坂井市,福井県坂井市坂井町大味第６１号７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-21
1210001018003,日本かがやき製薬株式会社,ニホンカガヤキセイヤク,福井県,吉田郡永平寺町,福井県吉田郡永平寺町東古市第２１号７番地１,manufacturing,,2020-05-13,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-25
1210002002996,有限会社平森製作所,,福井県,福井市,福井県福井市馬垣町下馬境６０５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002004175,有限会社渡辺製作所,ワタナベセイサクショ,福井県,福井市,福井県福井市宝永３丁目２７番１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-31
1210002004357,有限会社金森建具製作所,カナモリタテグセイサクショ,福井県,福井市,福井県福井市新田塚２丁目３２５３番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-21
1210002010017,四ツ井化学有限会社,ヨツイカガク,福井県,大野市,福井県大野市堂本第１２号５番地１,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-23
1210002011824,有限会社内藤金型製作所,ナイトウカナガタセイサクショ,福井県,越前市,福井県越前市池ノ上町第５７号３番地の６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-26
1210002012062,有限会社越前製紙工場,エチゼンセイシコウジョウ,福井県,越前市,福井県越前市大滝町１２号５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-06
1210002012987,有限会社三工製作所,,福井県,鯖江市,福井県鯖江市河和田町７号２番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210002013093,有限会社菅谷製作所,,福井県,鯖江市,福井県鯖江市丸山町２丁目３番１０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
