# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1210002005025,有限会社ヒューマンケア,ヒューマンケア,福井県,福井市,福井県福井市日之出４丁目１番６号,medical,care,2015-10-05,false,,,,http://www.iba-net.co.jp/humancare/,0776-29-1788,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3210003001269,ケアライン合同会社,ケアライン,福井県,福井市,福井県福井市渡町２０８番地,medical,care,2020-09-03,false,,,,,0776-97-8034,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6210002009145,有限会社うさごえ介護サポート,ウサゴエカイゴサポート,福井県,福井市,福井県福井市江守中町第１号１７番地,medical,care,2015-10-05,false,,,,,0776-34-8617,,,国税庁 法人番号公表サイト,2019-12-02
9210005000635,社会福祉法人町屋福祉会,マチヤフクシカイ,福井県,福井市,福井県福井市松本１丁目３６番１５号,medical,care,2015-10-05,false,380,,,http://www.machiya-f.com/,0778-42-6067,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1210002004935,有限会社福井新世紀ケアサービス,フクイシンセイキケアサービス,福井県,福井市,福井県福井市栗森１丁目１０２番地,medical,care,2015-10-05,false,29,,,https://www.big-advance.site/s/163/1455,0776-63-5592,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7210001004575,株式会社仁愛ケアサービス,ジンアイケアサービス,福井県,福井市,福井県福井市乾徳４丁目５番５号,medical,care,2015-10-05,false,,,,http://www.jinai-cs.co.jp/jinhou/index.html,0776-26-6000,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2210005000220,福井県医療生活協同組合,フクイケンイリョウ,福井県,福井市,福井県福井市光陽２丁目１８番１５号,medical,care|clinic,2015-10-05,false,308,,,htttp://www.fukui-min-iren.com/iryouseikyou/,0776-60-2110,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2210002001667,有限会社稲木ケア・サービス,イナキケアサービス,福井県,福井市,福井県福井市上北野２丁目２２番９号,medical,care,2015-10-05,false,,,,https://www.inakicare.co.jp/,0776-54-2734,recruit-2@2x.png,https://www.inakicare.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2210005000641,社会福祉法人千寿会,センジュカイ,福井県,福井市,福井県福井市石盛３丁目３０１番地,medical,care,2015-10-05,false,150,,,https://www.tanpopoen-senjukai.com,0776-56-0992,,https://www.wam.go.jp/wamnet/zaihyoukaiji/pub/PUB0201000E00.do?_FORMID=PUB0219000&vo_headVO_corporationId=1618108384,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5210002008998,有限会社福祉サービスふくいコアラ,フクシサービスフクイコアラ,福井県,福井市,福井県福井市西木田３丁目４番２１号,medical,care,2015-10-05,false,,,,,0776-35-7718,,,国税庁 法人番号公表サイト,2018-04-24
9210005005139,社会福祉法人福井ゆうあい会,フクイユウアイカイ,福井県,福井市,福井県福井市経田１丁目３１３番地,medical,care,2015-10-05,false,75,,,http://www.fukui-youi.com,0776-27-0021,,https://fukui-youi.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9210005000024,社会福祉法人文珠福祉会,モンジュフクシカイ,福井県,福井市,福井県福井市北山町３５字反町５番地の１,medical,care,2015-10-05,false,90,,,http://www.monjuen.com,0776-41-7800,,http://www.monjuen.com/#section4,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
