# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2210001003078,株式会社福井メディックス,フクイメディックス,福井県,福井市,福井県福井市下六条町２１７番１,other,care,2015-10-05,false,200,,,http://fukui-medix.com/,0776-52-3155,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8210001004715,株式会社グロー,グロー,福井県,福井市,福井県福井市開発２丁目２２６番地２,other,care,2015-10-05,false,,,,,0776-89-1201,,,国税庁 法人番号公表サイト,2020-01-21
3210005000079,公益財団法人福井市ふれあい公社,フクイシフレアイコウシャ,福井県,福井市,福井県福井市日之出４丁目３番１２号,other,care,2015-10-05,false,126,,,https://fureai-kousha.jp,0776-20-5016,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5210003001457,合同会社マルイチ,マルイチ,福井県,福井市,福井県福井市八ツ島１丁目２０２番１,other,care,2022-02-02,false,19,,,,0776-50-3941,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210005000221,福井県民生活協同組合,フクイケンミン,福井県,福井市,福井県福井市開発５丁目１６０３番地,other,care,2015-10-05,false,1040,,,http://www.fukui.coop/,0120016165,,http://www.fukui.coop/recruit_form/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5210001001319,三栄開発株式会社,サンエイカイハツ,福井県,福井市,福井県福井市文京７丁目１２番２０号,other,care,2015-10-05,false,60,,,https://san-ei-kaihatu.jp/,0776-23-1263,logo@2x.png,https://san-ei-kaihatu.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2210001017771,株式会社みのりの絆,ミノリノキズナ,福井県,福井市,福井県福井市新田塚１丁目５５番１号,other,care,2019-10-30,false,,,,http://www.minorinokizuna.com,0776-76-0808,,https://www.minorinokizuna.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3210003001095,合同会社ダンハイト,ダンハイト,福井県,福井市,福井県福井市成和２丁目９０８番地,other,care,2018-07-11,false,,,,,0776-65-5722,,,国税庁 法人番号公表サイト,2023-02-07
3210002009271,有限会社シン・アイ,シンアイ,福井県,福井市,福井県福井市花堂中１丁目８番２０号,other,care,2015-10-05,false,,,,yu-shinai.jp,0776-50-1368,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8210001014615,株式会社三玄,ミゲン,福井県,福井市,福井県福井市大宮６丁目１７番２４号,other,care,2015-10-05,false,,,,http://www.c-migen.jp/,0776-25-2555,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8210001009648,株式会社つくも苑,ツクモエン,福井県,福井市,福井県福井市つくも２丁目５番５号,other,care,2015-10-05,false,,,,http://tsukumoen.co.jp/,0776335577,info@tsukumoen.co.jp,http://tsukumoen.co.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6210002008634,有限会社プラン２１,プランニジュウイチ,福井県,福井市,福井県福井市順化１丁目１０番７号,other,care,2015-10-05,false,,,,,0776-25-0401,,,国税庁 法人番号公表サイト,2022-09-20
4210001017704,株式会社ビリーブ,ビリーブ,福井県,福井市,福井県福井市舞屋町第４号３番地１１,other,care,2019-09-05,false,,,,http://kaipoke.biz/zp0/,0776-58-7140,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7210002008988,有限会社あんしん村グループ,アンシンムラグループ,福井県,福井市,福井県福井市北四ツ居２丁目７番１７号,other,care,2015-10-05,false,31,,,http://ansinmura.jp/,0776542931,,https://ansinmura.jp/%E3%81%82%E3%82%93%E3%81%97%E3%82%93%E6%9D%91%E8%B3%87%E6%96%99%E8%AB%8B%E6%B1%82%E3%83%BB%E5%85%A5%E5%B1%85%E7%9B%B8%E8%AB%87%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8210002012584,株式会社ＲｅＡＬ,リアル,福井県,福井市,福井県福井市中野２丁目１３０１番地,other,care,2015-10-05,false,,,,http://carecenter-kokoro.net/,0776-97-8017,kokoro@ruby.ocn.ne.jp,http://carecenter-kokoro.net/toiawase.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7210001014780,ライフプラス株式会社,ライフプラス,福井県,福井市,福井県福井市丸山１丁目２０８番地,other,care,2015-10-05,false,,,,http://www.self-support.jp,0776-97-5234,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4210001014610,株式会社在宅支援輝き,ザイタクシエンカガヤキ,福井県,福井市,福井県福井市加茂河原２丁目２１番２０号,other,care,2015-10-05,false,,,,,0776-76-0500,,,国税庁 法人番号公表サイト,2018-07-10
5210003000822,合同会社ゆめいえ,,福井県,坂井市,福井県坂井市三国町陣ケ岡第８号１番地４５,other,care,2015-10-05,false,,,,https://www.yumeie291.jp,０７７６－４３－９６７２,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3210003001178,ココテク合同会社,ココテク,福井県,福井市,福井県福井市志比口３丁目７－９,other,care,2019-08-05,false,,,,https://www.kokotech.jp,0776-63-5575,,https://www.kokotech.jp/form.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2122001023684,株式会社北寿,ホクジュ,福井県,敦賀市,福井県敦賀市古田刈６６－１００７ヴィラフォレストＡ号室,other,care,2015-10-05,false,,,,,0770-20-1711,,,国税庁 法人番号公表サイト,2024-01-09
3210001011360,株式会社ＳＨＡ,エスエイチエー,福井県,敦賀市,福井県敦賀市松栄町４番１０号,other,care,2015-10-05,false,,,,,0770-25-1616,,,国税庁 法人番号公表サイト,2021-04-20
9210002011296,有限会社西邦産業,セイホウサンギョウ,福井県,敦賀市,福井県敦賀市相生町２１番３１号,other,care,2015-10-05,false,,,,http://hp.kaipoke.biz/gag/,0770-24-0017,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8210001015638,株式会社あすか,アスカ,福井県,敦賀市,福井県敦賀市山泉７３号９１４番地４,other,care,2015-10-05,false,,,,,0770-47-6664,,,国税庁 法人番号公表サイト,2018-10-09
6210002011191,有限会社あそしえ,アソシエ,福井県,敦賀市,福井県敦賀市舞崎町２丁目２３番２３号,other,care,2015-10-05,false,,,,,0770-25-3081,,,国税庁 法人番号公表サイト,2024-08-28
1210002010207,有限会社カクノ,カクノ,福井県,敦賀市,福井県敦賀市中央町１丁目９番４号,other,care,2015-10-05,false,,,,,0770-22-0078,,,国税庁 法人番号公表サイト,2021-02-15
4210001011194,株式会社ディープ,ディープ,福井県,敦賀市,福井県敦賀市新松島町１番２６号,other,care,2015-10-05,false,,,,http://deep.co.jp,0770-37-1161,info@deep.co.jp,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1210001011214,株式会社こばやし,コバヤシ,福井県,敦賀市,福井県敦賀市ひばりケ丘町１０９０番地,other,care,2015-10-05,false,,,,https://care-koba.com/station/,0770-23-1677,info@care-koba.com,https://care-koba.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7210002011224,有限会社ルーエ,ルーエ,福井県,敦賀市,福井県敦賀市栄新町７番２５号,other,care,2015-10-05,false,,,,,0770-36-4981,,,国税庁 法人番号公表サイト,2018-04-09
6210005009852,特定非営利活動法人しあわせ会ゆう,シアワセカイユウ,福井県,小浜市,福井県小浜市相生第１０号１５番地,other,care,2019-11-27,false,,,,,0770580151,,,国税庁 法人番号公表サイト,2019-12-02
4210001014206,株式会社オアシス,オアシス,福井県,小浜市,福井県小浜市雲浜１丁目８番８号,other,care,2015-10-05,false,,,,http://homeoasis.jp/,0770-53-5500,,http://homeoasis.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6210005008895,特定非営利活動法人おたっしゃ会,オタッシャカイ,福井県,小浜市,福井県小浜市国分第４４号９番地,other,care,2015-10-05,false,,,,,0770-59-1390,,,国税庁 法人番号公表サイト,2024-09-27
9210002014290,有限会社おおきど,オオキド,福井県,小浜市,福井県小浜市大手町８番３３号,other,care,2015-10-05,false,,,,http://www.ayumi-ote.com,0770-53-5070,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
