# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1210001000175,株式会社上田五兵衛商店,ウエダゴヘイショウテン,福井県,福井市,福井県福井市問屋町１丁目４番地,retail,retail,1972-01-11,false,,,代表取締役　上田　哲平,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000357,安立計器北陸販売株式会社,,福井県,福井市,福井県福井市西木田２丁目１０番５号,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-29
1210001000373,栄月商事株式会社,エイゲツショウジ,福井県,福井市,福井県福井市大手２丁目１１番１２号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-11
1210001000514,株式会社五十嵐商店,イガラシショウテン,福井県,福井市,福井県福井市成和１丁目１２３６番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-14
1210001000662,大森商事株式会社,,福井県,福井市,福井県福井市大森町６４字松木谷１番地の１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-12
1210001000794,株式会社岡本吉之亟商店,オカモトキチノジョウショウテン,福井県,福井市,福井県福井市照手町４丁目２３０８番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001000811,オックス商事株式会社,,福井県,福井市,福井県福井市飯塚町第３０号２６番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210001000836,オルト商事株式会社,オルトショウジ,福井県,福井市,福井県福井市文京２丁目３番５号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-23
1210001000910,片山商事株式会社,カタヤマショウジ,福井県,福井市,福井県福井市西木田１丁目１０番５号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-07
1210001000992,株式会社貴南商事,キナンショウジ,福井県,福井市,福井県福井市日光１丁目１６番１号,retail,wholesale,2026-02-26,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-26
1210001001000,株式会社木村商事,キムラショウジ,福井県,福井市,福井県福井市大手２丁目３番２１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-05
1210001001149,京福商事株式会社,ケイフクショウジ,福井県,福井市,福井県福井市日之出３丁目９番３号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-13
1210001001248,株式会社小大黒屋商店,コダイコクヤショウテン,福井県,福井市,福井県福井市順化２丁目１５番９号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1210001001297,小松ウォール福井販売株式会社,コマツウォールフクイハンバイ,福井県,福井市,福井県福井市大宮１丁目１１番２０号,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-03
1210001001487,三和商事株式会社,,福井県,福井市,福井県福井市西谷１丁目１６０９番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1210001001594,昭栄商事株式会社,ショウエイショウジ,福井県,福井市,福井県福井市成和１丁目１５０３番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-20
1210001001669,株式会社清水勉商店,シミズツトムショウテン,福井県,福井市,福井県福井市二の宮４丁目１７番１７号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-16
