# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4290005002653,福岡市農業協同組合,フクオカシ,福岡県,福岡市中央区,福岡県福岡市中央区天神４丁目９番１号,agriculture,care|agriculture,2015-10-05,false,423,,,http://www.ja-fukuoka.or.jp/,092-883-6633,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3290005009831,福岡久留米農業協同組合,フクオカクルメ,福岡県,久留米市,福岡県久留米市篠原町４番地の７,agriculture,care|agriculture,2015-10-05,false,,,,http://www.ja-kurume.or.jp/,0942-46-9250,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4290005011233,柳川農業協同組合,ヤナガワ,福岡県,柳川市,福岡県柳川市上宮永町４２５番地１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.yanagawa-fk-ja.or.jp.,0944-73-6312,,http://www.yanagawa-fk-ja.or.jp./inquery,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8290005005017,糸島農業協同組合,イトシマ,福岡県,糸島市,福岡県糸島市前原東２丁目７番１号,agriculture,care|agriculture,2015-10-05,false,,,,https://ja-itoshima.or.jp,092－322－2761,,https://ja-itoshima.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6290005008789,福岡八女農業協同組合,フクオカヤメ,福岡県,八女市,福岡県八女市本村４２０番地の１,agriculture,care|agriculture,2015-10-05,false,850,,,http://www.jafyyame.or.jp/,0943-23-1161,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6290005006644,筑紫農業協同組合,チクシ,福岡県,筑紫野市,福岡県筑紫野市杉塚３丁目３番１０号,agriculture,care|agriculture,2015-10-05,false,486,,,http://www.ｊａ-chkushi.or.jp/,092-924-1334,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6290005007205,筑前あさくら農業協同組合,チクゼンアサクラ,福岡県,朝倉市,福岡県朝倉市甘木２２１番地の１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.asakura-fk-ja.or.jp,0946-21-8255,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3290005011234,南筑後農業協同組合,ミナミチクゴ,福岡県,みやま市,福岡県みやま市瀬高町下庄７７４番地の１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.minamickg-fk-ja.or.jp/,0944-64-5532,,,国税庁 法人番号公表サイト,2026-04-23
1290001003872,広松久水産株式会社,ヒロマツキュウスイサン,福岡県,福岡市東区,福岡県福岡市東区松田３丁目１２番８号,agriculture,agriculture,2015-10-05,false,120,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001007436,株式会社コウトク水産,コウトクスイサン,福岡県,福岡市中央区,福岡県福岡市中央区長浜３丁目１１番３－７０４号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
1290001015249,株式会社ビファーム,,福岡県,福岡市博多区,福岡県福岡市博多区奈良屋町２番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290001031543,株式会社平成水産,ヘイセイスイサン,福岡県,福岡市南区,福岡県福岡市南区警弥郷１丁目１９番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-16
1290001033399,さくらファーム株式会社,サクラファーム,福岡県,糸島市,福岡県糸島市志摩桜井５９６６番地の３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-10
1290001034810,株式会社安部水産,アベスイサン,福岡県,福岡市中央区,福岡県福岡市中央区長浜３丁目１１番３－７１１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-10
1290001043885,株式会社健康農園,,福岡県,福岡市中央区,福岡県福岡市中央区天神３丁目７番３１－４０２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-24
1290001044537,株式会社朝倉農園,アサクラノウエン,福岡県,朝倉市,福岡県朝倉市宮野１４０７番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001044792,株式会社ふくます水産,フクマススイサン,福岡県,福岡市中央区,福岡県福岡市中央区長浜３丁目１４番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-31
1290001046748,豊漁丸水産株式会社,ホウリョウマルスイサン,福岡県,糸島市,福岡県糸島市志摩船越１０３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-04
1290001048174,株式会社夢ファーム,,福岡県,柳川市,福岡県柳川市三橋町久末２９１－１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290001050659,内山林業株式会社,ウチヤマリンギョウ,福岡県,久留米市,福岡県久留米市田主丸町地徳３５５９番地７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-04
1290001051252,新栄ファーム株式会社,シンエイファーム,福岡県,久留米市,福岡県久留米市三潴町西牟田６４２１番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001053876,清水産業株式会社,シミズサンギョウ,福岡県,大牟田市,福岡県大牟田市船津町１丁目２番９号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-08
1290001060113,はるさん農園株式会社,ハルサンノウエン,福岡県,福岡市西区,福岡県福岡市西区元浜３丁目４番１６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001062506,株式会社高手牧場,タカテボクジョウ,福岡県,嘉穂郡桂川町,福岡県嘉穂郡桂川町大字土師４３４４番地１２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-02
1290001065310,株式会社ニューグリーンファームランド久冨,ニューグリーンファームランドヒサドミ,福岡県,久留米市,福岡県久留米市北野町大城７８１番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001066969,末金林業株式会社,スエカネリンギョウ,福岡県,福岡市南区,福岡県福岡市南区寺塚１丁目２９番２０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-08
1290001067273,株式会社糸島オーガニックファーム,イトシマオーガニックファーム,福岡県,糸島市,福岡県糸島市東５５番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001067595,永利農園株式会社,,福岡県,小郡市,福岡県小郡市上西鯵坂３９番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001067645,おかもと水産株式会社,,福岡県,福岡市博多区,福岡県福岡市博多区中洲２丁目１番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290001069575,まぁちゃんファーム株式会社,マァチャンファーム,福岡県,小郡市,福岡県小郡市井上５４９番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001069609,株式会社大蔵水産,オオクラスイサン,福岡県,福岡市東区,福岡県福岡市東区青葉７丁目６１番２号ザ・ビック土井店内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-27
1290001073511,株式会社コープファーム,コープファーム,福岡県,糟屋郡篠栗町,福岡県糟屋郡篠栗町中央１丁目８番１号,agriculture,agriculture,2016-04-08,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-14
1290001074567,アズマックスファーム株式会社,アズマックスファーム,福岡県,八女市,福岡県八女市吉田１６３９番地５,agriculture,agriculture,2016-07-12,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001074757,株式会社岩助ファーム,イワスケファーム,福岡県,朝倉市,福岡県朝倉市堤１７２９番地３,agriculture,agriculture,2016-08-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-26
1290001075508,株式会社愛菜華田中ファーム,,福岡県,みやま市,福岡県みやま市瀬高町高柳８７０番地１,agriculture,agriculture,2016-10-18,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001077108,株式会社梅本林業,ウメモトリンギョウ,福岡県,宗像市,福岡県宗像市東郷２丁目１番４３号櫻井ビル１０３号,agriculture,agriculture,2017-03-16,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001083725,株式会社コスモファーム野口,コスモファームノグチ,福岡県,久留米市,福岡県久留米市田主丸町鷹取６９７番地５,agriculture,agriculture,2018-12-25,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001097386,株式会社空ファーム,ソラファーム,福岡県,筑紫野市,福岡県筑紫野市上古賀４丁目１６番７号,agriculture,agriculture,2022-05-02,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001098384,植木林業株式会社,ウエキリンギョウ,福岡県,柳川市,福岡県柳川市西浜武１００７番地,agriculture,agriculture,2022-07-28,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-28
1290001099804,株式会社みのうファーム,ミノウファーム,福岡県,久留米市,福岡県久留米市小頭町１２番地１ニュー大和ビル２０１,agriculture,agriculture,2022-12-07,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-07
1290001102765,筑邦トゥルーバファーム株式会社,チクホウトゥルーバファーム,福岡県,久留米市,福岡県久留米市山川安居野３丁目９番１号,agriculture,agriculture,2023-08-24,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-26
1290001105487,株式会社ヴェルデファーム,ヴェルデファーム,福岡県,古賀市,福岡県古賀市花見南２丁目１０番２８号,agriculture,agriculture,2024-04-24,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-24
1290001109637,株式会社みのり農園,ミノリノウエン,福岡県,みやま市,福岡県みやま市高田町田尻１３番地１,agriculture,agriculture,2025-04-10,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-10
1290001110289,株式会社益田屋農園,マスダヤノウエン,福岡県,柳川市,福岡県柳川市中町１５番地３,agriculture,agriculture,2025-06-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-09
1290002001405,有限会社伊藤水産,イトウスイサン,福岡県,福岡市南区,福岡県福岡市南区花畑２丁目４７番２４－５０１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-10
1290002001768,有限会社和永水産,カズナガスイサン,福岡県,糟屋郡志免町,福岡県糟屋郡志免町桜丘２丁目１８番６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-26
1290002002171,有限会社三海水産,サンカイスイサン,福岡県,福岡市南区,福岡県福岡市南区桧原７丁目５８番２８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-06
1290002009670,有限会社岩崎水産,,福岡県,福岡市中央区,福岡県福岡市中央区港１丁目３－１７チユリス福岡１階,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290002009919,有限会社えびす水産,エビススイサン,福岡県,福岡市中央区,福岡県福岡市中央区長浜３丁目１１番３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
