# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1120002080746,有限会社ウェルス製薬,ウェルスセイヤク,福岡県,遠賀郡水巻町,福岡県遠賀郡水巻町立屋敷１丁目６番７号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-25
1290001000003,一品香食品株式会社,イーピンシャンショクヒン,福岡県,糟屋郡久山町,福岡県糟屋郡久山町大字久原字野添３７７６番地の１４,manufacturing,food-maker,2015-10-05,false,157,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001001281,サンケイ化学薬品株式会社,サンケイカガクヤクヒン,福岡県,福岡市南区,福岡県福岡市南区大楠２丁目６番２４号,manufacturing,,1955-02-23,false,,,代表取締役　平野　泰彦,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001001513,株式会社正興金属,セイコウキンゾク,福岡県,福岡市南区,福岡県福岡市南区曰佐５丁目６番１２号,manufacturing,manufacturing,1986-04-11,false,,,代表取締役　丹野　道行,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001002957,株式会社キハラネオン製作所,キハラネオンセイサクショ,福岡県,福岡市東区,福岡県福岡市東区松島３丁目１７番６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-19
1290001006149,株式会社アミー製薬,,福岡県,福岡市中央区,福岡県福岡市中央区大宮２丁目１番１号Ｖビル５０３,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-21
1290001007650,株式会社サン化学研究所,,福岡県,福岡市中央区,福岡県福岡市中央区大手門２丁目５番１０号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-24
1290001011173,株式会社アサヒ電機製作所,アサヒデンキセイサクショ,福岡県,大野城市,福岡県大野城市大城４丁目３番２２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-29
1290001012320,河村金属産業株式会社,,福岡県,福岡市博多区,福岡県福岡市博多区東那珂２丁目２２番５号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1290001013343,株式会社坂本電機製作所,サカモトデンキセイサクショ,福岡県,福岡市東区,福岡県福岡市東区和白３丁目２７番５５号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001013731,昭和金属株式会社,,福岡県,福岡市博多区,福岡県福岡市博多区空港前１丁目１番９号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290001014886,東邦試錐機製造株式会社,,福岡県,福岡市博多区,福岡県福岡市博多区西月隈５丁目１９番５３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-06
1290001017088,株式会社森山製作所,モリヤマセイサクショ,福岡県,福岡市博多区,福岡県福岡市博多区豊２丁目２番６６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-02
1290001019506,株式会社松永製作所,マツナガセイサクショ,福岡県,福岡市東区,福岡県福岡市東区箱崎ふ頭２丁目２番６１号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-27
1290001019919,板谷食品計画株式会社,イタヤショクヒンケイカク,福岡県,福岡市早良区,福岡県福岡市早良区次郎丸２丁目２２番１９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-29
1290001020521,ヴイックラー・バイオ製薬株式会社,,福岡県,福岡市博多区,福岡県福岡市博多区祇園町１番４０号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1290001022674,株式会社アーバン製薬,,福岡県,福岡市博多区,福岡県福岡市博多区博多駅東２丁目２番２号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
