# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3290802014744,有限会社テンダー商事,テンダーショウジ,福岡県,北九州市八幡西区,福岡県北九州市八幡西区金剛１丁目１６番２５号,retail,care|wholesale,2015-10-05,false,,,,,093-618-5666,,,国税庁 法人番号公表サイト,2020-09-16
8290002027939,有限会社大島商事,オオシマショウジ,福岡県,北九州市八幡西区,福岡県北九州市八幡西区楠橋東２丁目７番１０号,retail,care|wholesale,2015-10-05,false,,,,,093-981-1155,,,国税庁 法人番号公表サイト,2022-11-14
2290003005602,グリーンソリューション商事合同会社,グリーンソリューションショウジ,福岡県,福岡市西区,福岡県福岡市西区福重５丁目２０－１３－２０６,retail,care|wholesale,2015-10-05,false,,,,,０９２－８８５－３３３８,,,国税庁 法人番号公表サイト,2024-04-23
6290002045728,有限会社筑豊メディカル商事,チクホウメディカルショウジ,福岡県,飯塚市,福岡県飯塚市下三緒字八本松３５番地の６６４,retail,care|wholesale,2015-10-05,false,,,,,0948-23-9028,,,国税庁 法人番号公表サイト,2019-09-17
9290001094500,株式会社藤井商店,フジイショウテン,福岡県,八女郡広川町,福岡県八女郡広川町大字川上１０３番地７,retail,care|retail,2021-09-08,false,,,,,0943-55-1312,,,国税庁 法人番号公表サイト,2021-09-08
1290001040874,株式会社タキ商事,タキショウジ,福岡県,筑紫野市,福岡県筑紫野市塔原東３丁目１０番３号,retail,care|wholesale,2015-10-05,false,,,,,092-925-6362,,,国税庁 法人番号公表サイト,2018-08-01
6290001053624,石橋物産株式会社,イシバシブッサン,福岡県,みやま市,福岡県みやま市高田町濃施４４２番地,retail,care|wholesale,2015-10-05,false,25,,,www.nozoenomori.jp,0944-64-8050,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6290002002183,有限会社山幸物産,,福岡県,福岡市南区,福岡県福岡市南区大池１丁目１８番２３号,retail,care|wholesale,2015-10-05,false,,,,http://www.hidamari-home.com/,092-937-5272,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2290801016940,株式会社誠商事,マコトショウジ,福岡県,田川郡大任町,福岡県田川郡大任町大字大行事４００１番地,retail,care|wholesale,2015-10-05,false,,,,,0947-63-4604,,,国税庁 法人番号公表サイト,2024-01-16
9290801014764,株式会社西和商事,セイワショウジ,福岡県,直方市,福岡県直方市津田町９番３８号,retail,care|wholesale,2015-10-05,false,,,,,0949-34-7727,,,国税庁 法人番号公表サイト,2021-10-19
1290001067232,株式会社スマート・グロース,スマートグロース,福岡県,福岡市早良区,福岡県福岡市早良区百道３丁目１０番３０－４１３号,retail,care,2015-10-05,false,,,,https://hksg.jp/,092-213-5449,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9290802007825,有限会社ティー・エム商事,ティーエムショウジ,福岡県,北九州市小倉北区,福岡県北九州市小倉北区足立１丁目５番３号,retail,care|wholesale,2015-10-05,false,,,,,093-618-0111,,,国税庁 法人番号公表サイト,2025-12-22
8290803004590,合同会社ヤマグチ商店,ヤマグチショウテン,福岡県,遠賀郡遠賀町,福岡県遠賀郡遠賀町大字上別府７３４－１,retail,care|retail,2024-01-17,false,,,,https://www.instagram.com/oideyo_day/,093-221-1007,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8290001014194,セピア商事株式会社,セピアショウジ,福岡県,福岡市博多区,福岡県福岡市博多区東那珂２丁目１１番３０号,retail,care|wholesale,2015-10-05,false,,,,,0942-42-1117,,,国税庁 法人番号公表サイト,2024-04-23
7290001013387,サンシン商事株式会社,サンシンショウジ,福岡県,福岡市博多区,福岡県福岡市博多区大博町３番３０号,retail,care|wholesale,2015-10-05,false,,,,,092-291-3440,,,国税庁 法人番号公表サイト,2019-04-11
6290002041487,アルク九州販売有限会社,アルクキュウシュウハンバイ,福岡県,大野城市,福岡県大野城市瓦田４丁目６番１号,retail,care,2015-10-05,false,,,,http://www.aluku-web.com/,0925886530,,,国税庁 法人番号公表サイト,2019-05-07
7290802016984,有限会社ユーコ商事,,福岡県,遠賀郡遠賀町,福岡県遠賀郡遠賀町大字木守１１８８番地,retail,care|wholesale,2015-10-05,false,,,,,093-293-7303,,,国税庁 法人番号公表サイト,2015-11-27
7290002005631,羽衣永野商事有限会社,,福岡県,福岡市東区,福岡県福岡市東区高美台３丁目１９番２号,retail,care|wholesale,2015-10-05,false,,,,,092-607-3261,,,国税庁 法人番号公表サイト,2015-11-27
