# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1011801016372,株式会社第一技研総合コンサルティング,,福島県,福島市,福島県福島市陣場町９番３９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001001041,株式会社東友東亜技術コンサルタント,トウユウトウアギジュツコンサルタント,福島県,福島市,福島県福島市曽根田町７番３１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1380001003764,株式会社今井会計事務所,イマイカイケイジムショ,福島県,福島市,福島県福島市八木田字神明６番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-08
1380001006148,日本技術設計コンサルタント株式会社,ニホンギジュツセッケイコンサルタント,福島県,郡山市,福島県郡山市安積町笹川字荒池渕１番地４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1380001006156,株式会社日本地盤コンサルタント,,福島県,郡山市,福島県郡山市富田町字向舘４２番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-17
1380001009836,株式会社本宮会計センター,モトミヤカイケイセンター,福島県,本宮市,福島県本宮市本宮字小原田２００番地２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-21
1380001010100,株式会社イー・エヌ総研,,福島県,西白河郡西郷村,福島県西白河郡西郷村字前山西５０番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1380001011081,古賀スティール・パートナーズ株式会社,コガスティールパートナーズ,福島県,白河市,福島県白河市白坂松峯１７番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-27
1380001012162,株式会社アーク会計,アークカイケイ,福島県,いわき市,福島県いわき市内郷小島町字花輪１６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-18
1380001012278,株式会社いわきコンサルタント,イワキコンサルタント,福島県,いわき市,福島県いわき市好間町下好間字渋井６１番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-24
