# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6380002033723,有限会社Ｇ．Ｆ．Ｍ支援プロジェクト,ジーエフエムシエンプロジェクト,福島県,会津若松市,福島県会津若松市橋本１丁目１番２２号,logistics,care|logistics,2015-10-05,false,30,,,http://care-net.biz/07/nemunoki/index.php,0242－22－6506,,javascript:void(0),国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1060002026689,大徳運送有限会社,ダイトクウンソウ,福島県,喜多方市,福島県喜多方市字西町２８４０番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-18
1380001000373,北日本運輸株式会社,,福島県,福島市,福島県福島市上鳥渡字中谷地６９番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
1380001002568,高玉配送株式会社,,福島県,伊達郡桑折町,福島県伊達郡桑折町字田植４番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-16
1380001003558,インターコネクトテクノロジーズ株式会社,インターコネクトテクノロジーズ,福島県,福島市,福島県福島市太田町２６番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-17
1380001004110,株式会社スペースプロジェクト,,福島県,福島市,福島県福島市野田町４丁目５番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-17
1380001004960,郡伸運輸株式会社,グンシンウンユ,福島県,郡山市,福島県郡山市安積町成田字畑形３０番地の６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1380001006404,船引運送株式会社,フネヒキウンソウ,福島県,郡山市,福島県郡山市田村町金屋字新家１１５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-29
1380001007947,大越運送株式会社,オオゴエウンソウ,福島県,田村市,福島県田村市大越町上大越字上川原１００番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-02
1380001008656,株式会社高橋運送,,福島県,田村郡三春町,福島県田村郡三春町大字下舞木字虫内８４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001009992,株式会社二本松三和運送,ニホンマツサンワウンソウ,福島県,二本松市,福島県二本松市向作田１８番地の４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-17
1380001010216,白河倉庫株式会社,シラカワソウコ,福島県,白河市,福島県白河市道場小路１２１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1380001010331,東邦運送株式会社,,福島県,白河市,福島県白河市横町７７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001010827,株式会社海老屋運送,エビヤウンソウ,福島県,東白川郡棚倉町,福島県東白川郡棚倉町大字棚倉字城跡８７番地５１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-07
1380001011321,株式会社北都運輸,ホクトウンユ,福島県,岩瀬郡鏡石町,福島県岩瀬郡鏡石町旭町８６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-11
1380001011511,丸藤運輸株式会社,,福島県,岩瀬郡鏡石町,福島県岩瀬郡鏡石町不時沼１０８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001011833,株式会社カイセイ物流,カイセイブツリュウ,福島県,須賀川市,福島県須賀川市和田字弥六内２５３番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-17
1380001011998,株式会社小沼運輸,オヌマウンユ,福島県,岩瀬郡天栄村,福島県岩瀬郡天栄村大字飯豊字大山６番地５７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-05
1380001012451,植田運送株式会社,ウエダウンソウ,福島県,いわき市,福島県いわき市東田町神山２７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-15
1380001012575,岡田陸運株式会社,オカダリクウン,福島県,いわき市,福島県いわき市小川町西小川字上居合１５３番地,logistics,logistics,2015-10-05,false,270,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1380001013193,株式会社全酪日配物流,ゼンラクニチハイブツリュウ,福島県,いわき市,福島県いわき市常磐西郷町銭田１０４番２３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-27
1380001013441,遠野運送株式会社,トオノウンソウ,福島県,いわき市,福島県いわき市遠野町根岸字石田４４番地の３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-04
1380001016048,中村貨物運送株式会社,ナカムラカモツウンソウ,福島県,相馬市,福島県相馬市塚ノ町２丁目３番地の９,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-11
1380001016592,天龍運送株式会社,テンリュウウンソウ,福島県,双葉郡浪江町,福島県双葉郡浪江町大字権現堂字塚越１２番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-04
1380001017038,株式会社泉物流,イズミブツリュウ,福島県,いわき市,福島県いわき市泉ケ丘２丁目５７番地の１２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-24
1380001020941,株式会社プロジェクトきぼう,,福島県,福島市,福島県福島市陣場町６番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001021444,株式会社テルプロジェクト,テルプロジェクト,福島県,郡山市,福島県郡山市台新２丁目２１番１２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-10
1380001021849,株式会社プロジェクトあさか,,福島県,郡山市,福島県郡山市安積町日出山字一本松１９２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1380001029264,株式会社恵豊ロジ,,福島県,郡山市,福島県郡山市田村町金屋字孫右エ門平９２番地,logistics,logistics,2018-07-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1380001029355,Ｍプロジェクト株式会社,エムプロジェクト,福島県,いわき市,福島県いわき市平字堂根町４番地１７いわき中央ビル５０２号室,logistics,logistics,2018-08-08,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-11
