# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3380001008134,株式会社ＰＣＬ,ピーシーエル,福島県,郡山市,福島県郡山市喜久田町卸３丁目２４番地,other,care,2015-10-05,false,,,,http://www.momotarousan.com/,023-665-0960,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380001001986,株式会社エアコレクト,エアコレクト,福島県,福島市,福島県福島市西中央５丁目２２番地の４,other,care,2015-10-05,false,,,,,024-572-7182,,,国税庁 法人番号公表サイト,2019-06-17
9380001028614,Ｂｅｅ工房株式会社,,福島県,福島市,福島県福島市飯野町明治字東喜平蔵内５２番地の３,other,care,2017-11-08,false,,,,http://hp.kaipoke.biz/hxx/,024-572-5525,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380005012030,一般社団法人こらぼ,コラボ,福島県,福島市,福島県福島市鳥谷野字舘４７番地の１,other,care,2018-05-09,false,,,,,024-502-5184,,,国税庁 法人番号公表サイト,2020-11-25
3380003005162,合同会社福福事務所,フクフクジムショ,福島県,福島市,福島県福島市天神町２番２８号,other,care,2022-04-21,false,,,,https://hukuhukuoffice.com/,024-572-3596,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4380005000499,きらり健康生活協同組合,キラリケンコウセイカツ,福島県,福島市,福島県福島市野田町１丁目１５番１２号,other,care,2015-10-05,false,370,,,https://www.kirari-hcoop.com/corporate/action-plan.html#sec02,024-555-2626,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9380002005364,有限会社きさらぎ,キサラギ,福島県,福島市,福島県福島市渡利字小舟５２番地の１,other,care,2015-10-05,false,,,,,024-526-4631,,,国税庁 法人番号公表サイト,2020-09-28
6380002000401,有限会社イタクラ,イタクラ,福島県,福島市,福島県福島市郷野目字東９番地の１,other,care,1995-05-19,false,,,代表取締役　高橋　真一,,024-573-0200,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7380001017040,株式会社スタイル・ハート,スタイルハート,福島県,福島市,福島県福島市宮町２番２０号,other,care,2015-10-05,false,,,,,024-573-7600,,,国税庁 法人番号公表サイト,2018-09-21
2380001000380,株式会社北福島タクシー,,福島県,福島市,福島県福島市南矢野目字桜内３６番地の１,other,care,2015-10-05,false,,,,http://www.kftaxi.com,024-557-2501,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8380001024630,株式会社ウィズ,ウィズ,福島県,福島市,福島県福島市松川町下川崎字佐久間前山１７番地６,other,care,2015-10-05,false,,,,,024-572-7817,,,国税庁 法人番号公表サイト,2019-09-18
5380005012270,一般社団法人ワンハート・ユニティー,ワンハートユニティー,福島県,福島市,福島県福島市桜木町１番６号,other,care,2020-03-06,false,29,,,https://one-heart-unity.webnode.jp/,024-563-1095,oneheartunity2020@gmail.com,https://one-heart-unity.webnode.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
