# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6410001010703,株式会社藤井工務店,フジイコウムテン,秋田県,仙北市,秋田県仙北市田沢湖梅沢字上谷地１５８番地,construction,care|construction,2015-10-05,false,16,,,https://keigo-group.co.jp/shop/akitaken/11591/,0187-42-8307,,https://keigo-group.co.jp/news/information/2023_8_media02/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
9410001005287,株式会社大日向建築,オオヒナタケンチク,秋田県,にかほ市,秋田県にかほ市三森字午ノ浜１００番地１,construction,care|construction,2015-10-05,false,,,,,0184-74-5654,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6410002010792,有限会社総合建設,,秋田県,山本郡三種町,秋田県山本郡三種町森岳字高田２１番地１,construction,care|construction,2015-10-05,false,,,,,０１８５－７４－５８０５,,,国税庁 法人番号公表サイト,2015-10-30
1410001000139,安養寺建設株式会社,アンヨウジケンセツ,秋田県,秋田市,秋田県秋田市土崎港北４丁目４番１１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-16
1410001000320,秋田送電工業株式会社,アキタソウデンコウギョウ,秋田県,秋田市,秋田県秋田市新屋松美ガ丘東町１番３４号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-02
1410001000469,秋田電話工業株式会社,アキタデンワコウギョウ,秋田県,秋田市,秋田県秋田市新屋鳥木町１番９８号,construction,,1962-03-22,false,,,代表取締役　國安　法伸,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001000634,株式会社石黒土木,,秋田県,秋田市,秋田県秋田市八橋大沼町１０番２１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-16
1410001000683,羽後電設工業株式会社,ウゴデンセツコウギョウ,秋田県,秋田市,秋田県秋田市八橋イサノ２丁目１５番２５号,construction,,1961-05-24,false,89,,代表取締役　七山　慎一,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001000709,株式会社英明工務店,エイメイコウムテン,秋田県,秋田市,秋田県秋田市新屋船場町６番５３号,construction,construction,1982-04-01,false,30,,代表取締役　伊藤　隆一,https://eimei-const.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001000758,エムケー設備株式会社,,秋田県,秋田市,秋田県秋田市中通６丁目７番１７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
