# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8410001005412,株式会社ぽぽろコンサルティング,ポポロコンサルティング,秋田県,由利本荘市,秋田県由利本荘市薬師堂字中道２６９番地４あすみハイツ１０２,consulting,care|pro-services,2015-10-05,false,,,,,0184-74-5244,,,国税庁 法人番号公表サイト,2022-06-17
1410001000304,株式会社秋田総合会計センター,アキタソウゴウカイケイセンター,秋田県,秋田市,秋田県秋田市桜ガ丘２丁目４番２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-25
1410001000691,株式会社ウヌマ地域総研,ウヌマチイキソウケン,秋田県,秋田市,秋田県秋田市八橋新川向１３番１９号,consulting,pro-services,1976-04-02,false,49,,代表取締役　鵜沼　順之,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001001566,株式会社第一補償コンサルタント,ダイイチホショウコンサルタント,秋田県,秋田市,秋田県秋田市山王中園町１１番３８号,consulting,pro-services,2015-10-05,false,8,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001007968,株式会社三光技術コンサルタント,サンコウギジュツコンサルタント,秋田県,大仙市,秋田県大仙市大曲田町２４番１０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-17
1410001014048,株式会社ペアコンサルティング,ペアコンサルティング,秋田県,秋田市,秋田県秋田市保戸野原の町７番６８号,consulting,pro-services,2025-01-30,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1410002004221,有限会社沓澤会計事務所,クツザワカイケイジムショ,秋田県,秋田市,秋田県秋田市楢山南中町６番４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-16
1410002004444,平澤コンサルタント有限会社,,秋田県,秋田市,秋田県秋田市八橋三和町１番１８号コーラルビル,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1410002011440,有限会社三栄コンサルタンツ,サンエイコンサルタンツ,秋田県,大仙市,秋田県大仙市大曲大町８番１１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-06
1410003000129,加藤会計サポート株式会社,カトウカイケイサポート,秋田県,秋田市,秋田県秋田市大住３丁目３番５１号２階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-25
1410003002785,株式会社ＭＵＧＥＮコンサルティング,ムゲンコンサルティング,秋田県,秋田市,秋田県秋田市南通亀の町４番１５号ヤマキウビル,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-06
1410003003321,合同会社Ｓ．Ｔコンサルティング,エスティーコンサルティング,秋田県,秋田市,秋田県秋田市旭川南町９番２８号,consulting,pro-services,2019-12-18,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-30
1410003004179,合同会社キャリアグロースパートナーズ,キャリアグロースパートナーズ,秋田県,秋田市,秋田県秋田市中通７丁目２番１号秋田駅ビルＡＬＳ地下１階ＬｉＳＨ，ＡＫＩＴＡ,consulting,beauty|hr|pro-services,2025-11-12,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-15
1410005001232,税理士法人福士合同会計事務所,フクシゴウドウカイケイジムショ,秋田県,秋田市,秋田県秋田市高陽幸町８番４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410005001265,税理士法人秋田税経プランニング,アキタゼイケイプランニング,秋田県,秋田市,秋田県秋田市南通亀の町４番９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410005004061,アーセプト税理士法人,アーセプト,秋田県,秋田市,秋田県秋田市山王新町１９番４１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-20
1410005005720,税理士法人ＲＩＮＧＳ,リングス,秋田県,秋田市,秋田県秋田市御所野堤台１丁目６番８５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410005006314,税理士法人ライゼル,ライゼル,秋田県,大仙市,秋田県大仙市富士見町８番１４号,consulting,pro-services,2020-06-08,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150071587,東北税理士会秋田南支部,トウホクゼイリシカイアキタミナミシブ,秋田県,秋田市,秋田県秋田市千秋明徳町４番５６号,consulting,pro-services,2016-03-01,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-30
2410001001532,株式会社創研コンサルタント,ソウケンコンサルタント,秋田県,秋田市,秋田県秋田市山王１丁目９番２２号,consulting,pro-services,2015-10-05,false,37,,,https://www.sohken-c.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2410001002951,株式会社北総コンサルタント,ホクソウコンサルタント,秋田県,秋田市,秋田県秋田市山王５丁目１２番２９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-23
2410001008255,株式会社佐々木技術コンサルタント,ササキギジュツコンサルタント,秋田県,大仙市,秋田県大仙市清水字野口田中２０１番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-03
2410001008370,株式会社Ａ・パートナーズ,エーパートナーズ,秋田県,大仙市,秋田県大仙市神宮寺字八石７２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-24
2410002000129,有限会社阿久津会計事務所,,秋田県,秋田市,秋田県秋田市川元山下町８番１５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410002000327,有限会社秋田コンサルタントセンター,アキタコンサルタントセンター,秋田県,秋田市,秋田県秋田市千秋久保田町５番２９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-24
2410002001564,長谷部総研有限会社,,秋田県,秋田市,秋田県秋田市桜ガ丘２丁目７番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410002006745,有限会社創造設計コンサルタント,ソウゾウセッケイコンサルタント,秋田県,由利本荘市,秋田県由利本荘市森子字明法６０番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-05
2410003001200,合資会社財務会計阿部事務所,,秋田県,湯沢市,秋田県湯沢市佐竹町６番６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410003001217,合同会社高橋会計,,秋田県,雄勝郡羽後町,秋田県雄勝郡羽後町大久保字柏原１０１番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410003002594,株式会社会計センタータカヤマ,カイケイセンタータカヤマ,秋田県,横手市,秋田県横手市赤坂字荒沼２９番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-11
2410005000324,一般社団法人秋田県県土整備コンサルタンツ協会,アキタケンケンドセイビコンサルタンツキョウカイ,秋田県,秋田市,秋田県秋田市山王６丁目１番１３号,consulting,pro-services|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-07
2410005001314,弁護士法人廣嶋法律事務所,,秋田県,秋田市,秋田県秋田市山王７丁目７番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410005001520,税理士法人秋央,シュウオウ,秋田県,秋田市,秋田県秋田市千秋久保田町５番２９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2410005005389,弁護士法人北斗法律事務所,,秋田県,秋田市,秋田県秋田市山王中園町５番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
2410005006131,税理士法人ＭＩＲＡＩ,ミライ,秋田県,秋田市,秋田県秋田市土崎港南２丁目３番６４号,consulting,pro-services,2018-04-11,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2410005006437,税理士法人佐藤・進藤,サトウシンドウ,秋田県,秋田市,秋田県秋田市外旭川字八幡田１２２番１号第２キャニオンビル２階Ｅ号,consulting,pro-services,2021-11-08,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-23
2700150071594,東北税理士会湯沢支部,トウホクゼイリシカイユザワシブ,秋田県,雄勝郡羽後町,秋田県雄勝郡羽後町大久保字柏原１０１番地１,consulting,pro-services,2016-03-01,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-12
3240001050793,地方創生ファンド＆コンサルティング株式会社,チホウソウセイファンドアンドコンサルティング,秋田県,秋田市,秋田県秋田市東通６丁目１０番１１号ピュアハウスＫ１Ａ号室,consulting,pro-services,2017-03-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-24
3410001001845,株式会社東洋コンサルタント・グループ,トウヨウコンサルタントグループ,秋田県,秋田市,秋田県秋田市中通３丁目４番５０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-12
3410001003180,アーセプトコンサルティング株式会社,アーセプトコンサルティング,秋田県,秋田市,秋田県秋田市山王新町１９番４１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3410001009517,福ノ杜コンサルティング株式会社,フクノモリコンサルティング,秋田県,大館市,秋田県大館市柄沢字狐台２番地７２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-24
3410001010400,株式会社フジ会計センター,フジカイケイセンター,秋田県,大仙市,秋田県大仙市富士見町６番１２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-19
3410001010895,株式会社あきぎんリサーチ＆コンサルティング,アキギンリサーチアンドコンサルティング,秋田県,秋田市,秋田県秋田市山王３丁目２番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3410001012124,ＥＲコンサルティング株式会社,イーアールコンサルティング,秋田県,潟上市,秋田県潟上市飯田川和田妹川字出張１７番３,consulting,pro-services,2019-03-20,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-26
3410001012371,株式会社河辺おがた会計,カワベオガタカイケイ,秋田県,秋田市,秋田県秋田市河辺畑谷字中村１番地１,consulting,pro-services,2020-01-09,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-14
3410001012792,株式会社長谷川会計コンサルティング,ハセガワカイケイコンサルティング,秋田県,秋田市,秋田県秋田市山王７丁目５番３４号プレゾン２０２０,consulting,pro-services,2021-04-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-10
3410002000012,有限会社マルマン総研,,秋田県,秋田市,秋田県秋田市新屋田尻沢中町１５番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
3410002000292,有限会社あきら会計シェアリング,アキラカイケイシェアリング,秋田県,秋田市,秋田県秋田市中通６丁目１番５５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-07
3410002003725,盛岡会計センター有限会社,,秋田県,秋田市,秋田県秋田市泉中央１丁目２番１５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
3410002008245,有限会社あべ総研,,秋田県,大館市,秋田県大館市字向町２９番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
