# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4410001001002,清三屋商事株式会社,キヨミヤショウジ,秋田県,秋田市,秋田県秋田市八橋新川向１２番９号,retail,care|wholesale,2015-10-05,false,89,,,http://www.kiyomiya-shouzi.com,0185-74-6145,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4410002000234,有限会社有明商店,,秋田県,秋田市,秋田県秋田市中通４丁目１６－２０,retail,care|retail,2015-10-05,false,8,,,,018-833-4029,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010603008017,合同会社渡浩商店,ワタコウショウテン,秋田県,南秋田郡八郎潟町,秋田県南秋田郡八郎潟町夜叉袋字一向堂２５番地２,retail,retail,2019-10-11,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-06
1410001000411,秋田東北商事株式会社,アキタトウホクショウジ,秋田県,秋田市,秋田県秋田市卸町４丁目８番９号,retail,wholesale,1956-04-24,false,,,代表取締役　工藤　大吾,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001000551,秋田名産販売株式会社,,秋田県,秋田市,秋田県秋田市新屋松美ガ丘南町１９番１２号,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1410001000849,拡大商事株式会社,,秋田県,秋田市,秋田県秋田市泉菅野１丁目２０番２３号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1410001000898,株式会社金森商店,カナモリショウテン,秋田県,秋田市,秋田県秋田市千秋矢留町１１番１６号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-30
1410001001203,三共販売株式会社,サンキョウハンバイ,秋田県,秋田市,秋田県秋田市河辺北野田高屋字榊表１８番１１,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-21
1410001001252,三傳商事株式会社,サンデンショウジ,秋田県,秋田市,秋田県秋田市新屋鳥木町１番８１号,retail,wholesale,1934-12-05,false,,,代表取締役　山本　匡紀,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001001293,三和商事株式会社,サンワショウジ,秋田県,秋田市,秋田県秋田市東通２丁目１４番１２号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-07
1410001001302,三和塗料販売株式会社,,秋田県,秋田市,秋田県秋田市川尻町字大川反１７０番地の４０,retail,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1410001001533,株式会社相互物産,ソウゴブッサン,秋田県,秋田市,秋田県秋田市保戸野中町２番１５号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-17
1410001002424,株式会社丸金商店,マルキンショウテン,秋田県,秋田市,秋田県秋田市中通２丁目１番４８号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-14
1410001002432,丸島商事株式会社,マルシマショウジ,秋田県,秋田市,秋田県秋田市中通４丁目１２番１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-17
1410001002457,株式会社マルヨ吉田商店,マルヨヨシダショウテン,秋田県,秋田市,秋田県秋田市土崎港中央２丁目６番３４号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-20
1410001003133,株式会社秋田中央商事,アキタチュウオウショウジ,秋田県,秋田市,秋田県秋田市山王２丁目１０番１号,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-10
1410001003513,丸拓商事株式会社,マルタクショウジ,秋田県,潟上市,秋田県潟上市天王字江川１１番地１,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-16
1410001003661,株式会社大門商店,ダイモンショウテン,秋田県,秋田市,秋田県秋田市外旭川八柳３丁目１６番１１号,retail,retail,2015-10-05,false,60,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001003991,株式会社高橋商事,タカハシショウジ,秋田県,潟上市,秋田県潟上市飯田川飯塚字妙見９番,retail,wholesale,2008-02-07,false,94,,代表取締役　高橋　セン,http://www.takahashi-shoji.com,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1410001004049,かもめ商事株式会社,,秋田県,男鹿市,秋田県男鹿市船越字寺後５番地４,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-11-09
1410001004073,株式会社渋谷商店,シブヤショウテン,秋田県,男鹿市,秋田県男鹿市船川港船川字元浜町２２８番地の１,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-02
1410001004081,鈴木金七商店株式会社,スズキキンシチショウテン,秋田県,男鹿市,秋田県男鹿市船越字寺後４番地の１０,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-27
1410001004362,株式会社いさみや商店,,秋田県,秋田市,秋田県秋田市御野場４丁目５番１号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-03-14
1410001004791,株式会社長谷川武助商店,ハセガワブスケショウテン,秋田県,由利本荘市,秋田県由利本荘市中町３８番地の１,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-25
1410001004833,株式会社三尺堂商店,サンジャクドウショウテン,秋田県,由利本荘市,秋田県由利本荘市肴町１１番地,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-11
1410001004965,株式会社西目町卸流通センター,ニシメマチオロシリュウツウセンター,秋田県,由利本荘市,秋田県由利本荘市西目町出戸字孫七山３番地の２,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-20
1410001005567,株式会社皆常商店,ミナツネショウテン,秋田県,湯沢市,秋田県湯沢市表町２丁目５番２３号,retail,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-07
1410001006037,戸田機械商事株式会社,トダキカイショウジ,秋田県,大館市,秋田県大館市餌釣字前田４５番地,retail,manufacturing|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-17
1410001006094,北秋商事株式会社,ホクシュウショウジ,秋田県,大館市,秋田県大館市字板子石境９６番地,retail,wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-09
