# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7070005000924,前橋市農業協同組合,マエバシシ,群馬県,前橋市,群馬県前橋市富田町２４００番地の１,agriculture,care|agriculture,2015-10-05,false,664,,,http://www.jagunma.net/maebashi/,027-226-5933,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7070005002490,はぐくみ農業協同組合,ハグクミ,群馬県,高崎市,群馬県高崎市菊地町５５６番地１,agriculture,care|agriculture,2015-10-05,false,,,,,０２７－３５０－３３５５,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5070005005396,北群渋川農業協同組合,キタグンシブカワ,群馬県,渋川市,群馬県渋川市渋川１５７番地,agriculture,care|agriculture,2015-10-05,false,210,,,,0279-23-1211,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8070005003546,甘楽富岡農業協同組合,カンラトミオカ,群馬県,富岡市,群馬県富岡市富岡２６３８番地１,agriculture,care|agriculture,2015-10-05,false,,,,http://www.jakantomi.or.jp/jakantomi/living/care-welfare/,０２７４－６２－０００１,,http://www.jakantomi.or.jp/jakantomi/contact-us/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2070005007692,嬬恋村農業協同組合,ツマゴイムラ,群馬県,吾妻郡嬬恋村,群馬県吾妻郡嬬恋村大字大前７６７番地の２,agriculture,care|agriculture,2015-10-05,false,,,,,0279-80-6110,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4070005000935,群馬県厚生農業協同組合連合会,グンマケンコウセイ,群馬県,前橋市,群馬県前橋市富士見町小沢５３４番地９,agriculture,care|agriculture,2015-10-05,false,105,,,http://www.jagunma.net/jakosei/,027-230-5511,mail@jakosei.jagunma.net,mailto:mail@jakosei.jagunma.net,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1070002016714,吉岡林業有限会社,ヨシオカリンギョウ,群馬県,富岡市,群馬県富岡市妙義町諸戸９１番地の３,agriculture,care|agriculture,2015-10-05,false,,,,,0274-73-2369,,,国税庁 法人番号公表サイト,2019-06-06
8070001039404,株式会社旬農園,シュンノウエン,群馬県,みどり市,群馬県みどり市笠懸町鹿３６５９番地,agriculture,care|agriculture,2022-07-07,false,,,,https://nonbiri-nouen-biyori.com/,0277-47-9606,,,国税庁 法人番号公表サイト,2022-07-07
1021001046252,株式会社星定農園,ホシサダノウエン,群馬県,桐生市,群馬県桐生市黒保根町下田沢６２４,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-16
1060001032267,ファームサイド株式会社,ファームサイド,群馬県,館林市,群馬県館林市花山町３２２０番地１,agriculture,agriculture,2020-01-27,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-15
1070001001394,山水産業株式会社,サンスイサンギョウ,群馬県,前橋市,群馬県前橋市城東町１丁目１５番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-03
1070001005692,株式会社オーガニックファーム青山,オーガニックファームアオヤマ,群馬県,前橋市,群馬県前橋市後家町９９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-07
1070001006658,株式会社群馬県水産市場,グンマケンスイサンシジョウ,群馬県,高崎市,群馬県高崎市下大類町１２５８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-26
1070001008729,株式会社さくら農園,,群馬県,桐生市,群馬県桐生市宮本町２丁目５番２０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1070001012045,下仁田林業株式会社,シモニタリンギョウ,群馬県,甘楽郡下仁田町,群馬県甘楽郡下仁田町大字下仁田４８２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-07
1070001012961,株式会社シオノファーム,シオノファーム,群馬県,藤岡市,群馬県藤岡市上大塚１２８６番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-30
1070001014925,株式会社高柳ファーム,タカヤナギファーム,群馬県,伊勢崎市,群馬県伊勢崎市下蓮町１２３番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001015816,桐生水産物精算株式会社,キリュウスイサンブツセイサン,群馬県,みどり市,群馬県みどり市笠懸町阿左美２７６１番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-02
1070001023521,上毛高原ファーム株式会社,ジョウモウコウゲンファーム,群馬県,利根郡みなかみ町,群馬県利根郡みなかみ町月夜野１１１３番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001025435,農業生産法人株式会社高原生活,ノウギョウセイサンホウジンコウゲンセイカツ,群馬県,沼田市,群馬県沼田市白沢町上古語父１８５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-09
1070001026433,ぼくらの希望ファーム株式会社,ボクラノキボウファーム,群馬県,邑楽郡大泉町,群馬県邑楽郡大泉町朝日３丁目１６番３７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-16
1070001026697,株式会社金井農園,カナイノウエン,群馬県,沼田市,群馬県沼田市白沢町上古語父１１５５番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-20
1070001027984,ファームランド株式会社,ファームランド,群馬県,前橋市,群馬県前橋市問屋町１丁目１番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001028495,株式会社渋澤牧場,,群馬県,館林市,群馬県館林市成島町１４２０番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1070001028958,株式会社人間牧場,,群馬県,吾妻郡長野原町,群馬県吾妻郡長野原町大字北軽井沢１９９０番地８０７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001030006,株式会社ミツミファーム,,群馬県,前橋市,群馬県前橋市粕川町込皆戸３８０番地２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001030253,黒﨑林業株式会社,クロサキリンギョウ,群馬県,吾妻郡中之条町,群馬県吾妻郡中之条町大字市城９７番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-21
1070001030856,株式会社小暮農園,コグレノウエン,群馬県,太田市,群馬県太田市大久保町１００番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-16
1070001031458,株式会社小山牧場,コヤマボクジョウ,群馬県,太田市,群馬県太田市新田萩町１３０番地,agriculture,agriculture,2015-10-16,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-02
1070001031623,ファームドゥホールディングス株式会社,ファームドゥホールディングス,群馬県,前橋市,群馬県前橋市問屋町１丁目１番１号,agriculture,agriculture,2015-12-14,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-03
1070001031672,株式会社ザファーム,,群馬県,高崎市,群馬県高崎市下滝町５０２番地１,agriculture,agriculture,2015-12-21,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-28
1070001032010,株式会社軽井沢高原ファーム,カルイザワコウゲンファーム,群馬県,吾妻郡長野原町,群馬県吾妻郡長野原町大字北軽井沢２０３２番地５４６５,agriculture,agriculture,2016-04-05,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001032043,株式会社長坂牧場,ナガサカボクジョウ,群馬県,高崎市,群馬県高崎市剣崎町３１６番地,agriculture,agriculture,2016-04-08,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001032282,ジャパン・ミネラル・ファーム株式会社,ジャパンミネラルファーム,群馬県,邑楽郡板倉町,群馬県邑楽郡板倉町大字岩田２４４１番地の７,agriculture,agriculture,2016-06-15,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001032423,株式会社ＲＡファーム,アールエーファーム,群馬県,高崎市,群馬県高崎市北原町村西５５８番地１,agriculture,agriculture,2016-07-15,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-01
1070001032588,株式会社稲姫ファーム,イナヒメファーム,群馬県,沼田市,群馬県沼田市下沼田町７６２番地,agriculture,agriculture,2016-08-29,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001035319,アクザワファーム株式会社,アクザワファーム,群馬県,北群馬郡榛東村,群馬県北群馬郡榛東村大字新井２３６７番地,agriculture,agriculture,2018-12-11,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-14
1070001036366,株式会社ＣＣＥファーム,シーシーイーファーム,群馬県,高崎市,群馬県高崎市片岡町１丁目１３番２１号,agriculture,agriculture,2019-12-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-09
1070001036432,株式会社武田林業,タケダリンギョウ,群馬県,利根郡みなかみ町,群馬県利根郡みなかみ町相俣１２０番地,agriculture,agriculture,2020-01-06,false,1,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001036498,株式会社群馬水産加工センター,グンマスイサンカコウセンター,群馬県,みどり市,群馬県みどり市笠懸町阿左美２７６１番地１,agriculture,food-maker|agriculture,2020-01-17,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-17
1070001038049,株式会社中井ファーム,ナカイファーム,群馬県,吾妻郡東吾妻町,群馬県吾妻郡東吾妻町大字厚田１９８７番地４３,agriculture,agriculture,2021-05-25,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-25
