# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4070001011110,株式会社群馬労務管理センター,グンマロウムカンリセンター,群馬県,高崎市,群馬県高崎市上中居町１４４８番地１５,consulting,care|realestate|pro-services,2015-10-05,false,,,,,027-384-4755,,,国税庁 法人番号公表サイト,2018-05-11
2070001031928,のなかコンサルティング株式会社,,群馬県,前橋市,群馬県前橋市上沖町６７３番地３,consulting,care|pro-services,2016-03-08,false,,,,,027-257-2100,,,国税庁 法人番号公表サイト,2016-03-14
2070001034848,株式会社ＳＫパートナーズ,エスケイパートナーズ,群馬県,太田市,群馬県太田市茂木町４６１番地１,consulting,care|pro-services,2018-06-29,false,,,,,0284-64-7934,,,国税庁 法人番号公表サイト,2025-06-13
1060001019925,株式会社情報総研,,群馬県,桐生市,群馬県桐生市川内町１丁目３５７番地１３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1070001002731,ファーストコンサルタント株式会社,,群馬県,前橋市,群馬県前橋市亀泉町２８３番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1070001006303,株式会社大泉会計事務所,オオイズミカイケイジムショ,群馬県,高崎市,群馬県高崎市飯塚町６９番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-29
1070001007144,株式会社ふくろう総研,,群馬県,高崎市,群馬県高崎市高関町４４１番地９,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1070001007838,株式会社富岡会計事務所,トミオカカイケイジムショ,群馬県,高崎市,群馬県高崎市飯塚町１３４３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-06
1070001009834,エムアンドアールコンサルティングサービス株式会社,,群馬県,安中市,群馬県安中市松井田町土塩８６７番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-09
1070001010726,株式会社フィズコンサルティング,フィズコンサルティング,群馬県,高崎市,群馬県高崎市八千代町２丁目３番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-24
1070001010981,株式会社吉兆コンサルタント,キッチョウコンサルタント,群馬県,高崎市,群馬県高崎市矢中町７番地４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-23
