# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4070001011705,株式会社栄光製作所,エイコウセイサクショ,群馬県,富岡市,群馬県富岡市神農原１１０９番地の２,manufacturing,care|manufacturing,2015-10-05,false,,,,http://nijitotaiyoh.com/,0274-40-3478,,http://nijitotaiyoh.com/pages/3/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3070002004485,有限会社平野製作所,,群馬県,前橋市,群馬県前橋市下増田町１２０２番地の２,manufacturing,care|manufacturing,2015-10-05,false,,,,,027-212-6094,,,国税庁 法人番号公表サイト,2015-10-30
1070001000594,株式会社桂機械製作所,カツラキカイセイサクジョ,群馬県,前橋市,群馬県前橋市文京町２丁目２７番３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001000743,神谷金属株式会社,,群馬県,前橋市,群馬県前橋市総社町総社１６４５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1070001001898,第一食品株式会社,,群馬県,前橋市,群馬県前橋市上青梨子町１０３番地３,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-17
1070001001997,株式会社高取製作所,タカトリセイサクジョ,群馬県,前橋市,群馬県前橋市鳥羽町字堀田３０４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-25
1070001003028,株式会社牧機械製作所,マキキカイセイサクジョ,群馬県,前橋市,群馬県前橋市大渡町２丁目１番１２号,manufacturing,manufacturing,2015-10-05,false,120,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001005676,株式会社町田製作所,マチダセイサクショ,群馬県,前橋市,群馬県前橋市西善町２５１０番地,manufacturing,manufacturing,2015-10-05,false,23,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001005866,株式会社新井製作所,アライセイサクジョ,群馬県,前橋市,群馬県前橋市中内町２６６番地３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001006906,株式会社小島機械製作所,コジマキカイセイサクショ,群馬県,高崎市,群馬県高崎市倉賀野町２４５３番地の１０,manufacturing,manufacturing,2015-10-05,false,24,,,http://www.kojima-kikai.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1070001006922,株式会社小林製作所,コバヤシセイサクジョ,群馬県,高崎市,群馬県高崎市片岡町３丁目３番２３号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-14
1070001007219,株式会社清水捺染工場,シミズナッセンコウジョウ,群馬県,高崎市,群馬県高崎市昭和町１４２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-18
