# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5050001023619,株式会社塙建設,ハナワケンセツ,茨城県,日立市,茨城県日立市大久保町５丁目４番１６号,construction,care|construction,2015-10-05,false,66,,,http://www.hanawa-const.com,0294-36-0470,,http://www.hanawa-const.com/contact/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8050001015134,朝日屋工業株式会社,,茨城県,坂東市,茨城県坂東市幸田３６７番地,construction,care,2015-10-05,false,,,,,0297-47-3533,,,国税庁 法人番号公表サイト,2015-10-30
8050001046237,株式会社菊田工業,キクタコウギョウ,茨城県,守谷市,茨城県守谷市立沢７２７番地の７,construction,care,2019-07-12,false,1,,,https://sumaikurabu.jimdosite.com/,0297-21-5821,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3050001010197,株式会社伊藤建設,イトウケンセツ,茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村大字大谷４５３番地１,construction,care|construction,2015-10-05,false,20,,,,029-240-3511,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8050001031354,株式会社榎戸工務店,エノキドコウムテン,茨城県,筑西市,茨城県筑西市茂田１４１１番地,construction,care|construction,2015-10-05,false,,,,,０２９６－４８－７５５０,,,国税庁 法人番号公表サイト,2023-11-06
1010001025614,日東工業株式会社,ニットウコウギョウ,茨城県,つくば市,茨城県つくば市みどりの１丁目３４番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-12
1010502016780,有限会社宮崎清建築設計事務所,,茨城県,取手市,茨城県取手市戸頭２丁目１０番６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-25
1011001029786,グローバル設備株式会社,グローバルセツビ,茨城県,牛久市,茨城県牛久市栄町２丁目２６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-05
1011101084070,株式会社サファル建設ジャパン,サファルケンセツジャパン,茨城県,つくば市,茨城県つくば市島名２３０４,construction,construction,2018-05-09,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-01
1011801006811,関東ゴム工業株式会社,カントウゴムコウギョウ,茨城県,古河市,茨城県古河市谷貝６７１番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-05
