# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8050002041501,有限会社健友リース,,茨城県,常総市,茨城県常総市大房７１５番地２,finance,care,2015-10-05,false,,,,https://kenyulease.wixsite.com/home,0297-30-8008,,,国税庁 法人番号公表サイト,2015-10-30
1050001000010,株式会社安全保険サービス,アンゼンホケンサービス,茨城県,水戸市,茨城県水戸市姫子１丁目８４６番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-12
1050001007063,アライアンス保険サービス株式会社,アライアンスホケンサービス,茨城県,ひたちなか市,茨城県ひたちなか市笹野町２丁目２番２６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-10
1050001007872,アクア茨城保険株式会社,アクアイバラキホケン,茨城県,ひたちなか市,茨城県ひたちなか市烏ケ台１１８２２番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-04
1050001013169,みんなの保険株式会社,ミンナノホケン,茨城県,稲敷郡阿見町,茨城県稲敷郡阿見町うずら野４丁目５番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-23
1050001013301,カワショウリース株式会社,,茨城県,下妻市,茨城県下妻市下妻丁４４３番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-30
1050001017905,株式会社保険金支払審査機構,ホケンキンシハライシンサキコウ,茨城県,つくば市,茨城県つくば市榎戸７４８番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-05
1050001024406,株式会社茨城信用融資協会,,茨城県,北茨城市,茨城県北茨城市中郷町上桜井９８４番地,finance,,2018-01-18,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-21
1050001033051,株式会社三愛保険,サンアイホケン,茨城県,筑西市,茨城県筑西市乙８２９番地田中ビル３階,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-14
1050001037036,株式会社水戸保険サービス,ミトホケンサービス,茨城県,水戸市,茨城県水戸市千波町１７６７番地の５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-04
1050001039189,株式会社フリースタイル,フリースタイル,茨城県,つくば市,茨城県つくば市高野台３丁目１８番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-01
