# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3050001030971,株式会社友伸金属,ユウシンキンゾク,茨城県,牛久市,茨城県牛久市さくら台４丁目１１番地１,manufacturing,care|manufacturing,2015-10-05,false,28,,,,0297-44-7531,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5050001026935,袋田食品株式会社,フクロダショクヒン,茨城県,久慈郡大子町,茨城県久慈郡大子町大字袋田字下圷２２４７番地の５,manufacturing,care|food-maker,2015-10-05,false,,,,https://sekisyo-no-yu.com/?fbclid=IwAR2dJ4SpHClbXbmHmXEmCmfBy-UdWqWHBg7hCXeJyCKO2GS1x8AqpuXp1x8,0295-79-1126,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010402013746,有限会社渡辺製作所,ワタナベセイサクショ,茨城県,稲敷市,茨城県稲敷市高田３９５番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-12
1011701013552,株式会社ニッショー化学,,茨城県,水戸市,茨城県水戸市元吉田町２７７８－６,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011801010895,株式会社西郡製作所,ニシゴオリセイサクショ,茨城県,つくばみらい市,茨城県つくばみらい市福岡２４６１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-23
1012303000575,合同会社精密作譜,セイミツサクフ,茨城県,那珂市,茨城県那珂市中台３０６番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-26
1020002080260,有限会社石井熊吉製作所,イシイクマキチセイサクショ,茨城県,かすみがうら市,茨城県かすみがうら市宍倉６１４７番地３８,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-19
1021001013558,株式会社日東製作所,ニットウセイサクジョ,茨城県,つくば市,茨城県つくば市柳橋１２２番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-15
1040001025735,株式会社栄和製作所,エイワセイサクショ,茨城県,取手市,茨城県取手市稲１４０６番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-08
1050001000571,株式会社大木製作所,オオキセイサクショ,茨城県,東茨城郡茨城町,茨城県東茨城郡茨城町大字若宮２６４番地１１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-12
1050001000885,株式会社クロレラ工場,,茨城県,水戸市,茨城県水戸市千波町字海道付１９４０番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1050001002782,株式会社石﨑製作所,イシザキセイサクショ,茨城県,東茨城郡茨城町,茨城県東茨城郡茨城町大字上石崎４５３４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-26
1050001004705,株式会社竹江製作所,,茨城県,那珂市,茨城県那珂市中台１９３番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1050001005067,株式会社日乃本米菓製造,ヒノモトベイカセイゾウ,茨城県,那珂市,茨城県那珂市後台１４８７番地８,manufacturing,manufacturing,2015-10-05,false,22,,,http://hinomotobeika.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001006536,株式会社青山製作所茨城工場,アオヤマセイサクショイバラキコウジョウ,茨城県,ひたちなか市,茨城県ひたちなか市津田東２丁目１番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001006692,株式会社川崎製作所,カワサキセイサクショ,茨城県,ひたちなか市,茨城県ひたちなか市新光町５５２番地７１,manufacturing,manufacturing,1978-04-28,false,29,,代表取締役　川崎　達郎,http://www.kawasaki-ss.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001006718,株式会社共伸精機製作所,キョウシンセイキセイサクショ,茨城県,ひたちなか市,茨城県ひたちなか市大字田彦９９９番地の３６,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-28
1050001006767,三喜食品株式会社,,茨城県,ひたちなか市,茨城県ひたちなか市湊本町７番１１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1050001006858,株式会社全自動車整備工場,ゼンジドウシャセイビコウジョウ,茨城県,ひたちなか市,茨城県ひたちなか市栄町２丁目１１番１２号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-19
1050001007006,株式会社八長味噌正油工場,,茨城県,ひたちなか市,茨城県ひたちなか市湊本町２番１０号,manufacturing,food-maker|manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-23
1050001010199,栄雄食品株式会社,,茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村大字布佐字谷津１５１８番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1050001011049,株式会社橋本ブラシ製作所,ハシモトブラシセイサクジョ,茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村大字茂呂１０４９番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001011239,株式会社中島製作所,ナカジマセイサクジョ,茨城県,稲敷郡美浦村,茨城県稲敷郡美浦村大字舟子１８０番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-12
1050001012245,株式会社みつい食品,ミツイショクヒン,茨城県,小美玉市,茨城県小美玉市小川１５２６,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-01
1050001013994,株式会社本島製茶工場,モトジマセイチャコウジョウ,茨城県,猿島郡境町,茨城県猿島郡境町大字上小橋２１番地,manufacturing,food-maker|manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-30
1050001014027,株式会社金子製作所,カネコセイサクショ,茨城県,坂東市,茨城県坂東市逆井２８３０番地の４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-20
1050001014357,株式会社イトーキ東光製作所,イトーキトウコウセイサクショ,茨城県,坂東市,茨城県坂東市鵠戸４２３番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-17
1050001014729,株式会社丸山製作所,,茨城県,下妻市,茨城県下妻市横根８２４番地の１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1050001015594,株式会社小出製作所,コイデセイサクジョ,茨城県,つくば市,茨城県つくば市小田２９５３番地,manufacturing,manufacturing,2015-10-05,false,69,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001015818,株式会社筑波光化学,,茨城県,つくば市,茨城県つくば市倉掛１１７６番地の３,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-04
1050001016502,株式会社石本製作所,イシモトセイサクジョ,茨城県,つくば市,茨城県つくば市小田５１３７番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-02
1050001017087,株式会社谷口製作所,ヤグチセイサクショ,茨城県,つくば市,茨城県つくば市谷田部４３５４番地,manufacturing,manufacturing,1980-09-03,false,,,代表取締役　谷口　一,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001018572,株式会社横田製作所,ヨコタセイサクショ,茨城県,古河市,茨城県古河市幸町１２番１２号,manufacturing,manufacturing,2015-10-05,false,35,,,http://www.koganet.ne.jp/~yokota/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1050001019208,ミロク精密鍛工株式会社,,茨城県,古河市,茨城県古河市下片田１０２１番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-04-07
