# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3310002013701,株式会社ウェルライブパートナーズ,ウェルライブパートナーズ,長崎県,北松浦郡佐々町,長崎県北松浦郡佐々町羽須和免９２７番地,consulting,care|pro-services,2015-10-05,false,,,,,0956-73-1500,,,国税庁 法人番号公表サイト,2020-10-07
1180001119960,株式会社ＴＭ’ｓコンサルティング,ティーエムズコンサルティング,長崎県,諫早市,長崎県諫早市原口町８６０番地４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-12
1310001000339,株式会社海洋技術コンサルタント,カイヨウギジュツコンサルタント,長崎県,長崎市,長崎県長崎市本原町１５番２０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-23
1310001003787,株式会社船舶コンサルオフィス,,長崎県,長崎市,長崎県長崎市元船町１７番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-22
1310001006955,株式会社アサヒコンサル,アサヒコンサル,長崎県,佐世保市,長崎県佐世保市江迎町埋立２番地１４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310001011831,東谷コンサルティング株式会社,,長崎県,長崎市,長崎県長崎市岩屋町４０番２３号２０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310001012177,株式会社小田・小島総合会計,オダコジマソウゴウカイケイ,長崎県,平戸市,長崎県平戸市新町１４番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-26
1310001015948,東和コンサルティング株式会社,トウワコンサルティング,長崎県,諫早市,長崎県諫早市福田町２０番１８号,consulting,pro-services,2019-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-08
1310001019866,アニマルパートナーズながさきＰＦＩ株式会社,アニマルパートナーズナガサキピーエフアイ,長崎県,長崎市,長崎県長崎市西坂町２番３号,consulting,pro-services,2025-12-02,true,,,,,,,,国税庁 法人番号公表サイト,2025-12-02
1310002003860,有限会社長崎補償コンサルタント,,長崎県,長崎市,長崎県長崎市滑石４丁目１１番２１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002006302,有限会社エムパートナーズ,,長崎県,長崎市,長崎県長崎市魚の町７番５号魚の町ビル５Ｆ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002011120,有限会社日本総研,ニホンソウケン,長崎県,佐世保市,長崎県佐世保市鹿子前町５番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-29
1310002014239,有限会社ＳＩＬＫ会計,シルクカイケイ,長崎県,佐世保市,長崎県佐世保市三浦町１番３１号新石橋ビル２階Ｂ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-22
1310002016391,有限会社アーケイディアコンサルティング,,長崎県,諫早市,長崎県諫早市幸町４番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310003002548,合同会社エムズコンサルティングオフィス,,長崎県,松浦市,長崎県松浦市調川町下免１４５番地１１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310003004115,ＹＭＨコンサルティング合同会社,ワイエムエイチコンサルティング,長崎県,長崎市,長崎県長崎市鶴の尾町３１番３号,consulting,pro-services,2021-07-12,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-12
1310005007982,税理士法人マネジメントプランニング,マネジメントプランニング,長崎県,長崎市,長崎県長崎市三景台町１５番８号,consulting,pro-services,2016-07-11,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310005007990,一般社団法人みらいパートナーズ,ミライパートナーズ,長崎県,佐世保市,長崎県佐世保市早岐２丁目４１－６５,consulting,pro-services,2016-08-17,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-09
1310005008691,税理士法人ＮｉＰ,エヌアイピー,長崎県,諫早市,長崎県諫早市永昌東町１６番１８号,consulting,pro-services,2023-07-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150061621,九州北部税理士会　長崎支部,キユウシユウホクブゼイリシカイナガサキシブ,長崎県,長崎市,長崎県長崎市八百屋町２－３,consulting,pro-services,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-05
1700150061943,九州北部税理士会島原支部,キユウシユウホクブゼイリシカイシマバラシブ,長崎県,島原市,長崎県島原市上新丁３丁目２６０３番地,consulting,pro-services,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-06
2010401116631,株式会社リアライズコンサルティング,リアライズコンサルティング,長崎県,佐世保市,長崎県佐世保市吉井町立石４８３番地２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-13
2310001001699,株式会社日本ビルディングコンサルタント,ニホンビルディングコンサルタント,長崎県,長崎市,長崎県長崎市三川町８００番地４０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-01
2310001003233,新日本総研株式会社,,長崎県,長崎市,長崎県長崎市万屋町５番２０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2310001004446,株式会社ＴＧＰコンサルティング,,長崎県,長崎市,長崎県長崎市本原町１６番１６－１０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
2310001004891,コンサルティング創和株式会社,コンサルティングソウワ,長崎県,長崎市,長崎県長崎市麹屋町５番１０号トーカンマンション麹屋町４１０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-11
2310001005337,株式会社玄海測量コンサルタント,,長崎県,佐世保市,長崎県佐世保市園田町３番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-18
2310001007184,株式会社ＴＡＸコンサルタント,タックスコンサルタント,長崎県,佐世保市,長崎県佐世保市若竹台町３４７番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-18
2310001009924,島原基礎コンサルツ株式会社,,長崎県,島原市,長崎県島原市新山２丁目８９２０番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-16
