# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1310001001254,株式会社トヨタレンタリース長崎,トヨタレンタリース,長崎県,長崎市,長崎県長崎市松山町４番５０号,finance,,1967-06-30,false,147,,代表取締役　吉本　明浩,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310001002525,東建リース株式会社,トウケンリース,長崎県,長崎市,長崎県長崎市滑石２丁目３番９号,finance,,2015-10-05,false,25,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310001008415,株式会社マルケイリース,マルケイリース,長崎県,諫早市,長崎県諫早市土師野尾町１１２６番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-06
1310001009470,株式会社長崎保険コンサルタント,ナガサキホケンコンサルタント,長崎県,諫早市,長崎県諫早市多良見町シーサイド１番地５３,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-14
1310001011212,株式会社西海保険サービス,サイカイホケンサービス,長崎県,佐世保市,長崎県佐世保市春日町２０番３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-14
1310001013877,株式会社山本総合保険サービス,,長崎県,松浦市,長崎県松浦市御厨町里免３６８番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310001019718,ダイエイリース株式会社,ダイエイリース,長崎県,諫早市,長崎県諫早市久山町１３６６番地４,finance,,2025-08-13,true,,,,,,,,国税庁 法人番号公表サイト,2025-08-13
1310002000081,有限会社青山保険センター,,長崎県,長崎市,長崎県長崎市東町１６０６番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002003092,有限会社田栗総合保険事務所,,長崎県,長崎市,長崎県長崎市西山台２丁目３番２５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002007721,有限会社三幸リース,サンコウリース,長崎県,西彼杵郡時津町,長崎県西彼杵郡時津町日並郷３５０６番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-11
1310002007861,有限会社南陽リース,ナンヨウリース,長崎県,西彼杵郡時津町,長崎県西彼杵郡時津町野田郷１０７５番地７,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-23
1310002008397,有限会社シダ総合保険事務所,,長崎県,長崎市,長崎県長崎市長浦町３６９８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310002011599,有限会社益永保険事務所,,長崎県,佐世保市,長崎県佐世保市原分町８８７番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-11
1310002012102,有限会社リースキン佐世保,,長崎県,佐世保市,長崎県佐世保市柚木元町２４４８番地１,finance,,2015-10-05,false,2,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310002016227,有限会社ひらの保険事務所,,長崎県,諫早市,長崎県諫早市城見町２１番２０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310002017605,有限会社平成総合保険企画,,長崎県,大村市,長崎県大村市玖島２丁目３２１番地２,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310003001509,合同会社保険ＳＨＯＰアドバンス,ホケンショップアドバンス,長崎県,佐世保市,長崎県佐世保市下本山町１２８２番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-24
1310003002837,合同会社フリースペースＡＫＩ,,長崎県,平戸市,長崎県平戸市生月町壱部浦６０－２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1310003004247,リースキン壱岐合同会社,リースキンイキ,長崎県,壱岐市,長崎県壱岐市郷ノ浦町志原西触１０８番地３,finance,,2022-01-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-06
1310005000954,長崎県漁船保険組合,,長崎県,長崎市,長崎県長崎市中町５番１１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-09
1310005001028,長崎県農業信用基金協会,ナガサキケン,長崎県,長崎市,長崎県長崎市出島町１番２０号,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1310005008444,Ｍｉｎｅｒｖａ社会保険労務士法人,ミネルヴァ,長崎県,長崎市,長崎県長崎市興善町７番７号,finance,pro-services,2020-08-18,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-18
2310001003654,長崎保険サービス株式会社,ナガサキホケンサービス,長崎県,長崎市,長崎県長崎市桜馬場１丁目２番４号グリーンビル３０４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-07
2310001004611,株式会社ＭＫＴ総合保険,エムケイティソウゴウホケン,長崎県,長崎市,長崎県長崎市川平町１１９１番地５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-25
